topic,doc,score,rel
51,clueweb09-en0087-64-09275,0.87588,1
51,clueweb09-en0009-75-38683,0.857789,1
51,clueweb09-en0050-44-03519,0.814798,1
51,clueweb09-en0080-95-06298,0.712967,1
51,clueweb09-en0065-20-33465,0.712671,0
51,clueweb09-en0007-89-20264,0.677013,1
51,clueweb09-en0123-50-27074,0.667919,2
51,clueweb09-en0030-65-32869,0.664695,1
51,clueweb09-en0050-83-28797,0.644565,1
51,clueweb09-en0016-99-33090,0.644457,1
51,clueweb09-en0060-87-20845,0.64248,0
51,clueweb09-en0016-19-24681,0.64235,2
51,clueweb09-en0015-88-12981,0.632994,0
51,clueweb09-en0078-25-12064,0.632273,0
51,clueweb09-en0038-56-12717,0.625851,0
51,clueweb09-en0030-88-10894,0.624711,0
51,clueweb09-en0054-79-13017,0.608305,1
51,clueweb09-en0047-29-06768,0.608159,1
51,clueweb09-en0131-72-46448,0.606679,1
51,clueweb09-en0091-66-45121,0.603444,1
51,clueweb09-en0072-32-29430,0.602281,1
51,clueweb09-en0007-89-20413,0.600588,1
51,clueweb09-en0077-98-35575,0.599124,1
51,clueweb09-en0119-23-36064,0.598632,0
51,clueweb09-en0030-65-32974,0.598623,0
51,clueweb09-en0010-86-27052,0.597826,1
51,clueweb09-en0025-28-05005,0.596707,1
51,clueweb09-en0007-81-08143,0.596368,1
51,clueweb09-en0102-66-28787,0.591872,0
51,clueweb09-en0049-16-41358,0.589968,2
51,clueweb09-en0001-12-06884,0.588404,1
51,clueweb09-en0093-06-11125,0.588349,0
51,clueweb09-en0130-65-12348,0.588187,0
51,clueweb09-en0039-11-13043,0.586681,0
51,clueweb09-en0076-52-27073,0.584308,1
51,clueweb09-en0076-52-27078,0.584241,1
51,clueweb09-en0106-21-40292,0.579617,1
51,clueweb09-en0130-53-32630,0.57358,0
51,clueweb09-en0040-02-21140,0.572198,0
51,clueweb09-en0007-17-32780,0.571817,1
51,clueweb09-en0061-44-14791,0.571708,1
51,clueweb09-en0092-00-03048,0.570734,1
51,clueweb09-en0029-96-05585,0.570471,0
51,clueweb09-en0016-87-07931,0.569169,0
51,clueweb09-en0107-56-25382,0.568151,0
51,clueweb09-en0133-98-40361,0.563369,0
51,clueweb09-en0072-07-13393,0.563189,0
51,clueweb09-en0127-10-06510,0.563137,0
51,clueweb09-en0044-43-10913,0.562509,0
51,clueweb09-en0061-44-14823,0.562016,0
51,clueweb09-en0016-57-25143,0.559121,0
51,clueweb09-en0122-48-04059,0.556933,0
51,clueweb09-en0087-18-13820,0.555145,0
51,clueweb09-en0040-08-35086,0.553286,2
51,clueweb09-en0022-01-20602,0.553145,0
51,clueweb09-en0133-90-15067,0.552923,2
51,clueweb09-en0050-68-38202,0.552416,3
51,clueweb09-en0037-01-13128,0.551574,0
51,clueweb09-en0012-54-03282,0.550519,1
51,clueweb09-en0051-83-10628,0.548239,0
51,clueweb09-en0073-71-05333,0.546994,0
51,clueweb09-en0082-48-16370,0.546869,0
51,clueweb09-en0037-69-19022,0.546404,0
51,clueweb09-en0096-53-37947,0.545829,1
51,clueweb09-en0051-38-02769,0.545656,0
51,clueweb09-en0121-49-04533,0.54563,0
51,clueweb09-en0038-56-12863,0.54526,0
51,clueweb09-en0022-59-33995,0.544823,1
51,clueweb09-en0086-48-30464,0.544299,1
51,clueweb09-en0038-56-12887,0.544141,0
51,clueweb09-en0008-85-35877,0.540176,0
51,clueweb09-en0038-52-28201,0.538839,0
51,clueweb09-en0039-91-14735,0.538727,1
51,clueweb09-en0007-42-22223,0.538575,2
51,clueweb09-en0004-77-30624,0.538154,1
51,clueweb09-en0034-73-29197,0.537272,0
51,clueweb09-en0031-77-00213,0.536392,0
51,clueweb09-en0092-00-02992,0.535205,0
51,clueweb09-en0022-59-33997,0.533479,0
51,clueweb09-en0004-16-06254,0.532935,0
51,clueweb09-en0130-73-13986,0.531597,0
51,clueweb09-en0065-57-03557,0.531594,0
51,clueweb09-en0020-77-19101,0.531594,0
51,clueweb09-en0024-23-01350,0.531103,0
51,clueweb09-en0036-57-29089,0.530742,0
51,clueweb09-en0004-36-39733,0.530021,1
51,clueweb09-en0127-10-06512,0.529902,0
51,clueweb09-en0030-65-32907,0.528266,0
51,clueweb09-en0016-57-25039,0.527849,0
