topic,doc,score,rel
51,clueweb09-en0102-97-30261,100.0,0
51,clueweb09-en0087-14-15681,100.0,0
51,clueweb09-en0038-84-14270,96.2686,0
51,clueweb09-en0130-68-47000,96.2686,0
51,clueweb09-en0091-66-45121,96.2686,1
51,clueweb09-en0022-72-07587,96.2686,1
51,clueweb09-en0039-00-12707,96.2686,1
51,clueweb09-en0110-58-02582,96.2686,0
51,clueweb09-en0093-41-24581,96.2686,0
51,clueweb09-en0072-48-23885,96.2686,1
51,clueweb09-en0031-74-33550,96.2686,1
51,clueweb09-en0108-11-45300,96.2686,0
51,clueweb09-en0050-61-22673,96.2686,1
51,clueweb09-en0044-43-10913,92.5373,0
51,clueweb09-en0063-62-41540,92.5373,0
51,clueweb09-en0084-43-08184,92.5373,0
51,clueweb09-en0131-72-46448,92.5373,1
51,clueweb09-en0098-05-20217,92.5373,0
51,clueweb09-en0083-84-02004,92.5373,0
51,clueweb09-en0023-51-18781,92.5373,0
51,clueweb09-en0092-00-03048,92.5373,1
51,clueweb09-en0125-19-21708,92.5373,0
51,clueweb09-en0001-12-06884,92.5373,1
51,clueweb09-en0049-16-41358,92.5373,2
51,clueweb09-en0076-52-27073,92.5373,1
51,clueweb09-en0076-28-31503,92.5373,0
51,clueweb09-en0082-28-33170,92.5373,0
51,clueweb09-en0046-74-18902,92.5373,0
51,clueweb09-en0080-23-05511,92.5373,0
51,clueweb09-en0122-16-21609,92.5373,0
51,clueweb09-en0059-34-09584,92.5373,0
51,clueweb09-en0080-95-06298,92.5373,1
51,clueweb09-en0114-80-32909,92.5373,0
51,clueweb09-en0051-38-02769,92.5373,0
51,clueweb09-en0045-07-00644,92.5373,0
51,clueweb09-en0094-19-35702,92.5373,0
51,clueweb09-en0092-26-25838,92.5373,0
51,clueweb09-en0000-81-00258,92.5373,0
51,clueweb09-en0105-21-34255,92.5373,0
51,clueweb09-en0050-83-28797,92.5373,1
51,clueweb09-en0103-09-12663,92.5373,0
51,clueweb09-en0127-52-21482,92.5373,1
51,clueweb09-en0065-93-03293,92.5373,0
51,clueweb09-en0085-25-17794,92.5373,0
51,clueweb09-en0066-76-20821,92.5373,0
51,clueweb09-en0112-25-18794,92.5373,0
