topic,doc,score,rel
51,clueweb09-en0007-81-08143,1.999997,1
51,clueweb09-en0011-41-17287,1.9999968,0
51,clueweb09-en0004-77-30624,1.9999968,1
51,clueweb09-en0008-42-28801,1.9999968,0
51,clueweb09-en0008-87-10439,1.9999968,1
51,clueweb09-en0007-86-24769,1.9999968,0
51,clueweb09-en0011-41-17257,1.9999967,1
51,clueweb09-en0011-41-17286,1.9999967,1
51,clueweb09-en0011-41-17271,1.9999967,0
51,clueweb09-enwp00-24-05847,1.9999967,1
51,clueweb09-en0011-41-17268,1.9999967,1
51,clueweb09-en0007-17-32780,1.9999967,1
51,clueweb09-en0011-41-17219,1.9999967,0
51,clueweb09-enwp00-23-05500,1.9999967,1
51,clueweb09-enwp00-27-06293,1.9999967,1
51,clueweb09-enwp00-23-05499,1.9999967,1
51,clueweb09-en0003-93-25577,1.9999967,1
51,clueweb09-enwp00-31-05923,1.9999967,1
51,clueweb09-en0011-41-17207,1.9999965,2
51,clueweb09-en0001-12-06933,1.9999965,0
51,clueweb09-en0001-12-06930,1.9999965,0
51,clueweb09-en0003-93-25571,1.9999965,0
51,clueweb09-en0006-61-04354,1.9999965,2
51,clueweb09-en0010-86-27053,1.9999965,1
51,clueweb09-en0006-61-04382,1.9999965,1
51,clueweb09-en0011-41-17203,1.9999965,0
51,clueweb09-en0010-86-27052,1.9999965,1
51,clueweb09-en0011-47-31334,1.9999965,0
51,clueweb09-en0011-88-03739,1.9999965,1
51,clueweb09-en0002-05-26045,1.9999964,0
51,clueweb09-en0005-82-02859,1.9999964,0
51,clueweb09-en0008-43-16164,1.9999964,3
51,clueweb09-en0007-71-02954,1.9999964,0
51,clueweb09-en0008-66-10852,1.9999964,1
51,clueweb09-en0010-86-27049,1.9999964,0
51,clueweb09-en0011-41-17185,1.9999964,0
51,clueweb09-en0008-42-28889,1.9999964,0
51,clueweb09-en0011-41-17280,1.9999964,0
51,clueweb09-en0011-41-17301,1.9999964,0
51,clueweb09-en0009-84-34320,1.9999964,1
51,clueweb09-en0010-86-27055,1.9999964,0
51,clueweb09-en0001-12-06932,1.9999963,0
51,clueweb09-en0011-41-17298,1.9999963,0
51,clueweb09-enwp01-56-17042,1.9999963,2
51,clueweb09-en0003-03-11411,1.9999963,1
51,clueweb09-en0011-41-17210,1.9999963,0
51,clueweb09-en0006-61-04355,1.9999963,0
51,clueweb09-en0004-84-21067,1.9999963,0
51,clueweb09-en0011-69-21571,1.9999963,1
51,clueweb09-en0011-41-17217,1.9999963,0
51,clueweb09-en0007-43-07543,1.9999962,0
51,clueweb09-en0003-93-25576,1.9999962,0
51,clueweb09-en0011-41-17199,1.9999962,0
51,clueweb09-en0011-41-17209,1.9999962,0
51,clueweb09-en0007-83-23270,1.9999962,0
51,clueweb09-en0011-41-17263,1.9999962,0
51,clueweb09-enwp01-55-06136,1.9999962,1
51,clueweb09-en0007-89-20350,1.9999962,0
51,clueweb09-en0007-89-20296,1.9999962,0
51,clueweb09-en0011-33-03551,1.9999962,0
51,clueweb09-enwp00-95-17841,1.9999962,1
51,clueweb09-en0011-41-17187,1.9999962,0
51,clueweb09-en0011-41-17233,1.9999962,0
51,clueweb09-enwp01-56-17036,1.9999962,1
51,clueweb09-en0007-89-20340,1.9999962,0
51,clueweb09-en0011-41-17192,1.9999962,0
51,clueweb09-en0007-89-20413,1.9999962,1
