topic,doc,score,rel
51,clueweb09-enwp00-27-06293,-7.846,1
51,clueweb09-enwp00-31-05923,-7.86542,1
51,clueweb09-enwp00-24-05847,-7.87005,1
51,clueweb09-enwp00-23-05500,-7.87454,1
51,clueweb09-enwp00-23-05499,-7.87679,1
51,clueweb09-en0079-45-04582,-8.16918,1
51,clueweb09-en0040-08-35086,-8.18079,2
51,clueweb09-en0128-12-18639,-8.22141,2
51,clueweb09-en0006-61-04354,-8.22359,2
51,clueweb09-en0007-17-32780,-8.22527,1
51,clueweb09-en0038-51-33785,-8.23039,3
51,clueweb09-en0079-21-09587,-8.24794,0
51,clueweb09-en0067-38-03161,-8.25099,0
51,clueweb09-en0038-56-12859,-8.25651,1
51,clueweb09-en0061-44-14823,-8.25888,0
51,clueweb09-en0133-98-40361,-8.27756,0
51,clueweb09-en0061-44-14791,-8.2933,1
51,clueweb09-en0106-70-10798,-8.30134,2
51,clueweb09-en0008-56-28642,-8.3022,0
51,clueweb09-en0040-02-21140,-8.31725,0
51,clueweb09-en0079-63-37807,-8.3216,0
51,clueweb09-en0031-27-00082,-8.3292,0
51,clueweb09-en0017-29-07887,-8.3292,0
51,clueweb09-en0036-38-37381,-8.34042,0
51,clueweb09-en0030-00-31286,-8.34074,0
51,clueweb09-en0035-25-12706,-8.34087,1
51,clueweb09-en0064-76-35908,-8.34107,0
51,clueweb09-enwp01-56-17036,-8.34612,1
51,clueweb09-enwp00-93-16535,-8.34867,1
51,clueweb09-en0064-31-27644,-8.34945,1
51,clueweb09-enwp00-95-17841,-8.35291,1
51,clueweb09-enwp02-19-00937,-8.35532,1
51,clueweb09-en0025-64-25855,-8.35745,0
51,clueweb09-enwp01-55-06136,-8.36479,1
51,clueweb09-en0097-15-08336,-8.36623,1
51,clueweb09-en0047-29-06797,-8.36643,1
51,clueweb09-en0023-89-00787,-8.36709,0
51,clueweb09-en0010-37-28468,-8.37083,0
51,clueweb09-en0011-41-17257,-8.38099,1
51,clueweb09-en0078-83-13305,-8.38768,1
51,clueweb09-en0107-44-20738,-8.39164,0
51,clueweb09-en0011-41-17268,-8.41464,1
51,clueweb09-en0080-95-06298,-8.41851,1
51,clueweb09-en0021-76-41289,-8.41905,1
51,clueweb09-en0012-22-02948,-8.42118,2
51,clueweb09-en0029-37-07025,-8.42144,0
51,clueweb09-en0118-63-21266,-8.42162,0
51,clueweb09-en0019-91-05354,-8.42545,1
51,clueweb09-en0016-79-25759,-8.4263,2
51,clueweb09-en0011-94-02121,-8.43144,0
51,clueweb09-en0104-90-15661,-8.43151,0
51,clueweb09-en0007-18-37400,-8.4322,0
51,clueweb09-en0011-41-17207,-8.43273,2
51,clueweb09-en0033-86-32886,-8.43369,0
51,clueweb09-en0036-48-05123,-8.43733,0
51,clueweb09-en0047-29-06777,-8.43837,0
51,clueweb09-en0007-42-22223,-8.44048,2
51,clueweb09-en0054-86-42536,-8.44352,0
51,clueweb09-en0064-15-00839,-8.44488,0
51,clueweb09-en0004-77-30624,-8.44506,1
51,clueweb09-en0001-21-25404,-8.45217,0
51,clueweb09-en0062-59-17622,-8.45788,0
51,clueweb09-en0047-93-43048,-8.4591,0
51,clueweb09-en0076-23-40592,-8.46054,1
51,clueweb09-en0019-91-05346,-8.47311,0
51,clueweb09-en0026-83-38386,-8.47583,2
51,clueweb09-en0034-44-13157,-8.49484,1
51,clueweb09-en0079-94-25108,-8.49589,0
51,clueweb09-en0040-08-35085,-8.49668,0
51,clueweb09-en0036-40-12086,-8.50183,2
51,clueweb09-en0063-62-41538,-8.5039,0
51,clueweb09-en0087-64-09275,-8.50795,1
51,clueweb09-en0012-54-03282,-8.50838,1
51,clueweb09-en0054-79-13017,-8.52035,1
51,clueweb09-en0002-05-26045,-8.52668,0
51,clueweb09-en0016-23-27285,-8.53303,0
51,clueweb09-en0021-52-23135,-8.53397,0
51,clueweb09-en0113-17-29184,-8.53797,1
51,clueweb09-en0131-67-36221,-8.53879,0
51,clueweb09-en0072-32-29430,-8.5391,1
51,clueweb09-en0011-41-17286,-8.54018,1
51,clueweb09-en0131-07-36811,-8.54105,0
51,clueweb09-en0019-91-05362,-8.54193,0
51,clueweb09-en0019-34-06707,-8.54326,0
51,clueweb09-en0075-76-14453,-8.54406,0
51,clueweb09-en0104-24-21061,-8.54571,0
51,clueweb09-en0012-22-02947,-8.55188,0
51,clueweb09-en0077-98-35575,-8.55219,1
51,clueweb09-en0051-93-36419,-8.55235,0
51,clueweb09-en0025-28-06862,-8.55395,0
51,clueweb09-en0048-91-25551,-8.55431,0
51,clueweb09-en0025-01-30417,-8.55499,0
51,clueweb09-en0043-89-20411,-8.55587,0
51,clueweb09-en0006-51-16125,-8.55633,1
51,clueweb09-en0095-86-17313,-8.56142,0
51,clueweb09-en0049-93-03361,-8.56153,0
51,clueweb09-en0133-72-08662,-8.56723,0
51,clueweb09-en0073-59-23661,-8.5689,0
51,clueweb09-en0037-62-16225,-8.57039,0
51,clueweb09-en0108-11-45302,-8.57934,0
51,clueweb09-en0065-24-12394,-8.58191,0
51,clueweb09-en0011-41-17298,-8.58242,0
51,clueweb09-en0047-29-06780,-8.59199,0
51,clueweb09-en0023-47-29195,-8.59918,0
51,clueweb09-en0133-98-40356,-8.60122,0
51,clueweb09-en0094-60-40973,-8.60691,0
51,clueweb09-en0020-25-21856,-8.61456,0
51,clueweb09-en0026-73-34652,-8.62131,0
51,clueweb09-en0051-21-01363,-8.62205,0
51,clueweb09-en0093-01-02052,-8.62591,0
51,clueweb09-en0059-99-07306,-8.62855,0
51,clueweb09-en0101-27-29755,-8.63388,0
51,clueweb09-en0048-77-37636,-8.63696,0
51,clueweb09-en0120-10-15245,-8.63837,0
51,clueweb09-en0004-36-39733,-8.6407,1
51,clueweb09-en0127-52-21480,-8.6412,0
51,clueweb09-en0011-41-17278,-8.64253,1
51,clueweb09-en0038-51-33782,-8.64801,0
51,clueweb09-en0023-02-18147,-8.6507,0
51,clueweb09-en0086-58-27655,-8.65249,0
51,clueweb09-en0033-65-32451,-8.65413,0
51,clueweb09-en0024-27-23325,-8.65434,0
51,clueweb09-en0040-67-41179,-8.65575,0
51,clueweb09-en0009-84-34320,-8.66056,1
51,clueweb09-en0033-86-32890,-8.66189,0
51,clueweb09-en0038-03-40393,-8.67146,0
51,clueweb09-en0054-28-26035,-8.67487,0
51,clueweb09-en0090-52-19084,-8.67811,0
51,clueweb09-en0037-16-18268,-8.67915,2
51,clueweb09-en0001-32-20034,-8.67995,0
51,clueweb09-en0048-77-37637,-8.68209,0
51,clueweb09-en0066-06-31260,-8.68247,0
51,clueweb09-en0039-00-12714,-8.69211,0
51,clueweb09-en0034-30-34462,-8.69212,0
51,clueweb09-en0121-39-03007,-8.70319,0
51,clueweb09-en0071-70-15327,-8.70493,0
51,clueweb09-en0059-75-02177,-8.70569,1
51,clueweb09-en0096-98-02611,-8.70946,0
51,clueweb09-en0050-30-29297,-8.70982,0
51,clueweb09-en0132-41-08586,-8.71442,0
51,clueweb09-en0092-00-03048,-8.71964,1
51,clueweb09-en0036-48-05124,-8.72645,0
51,clueweb09-en0026-83-38389,-8.72713,0
51,clueweb09-en0079-11-11014,-8.72777,0
