topic,doc,score,rel
51,clueweb09-en0007-81-08143,218.652027455795,1
51,clueweb09-en0004-36-39733,210.071509571695,1
51,clueweb09-en0011-41-17281,209.178168509973,1
51,clueweb09-en0011-41-17278,207.75031698457,1
51,clueweb09-en0011-41-17286,207.152346928349,1
51,clueweb09-en0008-37-05398,206.322634131962,0
51,clueweb09-enwp00-23-05499,206.279112767676,1
51,clueweb09-enwp00-23-05500,206.271826616332,1
51,clueweb09-en0009-84-34320,206.236049852802,1
51,clueweb09-enwp00-27-06293,206.190736906737,1
51,clueweb09-enwp00-24-05847,206.161548845689,1
51,clueweb09-enwp00-31-05923,206.161548845689,1
51,clueweb09-en0007-17-32780,205.655517729929,1
51,clueweb09-en0007-42-22223,204.736651108868,2
51,clueweb09-en0004-77-30624,204.568030535177,1
51,clueweb09-en0008-88-23094,204.485153112591,2
51,clueweb09-en0011-41-17207,204.34626045388,2
51,clueweb09-en0004-16-06254,203.818611126643,0
51,clueweb09-en0001-95-29833,203.271505725744,0
51,clueweb09-en0011-41-17298,202.84955877083,0
51,clueweb09-en0006-51-16125,202.474313414365,1
51,clueweb09-en0006-61-04382,202.426427156873,1
51,clueweb09-en0009-22-08986,201.437016042559,0
51,clueweb09-en0002-90-08640,201.146213403137,0
51,clueweb09-en0009-85-39698,200.899800263848,1
51,clueweb09-en0011-41-17214,200.676381693632,1
51,clueweb09-en0011-94-02121,200.238978350688,0
51,clueweb09-en0010-49-39017,200.184901130731,0
51,clueweb09-en0008-66-10852,200.129787192273,1
51,clueweb09-en0010-03-31177,200.002275179911,0
51,clueweb09-en0011-41-17268,199.957093264734,1
51,clueweb09-en0011-41-17257,199.790011825648,1
51,clueweb09-en0010-37-28468,198.566615061415,0
51,clueweb09-en0011-41-17250,198.500779320781,0
51,clueweb09-en0011-10-04505,198.472430005534,1
51,clueweb09-enwp00-93-16535,197.88685864647,1
51,clueweb09-enwp01-56-17036,197.88685864647,1
51,clueweb09-enwp00-95-17841,197.88685864647,1
51,clueweb09-en0006-61-04354,197.827104306227,2
51,clueweb09-en0007-09-25334,197.825449136527,0
51,clueweb09-en0008-56-28642,197.819231470132,0
51,clueweb09-enwp02-19-00937,197.782334473943,1
51,clueweb09-enwp01-55-06136,197.564617518507,1
51,clueweb09-en0002-05-26045,197.531528548798,0
51,clueweb09-en0011-33-03549,196.9006254312,0
51,clueweb09-en0011-39-20427,196.309565392898,0
51,clueweb09-en0011-56-07362,196.090558052109,0
51,clueweb09-en0010-49-39026,195.592017726691,0
51,clueweb09-en0000-82-32505,195.313378616029,0
51,clueweb09-en0010-49-39016,194.779749486508,0
51,clueweb09-en0008-96-11286,194.657692530326,0
51,clueweb09-en0011-41-17189,194.302602691676,0
51,clueweb09-en0001-69-21592,194.237837421405,0
51,clueweb09-en0008-16-18962,194.178953285297,0
51,clueweb09-en0011-41-17254,193.995645918164,0
51,clueweb09-en0011-41-17264,193.993238596423,0
51,clueweb09-en0007-78-06781,193.933737642805,0
51,clueweb09-en0007-83-23259,193.342434969643,1
51,clueweb09-en0010-86-27052,192.475437794585,1
51,clueweb09-en0010-85-41384,192.042209648666,0
51,clueweb09-en0010-87-16855,191.991819348706,0
51,clueweb09-en0008-66-10851,191.784904888245,0
51,clueweb09-en0008-66-10855,191.736482740441,0
51,clueweb09-en0007-83-23270,191.268429384691,0
51,clueweb09-en0008-66-10870,190.946739872631,0
51,clueweb09-en0011-95-31382,190.844034404255,0
51,clueweb09-en0011-88-03739,190.838739877619,1
51,clueweb09-en0011-41-17252,190.834642867923,0
51,clueweb09-en0011-50-29077,190.6757259493,0
51,clueweb09-en0011-41-17253,190.628389511053,0
51,clueweb09-en0011-41-17274,190.477996043054,0
51,clueweb09-en0007-83-23277,190.458837319863,0
51,clueweb09-en0001-74-37938,190.458837319863,0
51,clueweb09-en0011-41-17284,190.198443123421,0
51,clueweb09-en0011-41-17215,189.778123159106,0
51,clueweb09-en0010-15-00463,189.681022973274,0
51,clueweb09-en0008-42-06337,189.642296921459,1
51,clueweb09-en0002-44-16527,189.449148955921,0
51,clueweb09-en0007-21-38632,189.449148955921,0
51,clueweb09-en0008-73-10201,189.407821708508,0
51,clueweb09-en0003-93-25578,189.393241772076,0
51,clueweb09-en0008-14-01793,189.332454381299,1
51,clueweb09-en0007-43-29412,189.177010023804,0
51,clueweb09-en0006-35-33932,189.032398496328,0
51,clueweb09-en0011-41-17251,189.031557513289,0
51,clueweb09-en0007-15-05434,188.924278680518,0
51,clueweb09-en0001-32-20034,188.897844642679,0
51,clueweb09-en0011-41-17292,188.611408078885,1
51,clueweb09-en0003-45-29390,188.579056749974,0
51,clueweb09-en0011-41-17273,188.502209083056,0
51,clueweb09-en0011-41-17301,188.419639336128,0
51,clueweb09-en0011-41-17217,188.259528877718,0
51,clueweb09-en0011-47-31334,188.105704899136,0
51,clueweb09-en0011-33-03551,188.034910763147,0
51,clueweb09-en0008-58-38476,188.033763849596,0
51,clueweb09-en0008-73-10199,187.929982844124,0
51,clueweb09-en0009-56-10202,187.83668066593,0
51,clueweb09-en0001-57-30255,187.588225737495,0
51,clueweb09-en0009-56-10176,187.213922158841,0
51,clueweb09-enwp00-83-16491,187.133878319706,0
51,clueweb09-enwp00-43-17002,187.131235803545,0
51,clueweb09-enwp01-99-17450,187.128593801586,0
51,clueweb09-enwp00-41-17358,187.128593801586,1
51,clueweb09-enwp00-46-17450,187.128593801586,0
51,clueweb09-en0000-22-12511,186.968680986391,0
51,clueweb09-en0007-49-30124,186.952694056101,0
51,clueweb09-en0007-15-05470,186.952694056101,0
51,clueweb09-enwp02-05-03600,186.945640468853,1
51,clueweb09-en0007-69-34883,186.775376405574,0
51,clueweb09-en0011-91-32012,186.586454112277,0
51,clueweb09-en0007-15-05433,186.533019978699,0
