topic,doc,score,rel
51,clueweb09-en0007-89-20413,221.585759212848,1
51,clueweb09-en0007-89-20264,218.51844321507,1
51,clueweb09-en0007-81-08143,217.669172196417,1
51,clueweb09-en0007-17-32780,216.495320380859,1
51,clueweb09-en0008-43-16164,212.36508322725,3
51,clueweb09-en0000-81-00258,211.683041927187,0
51,clueweb09-en0004-36-39733,208.747753317488,1
51,clueweb09-en0010-85-28651,208.677775087048,0
51,clueweb09-en0011-41-17278,205.934595902223,1
51,clueweb09-en0011-41-17281,205.901674746111,1
51,clueweb09-en0001-12-06930,204.467295115704,0
51,clueweb09-enwp00-23-05499,203.390637863483,1
51,clueweb09-enwp00-23-05500,203.381481072282,1
51,clueweb09-enwp00-27-06293,203.310384047047,1
51,clueweb09-en0008-64-12138,203.278062568703,0
51,clueweb09-enwp00-24-05847,203.273575260571,1
51,clueweb09-enwp00-31-05923,203.273575260571,1
51,clueweb09-en0007-42-22223,203.134762285393,2
51,clueweb09-en0004-16-06254,202.687923278493,0
51,clueweb09-en0008-88-23094,201.915965953585,2
51,clueweb09-en0004-77-30624,201.739600669478,1
51,clueweb09-en0008-37-05398,201.509948859414,0
51,clueweb09-en0001-12-06884,201.508605429569,1
51,clueweb09-en0011-69-21571,200.810516486366,1
51,clueweb09-en0003-03-11411,200.810516486366,1
51,clueweb09-en0006-51-16125,200.597000987849,1
51,clueweb09-en0011-41-17286,200.07472129141,1
51,clueweb09-en0009-84-34320,199.384415706014,1
51,clueweb09-en0002-90-08640,199.1352255079,0
51,clueweb09-en0009-22-08986,198.842416183329,0
51,clueweb09-en0008-59-04222,198.500688039422,0
51,clueweb09-en0010-49-39017,198.363728470226,0
51,clueweb09-en0003-93-25577,198.044899707843,1
51,clueweb09-en0011-41-17271,198.044899707843,0
51,clueweb09-en0008-66-10852,198.043335644996,1
51,clueweb09-en0011-41-17214,197.569113936171,1
51,clueweb09-en0008-42-06337,197.396993545574,1
51,clueweb09-en0011-41-17250,197.377511918003,0
51,clueweb09-en0006-61-04382,197.351888214511,1
51,clueweb09-en0011-10-04505,197.296777392977,1
51,clueweb09-en0001-95-29833,197.181856671224,0
51,clueweb09-en0011-41-17207,197.153038882266,2
51,clueweb09-en0010-37-28468,196.46143528433,0
51,clueweb09-en0011-52-07344,195.678652478684,0
51,clueweb09-en0009-85-39698,195.664016384402,1
51,clueweb09-en0011-41-17257,195.615100200932,1
51,clueweb09-en0011-94-02121,194.687810849442,0
51,clueweb09-en0010-30-03927,194.541622827778,0
51,clueweb09-en0008-56-28642,194.523093132212,0
51,clueweb09-en0006-61-04354,194.201230783463,2
51,clueweb09-en0011-33-03549,194.174451914739,0
51,clueweb09-en0005-19-11234,194.146047399396,1
51,clueweb09-en0001-12-06928,194.056448761976,0
51,clueweb09-en0009-75-38683,194.011977822758,1
51,clueweb09-en0011-41-17298,193.949527311854,0
51,clueweb09-en0000-82-32505,193.93166830866,0
51,clueweb09-en0006-67-29605,193.584109466005,0
51,clueweb09-en0001-12-06954,193.390839787785,0
51,clueweb09-en0002-05-26045,193.325515870766,0
51,clueweb09-en0007-89-20284,193.024758249368,1
51,clueweb09-en0006-48-02867,192.989077927888,1
51,clueweb09-en0011-56-07362,192.955946211117,0
51,clueweb09-en0010-03-31177,192.772159898373,0
51,clueweb09-en0011-41-17189,192.583894490624,0
51,clueweb09-en0001-69-21592,192.400361300649,0
51,clueweb09-en0008-16-18962,192.330618639806,0
51,clueweb09-en0010-49-39026,192.285868715063,0
51,clueweb09-en0011-41-17254,192.142308666209,0
51,clueweb09-enwp00-95-17841,191.995077824133,1
51,clueweb09-enwp00-93-16535,191.995077824133,1
51,clueweb09-enwp01-56-17036,191.995077824133,1
51,clueweb09-enwp02-19-00937,191.868144401193,1
51,clueweb09-en0008-96-11286,191.835861076155,0
51,clueweb09-en0011-41-17268,191.63326378611,1
51,clueweb09-enwp01-55-06136,191.553669666472,1
51,clueweb09-en0010-86-12783,191.412371080785,0
51,clueweb09-en0010-49-39016,191.221512997122,0
51,clueweb09-en0007-89-20265,190.225853974803,0
51,clueweb09-en0010-40-24957,190.080894645626,0
51,clueweb09-en0008-32-08511,190.009828141885,1
51,clueweb09-en0011-41-17264,189.997385957462,0
51,clueweb09-en0007-09-25334,189.424065566596,0
51,clueweb09-en0007-49-30125,189.365210766009,0
51,clueweb09-en0007-15-05471,189.365210766009,0
51,clueweb09-en0010-86-27052,188.877040538942,1
51,clueweb09-en0007-83-23259,188.358238184127,1
51,clueweb09-en0011-39-20427,188.293642539983,0
51,clueweb09-en0010-87-16855,188.265744830648,0
51,clueweb09-en0010-85-41384,188.015153243979,0
51,clueweb09-en0007-83-23270,187.982096994235,0
51,clueweb09-en0007-83-23277,187.961658444708,0
51,clueweb09-en0001-74-37938,187.961658444708,0
51,clueweb09-en0007-89-20411,187.897332180599,0
51,clueweb09-en0010-71-31244,187.870757276448,0
51,clueweb09-en0011-41-17252,187.848450908733,0
51,clueweb09-en0011-41-17253,187.628981064132,0
51,clueweb09-en0007-15-05482,187.590376330914,0
51,clueweb09-en0008-66-10855,187.484481535375,0
51,clueweb09-en0003-57-16902,187.334608709002,1
51,clueweb09-en0010-34-43663,187.255559358319,0
51,clueweb09-en0008-66-10870,186.959008424819,0
51,clueweb09-en0008-73-10201,186.378047168585,0
51,clueweb09-en0011-88-03739,186.175865271063,1
51,clueweb09-en0008-66-10851,186.102794109042,0
51,clueweb09-en0008-38-14639,185.893348348306,0
51,clueweb09-en0011-41-17251,185.838166105753,0
51,clueweb09-en0011-41-17215,185.645948556902,0
51,clueweb09-en0011-41-17284,185.579368780403,0
51,clueweb09-en0009-63-08922,185.577513634664,0
51,clueweb09-en0011-24-36260,185.510776980918,0
51,clueweb09-en0007-78-06781,185.414893824034,0
51,clueweb09-en0007-15-05434,185.33381285416,0
51,clueweb09-en0011-41-17273,185.269369586299,0
51,clueweb09-en0001-32-20034,185.228190235585,0
51,clueweb09-en0011-50-29077,185.179506444836,0
51,clueweb09-en0011-33-03551,184.555571497392,0
51,clueweb09-en0011-41-17292,184.516898675592,1
51,clueweb09-en0001-41-17450,184.344912771418,0
51,clueweb09-en0007-71-02954,184.185928936312,0
