topic,doc,score,rel
51,clueweb09-en0007-81-08143,223.248301396461,1
51,clueweb09-en0007-17-32780,215.759123860095,1
51,clueweb09-en0004-36-39733,214.09816958942,1
51,clueweb09-en0011-41-17281,211.302985745393,1
51,clueweb09-en0011-41-17278,211.237706679205,1
51,clueweb09-enwp00-23-05499,208.600174899472,1
51,clueweb09-enwp00-23-05500,208.590807785258,1
51,clueweb09-enwp00-27-06293,208.518538856368,1
51,clueweb09-enwp00-31-05923,208.480886004793,1
51,clueweb09-enwp00-24-05847,208.480886004793,1
51,clueweb09-en0007-42-22223,208.264161939121,2
51,clueweb09-en0004-16-06254,207.852868548221,0
51,clueweb09-en0008-88-23094,207.152635067286,2
51,clueweb09-en0008-37-05398,206.829912919283,0
51,clueweb09-en0006-51-16125,205.612914371256,1
51,clueweb09-en0004-77-30624,205.489469510699,1
51,clueweb09-en0011-41-17286,205.262734564884,1
51,clueweb09-en0009-84-34320,204.577778468992,1
51,clueweb09-en0002-90-08640,204.236810226841,0
51,clueweb09-en0009-22-08986,203.817818711569,0
51,clueweb09-en0010-49-39017,203.365605839268,0
51,clueweb09-en0006-61-04382,202.451663304689,1
51,clueweb09-en0011-41-17207,202.233673527169,2
51,clueweb09-en0001-95-29833,202.179243329793,0
51,clueweb09-en0008-66-10852,201.749607910831,1
51,clueweb09-en0010-37-28468,201.424416376853,0
51,clueweb09-en0011-41-17214,201.270987491787,1
51,clueweb09-en0011-41-17250,201.098843988884,0
51,clueweb09-en0011-10-04505,201.029508515872,1
51,clueweb09-en0009-85-39698,200.788533353013,1
51,clueweb09-en0011-41-17257,200.63860967858,1
51,clueweb09-en0011-94-02121,199.707579232459,0
51,clueweb09-en0008-56-28642,199.408002916289,0
51,clueweb09-en0011-33-03549,199.127792589435,0
51,clueweb09-en0011-41-17298,198.957209578338,0
51,clueweb09-en0002-05-26045,198.287126459344,0
51,clueweb09-en0010-03-31177,197.927609966524,0
51,clueweb09-en0006-61-04354,197.796493515506,2
51,clueweb09-en0011-56-07362,197.769342509416,0
51,clueweb09-en0000-82-32505,197.592955359878,0
51,clueweb09-enwp00-95-17841,196.939649105069,1
51,clueweb09-enwp01-56-17036,196.939649105069,1
51,clueweb09-enwp00-93-16535,196.939649105069,1
51,clueweb09-enwp02-19-00937,196.810574107965,1
51,clueweb09-en0008-96-11286,196.678951270001,0
51,clueweb09-en0011-41-17268,196.57333526204,1
51,clueweb09-enwp01-55-06136,196.488612773246,1
51,clueweb09-en0011-41-17189,196.202275458965,0
51,clueweb09-en0001-69-21592,196.042173898006,0
51,clueweb09-en0008-16-18962,195.971104490935,0
51,clueweb09-en0010-49-39026,195.869439356749,0
51,clueweb09-en0011-41-17254,195.778875874154,0
51,clueweb09-en0008-42-06337,195.768471005144,1
51,clueweb09-en0011-41-17264,194.853860121966,0
51,clueweb09-en0010-49-39016,194.786637949943,0
51,clueweb09-en0007-89-20413,194.448207363939,1
51,clueweb09-en0010-86-27052,193.608986899405,1
51,clueweb09-en0011-39-20427,193.169018600617,0
51,clueweb09-en0007-83-23259,193.154108815859,1
51,clueweb09-en0007-09-25334,193.061735334052,0
51,clueweb09-en0010-87-16855,192.991608499615,0
51,clueweb09-en0010-85-41384,191.536518071291,0
51,clueweb09-en0007-83-23277,191.494232868807,0
51,clueweb09-en0001-74-37938,191.494232868807,0
51,clueweb09-en0007-83-23270,191.48624709545,0
51,clueweb09-en0007-89-20264,191.435749263283,1
51,clueweb09-en0011-41-17252,191.409919295319,0
51,clueweb09-en0011-41-17253,191.185984171445,0
51,clueweb09-en0008-66-10855,191.005492382565,0
51,clueweb09-en0011-88-03739,190.837858205229,1
51,clueweb09-en0008-66-10851,190.752572361812,0
51,clueweb09-en0008-66-10870,190.468959230756,0
51,clueweb09-en0008-73-10201,189.874157090585,0
51,clueweb09-en0011-50-29077,189.810626161069,0
51,clueweb09-en0011-41-17251,189.362217790353,0
51,clueweb09-en0011-41-17215,189.100798029593,0
51,clueweb09-en0011-41-17284,189.008430924868,0
51,clueweb09-en0007-78-06781,188.976990410906,0
51,clueweb09-en0007-15-05434,188.796973635191,0
51,clueweb09-en0006-35-33932,188.79157648166,0
51,clueweb09-en0011-41-17273,188.77971693002,0
51,clueweb09-en0001-32-20034,188.687772425699,0
51,clueweb09-en0008-43-16164,188.581247478836,3
51,clueweb09-en0007-21-38632,188.4549883555,0
51,clueweb09-en0002-44-16527,188.4549883555,0
51,clueweb09-en0001-12-06930,188.169709280513,0
51,clueweb09-en0011-41-17301,188.099349877377,0
51,clueweb09-en0011-33-03551,188.020656335612,0
51,clueweb09-en0011-41-17292,187.954908720251,1
51,clueweb09-en0011-41-17217,187.816132075678,0
51,clueweb09-en0008-14-01793,187.80823616963,1
51,clueweb09-enwp02-05-03600,187.179100540796,1
51,clueweb09-en0003-93-25578,186.943183205699,0
51,clueweb09-en0007-49-30125,186.797647990839,0
51,clueweb09-en0007-15-05471,186.797647990839,0
51,clueweb09-en0000-22-12511,186.652370662399,0
51,clueweb09-en0009-56-10176,186.619237700467,0
51,clueweb09-en0003-45-29390,186.481481269945,0
51,clueweb09-en0011-95-31382,186.313500180713,0
51,clueweb09-en0001-57-30255,186.287550332955,0
51,clueweb09-en0008-58-38476,186.081113890672,0
51,clueweb09-en0008-73-10199,185.970543472337,0
51,clueweb09-en0007-43-29412,185.629314486669,0
51,clueweb09-en0011-33-03548,185.185729585916,0
51,clueweb09-en0009-56-10202,185.055256025384,0
51,clueweb09-en0008-07-07479,185.045070551731,0
51,clueweb09-en0007-15-05482,185.008316639806,0
51,clueweb09-en0011-41-17274,184.999695038057,0
51,clueweb09-en0011-41-17187,184.979040063303,0
51,clueweb09-en0011-47-31334,184.868965781555,0
51,clueweb09-en0010-15-00463,184.815560794981,0
51,clueweb09-en0011-41-17271,184.770986727002,0
