topic,doc,score,rel
51,clueweb09-en0000-81-00258,30.7225,0
51,clueweb09-en0008-43-16164,30.4027,3
51,clueweb09-en0009-75-38683,29.3721,1
51,clueweb09-en0007-81-08143,29.372,1
51,clueweb09-en0007-89-20264,29.3658,1
51,clueweb09-en0008-88-23094,29.1376,2
51,clueweb09-enwp00-23-05499,29.0872,1
51,clueweb09-enwp00-27-06293,29.0872,1
51,clueweb09-enwp00-23-05500,29.086,1
51,clueweb09-enwp00-31-05923,29.0826,1
51,clueweb09-enwp00-24-05847,29.0826,1
51,clueweb09-en0010-49-39017,29.0218,0
51,clueweb09-en0010-85-41384,28.7677,0
51,clueweb09-en0006-61-04354,28.7527,2
51,clueweb09-en0010-85-28651,28.6922,0
51,clueweb09-en0010-03-31177,28.6342,0
51,clueweb09-en0008-56-28642,28.511,0
51,clueweb09-en0007-09-25334,28.4997,0
51,clueweb09-en0009-85-39698,28.4956,1
51,clueweb09-en0009-22-08986,28.0475,0
51,clueweb09-en0007-89-20413,28.0041,1
51,clueweb09-en0006-67-29605,27.9403,0
51,clueweb09-enwp02-05-03600,27.9321,1
51,clueweb09-en0009-84-34320,27.8698,1
51,clueweb09-en0007-83-23270,27.8419,0
51,clueweb09-en0007-83-23277,27.7942,0
51,clueweb09-en0001-74-37938,27.7942,0
51,clueweb09-en0010-86-27052,27.7724,1
51,clueweb09-en0011-94-02121,27.7007,0
51,clueweb09-en0008-96-11286,27.6641,0
51,clueweb09-en0010-03-30909,27.5511,0
51,clueweb09-en0011-41-17286,27.5442,1
51,clueweb09-en0010-40-24957,27.5273,0
51,clueweb09-en0011-01-24941,27.5043,1
51,clueweb09-enwp01-56-17036,27.4642,1
51,clueweb09-enwp00-95-17841,27.4642,1
51,clueweb09-enwp00-93-16535,27.4642,1
51,clueweb09-enwp02-19-00937,27.4593,1
51,clueweb09-enwp01-55-06136,27.4324,1
51,clueweb09-en0011-56-07362,27.4186,0
51,clueweb09-en0011-41-17281,27.3949,1
51,clueweb09-en0011-41-17292,27.3741,1
51,clueweb09-en0001-95-29833,27.1724,0
51,clueweb09-en0011-41-17207,27.1578,2
51,clueweb09-en0011-41-17278,27.1447,1
51,clueweb09-en0011-41-17187,27.1164,0
51,clueweb09-en0011-95-31382,27.0837,0
51,clueweb09-en0008-64-12138,27.0563,0
51,clueweb09-en0010-58-36100,27.0453,0
51,clueweb09-en0007-43-29412,26.9114,0
51,clueweb09-en0011-69-21571,26.8126,1
51,clueweb09-en0003-03-11411,26.8126,1
51,clueweb09-en0004-16-06254,26.7995,0
51,clueweb09-en0008-58-38476,26.7215,0
51,clueweb09-en0001-80-06127,26.5812,0
51,clueweb09-en0007-17-32780,26.5364,1
51,clueweb09-en0007-83-23259,26.5267,1
51,clueweb09-en0001-55-24375,26.5205,0
51,clueweb09-en0011-41-17217,26.4028,0
51,clueweb09-en0011-41-17214,26.3292,1
51,clueweb09-en0011-41-17250,26.2958,0
51,clueweb09-en0009-63-08922,26.2239,0
51,clueweb09-en0010-86-27053,26.1886,1
51,clueweb09-en0011-41-17268,26.1533,1
51,clueweb09-en0011-91-32012,26.0727,0
51,clueweb09-en0009-56-10176,25.9996,0
51,clueweb09-en0010-22-01963,25.8212,0
51,clueweb09-en0011-41-17257,25.8048,1
51,clueweb09-en0011-41-17215,25.7944,0
51,clueweb09-en0011-33-03549,25.7645,0
51,clueweb09-en0011-41-17237,25.7533,0
51,clueweb09-en0003-14-30728,25.7294,0
51,clueweb09-en0011-50-29077,25.6932,0
51,clueweb09-en0003-45-29390,25.6622,0
51,clueweb09-en0007-35-00957,25.643,0
51,clueweb09-en0011-41-17189,25.593,0
51,clueweb09-en0008-38-14639,25.5771,0
51,clueweb09-en0006-61-04389,25.5279,0
51,clueweb09-en0004-27-24037,25.4673,0
51,clueweb09-en0007-66-09311,25.4673,0
51,clueweb09-en0010-86-12783,25.4341,0
51,clueweb09-en0000-54-33907,25.4287,0
51,clueweb09-en0002-05-26045,25.3734,0
51,clueweb09-en0011-41-17262,25.3367,0
51,clueweb09-en0011-72-34729,25.3,0
51,clueweb09-en0011-41-17252,25.2978,0
51,clueweb09-en0011-41-17253,25.2795,0
51,clueweb09-en0008-62-36274,25.2722,0
51,clueweb09-en0007-78-06781,25.2654,0
51,clueweb09-en0011-41-17254,25.2161,0
51,clueweb09-en0010-30-03927,25.2008,0
51,clueweb09-en0010-71-31244,25.1825,0
51,clueweb09-en0000-82-32505,25.1792,0
51,clueweb09-en0005-19-11234,25.1676,1
51,clueweb09-en0004-09-26101,25.1206,0
51,clueweb09-en0004-25-18803,25.0877,0
51,clueweb09-en0000-96-09560,25.0594,0
51,clueweb09-en0000-25-12953,25.0419,0
51,clueweb09-en0011-41-17251,25.0417,0
51,clueweb09-en0008-85-35882,24.9882,0
51,clueweb09-en0008-64-11452,24.9851,0
51,clueweb09-en0008-40-14674,24.9845,0
51,clueweb09-en0010-49-39026,24.9667,0
51,clueweb09-en0008-59-04222,24.9372,0
51,clueweb09-en0008-32-08511,24.9308,1
51,clueweb09-en0009-31-29564,24.9289,0
51,clueweb09-en0008-73-10201,24.8833,0
51,clueweb09-en0011-41-17266,24.8696,0
51,clueweb09-en0005-01-24614,24.8624,0
51,clueweb09-en0009-75-38684,24.845,0
51,clueweb09-en0010-49-39016,24.8395,0
51,clueweb09-en0007-49-30125,24.8279,0
51,clueweb09-en0007-15-05471,24.8279,0
51,clueweb09-en0008-85-35879,24.8247,0
51,clueweb09-en0008-56-28635,24.7977,0
51,clueweb09-en0011-00-13501,24.7759,0
51,clueweb09-en0007-51-16652,24.7404,0
51,clueweb09-en0008-67-07347,24.7393,0
51,clueweb09-en0011-47-31334,24.7391,0
51,clueweb09-en0006-01-07016,24.7283,0
51,clueweb09-en0010-49-33515,24.6979,0
51,clueweb09-en0011-41-17284,24.6953,0
51,clueweb09-en0011-41-17185,24.6781,0
51,clueweb09-en0005-03-15449,24.6634,0
51,clueweb09-en0001-80-26231,24.6271,0
51,clueweb09-en0000-25-12954,24.5801,0
51,clueweb09-en0000-25-12930,24.5801,0
51,clueweb09-en0000-25-12973,24.5801,0
51,clueweb09-en0000-25-12963,24.5801,0
51,clueweb09-en0000-25-12971,24.5801,0
51,clueweb09-en0010-49-39020,24.5707,0
51,clueweb09-en0002-80-35729,24.544,0
51,clueweb09-en0011-33-03551,24.5221,0
51,clueweb09-en0009-56-10202,24.4946,0
51,clueweb09-en0001-93-23513,24.4667,0
51,clueweb09-en0007-15-05434,24.4347,0
51,clueweb09-en0011-41-17273,24.4026,0
51,clueweb09-en0007-50-08490,24.3766,0
51,clueweb09-en0009-63-08862,24.3418,0
51,clueweb09-en0001-69-21592,24.3156,0
51,clueweb09-en0000-92-16377,24.3129,0
51,clueweb09-en0011-41-17259,24.3053,0
51,clueweb09-en0000-25-12966,24.2484,0
51,clueweb09-en0011-41-17218,24.2427,0
51,clueweb09-en0007-44-17130,24.2092,0
51,clueweb09-en0010-49-39037,24.1605,0
51,clueweb09-en0008-87-10439,24.15,1
51,clueweb09-en0001-32-20034,24.1359,0
51,clueweb09-en0003-43-36609,24.1036,0
51,clueweb09-en0008-85-35881,24.071,0
51,clueweb09-en0006-46-11707,24.051,0
51,clueweb09-en0003-56-23120,24.0437,0
51,clueweb09-en0007-49-30123,24.0133,0
51,clueweb09-en0007-15-05466,24.0133,0
51,clueweb09-en0011-01-24940,24.0129,0
51,clueweb09-en0011-41-17258,23.9942,0
51,clueweb09-en0008-48-14929,23.9416,0
51,clueweb09-en0011-88-03739,23.9326,1
51,clueweb09-en0005-62-15190,23.9126,0
51,clueweb09-en0002-44-16527,23.9023,0
51,clueweb09-en0007-21-38632,23.9023,0
51,clueweb09-en0007-15-05452,23.9011,0
51,clueweb09-en0007-89-20265,23.8734,0
