topic,doc,score,rel
51,clueweb09-en0007-81-08143,-4.02232,1
51,clueweb09-en0008-43-16164,-4.0543,3
51,clueweb09-en0007-89-20264,-4.13959,1
51,clueweb09-en0000-81-00258,-4.1504,0
51,clueweb09-en0009-75-38683,-4.44834,1
51,clueweb09-en0001-55-24375,-4.63119,0
51,clueweb09-en0007-17-32780,-4.75279,1
51,clueweb09-en0001-90-05710,-5.12899,0
51,clueweb09-en0007-95-17534,-5.13588,1
51,clueweb09-en0007-58-07045,-5.15491,0
51,clueweb09-en0007-45-28670,-5.16668,0
51,clueweb09-en0004-09-26101,-5.19647,0
51,clueweb09-en0004-77-30624,-5.21855,1
51,clueweb09-en0010-40-24957,-5.22208,0
51,clueweb09-en0001-95-29833,-5.26453,0
51,clueweb09-en0011-91-32012,-5.27459,0
51,clueweb09-en0010-86-27052,-5.28888,1
51,clueweb09-en0001-12-06884,-5.29702,1
51,clueweb09-en0001-69-21592,-5.34595,0
51,clueweb09-en0009-63-08862,-5.40576,0
51,clueweb09-en0001-12-06928,-5.41118,0
51,clueweb09-en0001-12-06954,-5.42038,0
51,clueweb09-en0009-29-19817,-5.44871,0
51,clueweb09-en0001-12-06930,-5.4799,0
51,clueweb09-en0010-71-31244,-5.48051,0
51,clueweb09-en0011-10-04505,-5.48339,1
51,clueweb09-en0008-42-06337,-5.48472,1
51,clueweb09-en0008-40-14674,-5.4962,0
51,clueweb09-en0011-01-24941,-5.49947,1
51,clueweb09-en0008-66-10852,-5.50334,1
51,clueweb09-en0007-89-20284,-5.50366,1
51,clueweb09-en0008-56-28642,-5.50671,0
51,clueweb09-en0005-55-14981,-5.52956,0
51,clueweb09-en0000-25-13013,-5.55611,0
51,clueweb09-en0008-56-28635,-5.58633,0
51,clueweb09-en0010-86-27053,-5.58654,1
51,clueweb09-en0007-89-20413,-5.59718,1
51,clueweb09-en0000-96-09552,-5.61218,0
51,clueweb09-en0004-36-39733,-5.62159,1
51,clueweb09-en0009-29-19804,-5.6329,0
51,clueweb09-en0011-52-07344,-5.64785,0
51,clueweb09-en0011-41-17281,-5.66508,1
51,clueweb09-enwp00-23-05499,-5.67479,1
51,clueweb09-enwp00-23-05500,-5.67508,1
51,clueweb09-enwp00-27-06293,-5.67656,1
51,clueweb09-enwp00-31-05923,-5.67953,1
51,clueweb09-enwp00-24-05847,-5.67953,1
51,clueweb09-en0010-03-30909,-5.7243,0
51,clueweb09-en0008-66-10870,-5.73479,0
51,clueweb09-en0007-89-20350,-5.73479,0
51,clueweb09-en0006-51-16125,-5.75344,1
51,clueweb09-en0001-01-18098,-5.75624,0
51,clueweb09-en0007-78-06781,-5.75707,0
51,clueweb09-en0002-15-01072,-5.76865,0
51,clueweb09-en0001-01-17996,-5.77963,0
51,clueweb09-en0007-89-20254,-5.78095,0
51,clueweb09-en0008-66-10851,-5.78556,0
51,clueweb09-en0000-82-32505,-5.78803,0
51,clueweb09-en0008-67-07347,-5.79082,0
51,clueweb09-en0011-41-17278,-5.81651,1
51,clueweb09-en0005-36-19115,-5.83567,0
51,clueweb09-en0011-41-17215,-5.83648,0
51,clueweb09-en0007-84-28988,-5.83789,0
51,clueweb09-en0003-57-16902,-5.83904,1
51,clueweb09-en0001-12-06933,-5.83975,0
51,clueweb09-en0011-56-07362,-5.84938,0
51,clueweb09-en0007-45-28690,-5.86195,0
51,clueweb09-en0001-55-23602,-5.86463,0
51,clueweb09-en0011-88-03739,-5.86499,1
51,clueweb09-en0008-65-06270,-5.88314,0
51,clueweb09-en0011-12-02486,-5.88499,0
51,clueweb09-en0011-41-17292,-5.88714,1
51,clueweb09-en0002-88-29308,-5.8893,0
51,clueweb09-en0001-01-17957,-5.88967,1
51,clueweb09-en0008-96-11286,-5.88975,0
51,clueweb09-en0006-35-33932,-5.89836,0
51,clueweb09-en0001-01-17983,-5.90118,0
51,clueweb09-en0007-66-21597,-5.9027,0
51,clueweb09-en0001-18-30969,-5.91434,0
51,clueweb09-en0001-01-17982,-5.9213,0
51,clueweb09-en0006-78-11502,-5.92393,0
51,clueweb09-en0006-61-04410,-5.92723,0
51,clueweb09-en0009-43-25277,-5.9334,0
51,clueweb09-en0001-01-18108,-5.93405,0
51,clueweb09-en0008-38-14639,-5.93506,0
51,clueweb09-en0001-27-08686,-5.94203,0
51,clueweb09-en0001-80-26236,-5.943,0
51,clueweb09-en0010-85-28651,-5.94545,0
51,clueweb09-en0009-22-08986,-5.94606,0
51,clueweb09-en0011-72-02913,-5.95959,0
51,clueweb09-en0005-62-15190,-5.95965,0
51,clueweb09-en0008-96-11290,-5.96285,0
51,clueweb09-en0001-93-23513,-5.96556,0
51,clueweb09-enwp00-95-17841,-5.96575,1
51,clueweb09-en0004-16-06254,-5.97733,0
51,clueweb09-en0011-50-29077,-5.97785,0
51,clueweb09-en0000-39-32396,-5.97841,0
51,clueweb09-en0010-30-03927,-5.98018,0
51,clueweb09-en0001-80-06127,-5.98535,0
51,clueweb09-en0009-29-38870,-5.98681,0
51,clueweb09-en0008-14-01793,-5.98906,1
51,clueweb09-en0007-58-02747,-5.98991,0
51,clueweb09-en0007-81-39422,-5.99015,0
51,clueweb09-en0007-15-05425,-5.99047,0
51,clueweb09-en0000-58-10698,-5.99158,0
51,clueweb09-en0010-46-13994,-5.99217,0
51,clueweb09-en0011-69-02822,-5.99443,0
51,clueweb09-en0006-78-11477,-5.99517,0
51,clueweb09-en0006-78-11515,-5.99556,0
51,clueweb09-en0007-17-32774,-5.99576,0
51,clueweb09-en0007-95-17097,-5.99784,1
51,clueweb09-en0002-05-26045,-5.99791,0
51,clueweb09-en0011-41-17257,-5.99839,1
51,clueweb09-en0002-88-29306,-5.99841,0
51,clueweb09-en0006-18-04143,-5.99966,0
51,clueweb09-enwp02-09-03587,-6.00035,1
51,clueweb09-en0006-18-04302,-6.0004,0
51,clueweb09-enwp00-83-16505,-6.00071,1
51,clueweb09-enwp00-75-00866,-6.00078,1
51,clueweb09-enwp00-73-01083,-6.00078,1
51,clueweb09-en0006-18-03874,-6.00078,0
51,clueweb09-enwp00-42-08767,-6.00085,1
51,clueweb09-enwp00-84-17568,-6.00118,0
51,clueweb09-enwp00-78-09678,-6.00122,0
51,clueweb09-enwp00-68-10590,-6.00129,0
51,clueweb09-enwp00-66-09766,-6.00143,0
51,clueweb09-enwp00-61-09883,-6.00143,0
51,clueweb09-enwp02-14-09765,-6.00143,0
51,clueweb09-enwp00-66-09765,-6.00143,0
