topic,doc,score,rel
51,clueweb09-enwp00-23-05499,-4.08856,1
51,clueweb09-enwp00-23-05500,-4.08881,1
51,clueweb09-enwp00-27-06293,-4.09032,1
51,clueweb09-enwp00-31-05923,-4.09309,1
51,clueweb09-enwp00-24-05847,-4.09309,1
51,clueweb09-enwp02-09-03587,-4.27065,1
51,clueweb09-enwp00-83-16505,-4.27092,1
51,clueweb09-enwp00-75-00866,-4.27098,1
51,clueweb09-enwp00-73-01083,-4.27098,1
51,clueweb09-enwp00-42-08767,-4.27104,1
51,clueweb09-enwp00-84-17568,-4.27137,0
51,clueweb09-enwp00-78-09678,-4.2714,0
51,clueweb09-enwp00-68-10590,-4.27146,0
51,clueweb09-enwp00-61-09883,-4.27158,0
51,clueweb09-enwp02-14-09766,-4.27158,0
51,clueweb09-enwp00-66-09765,-4.27158,0
51,clueweb09-enwp02-14-09765,-4.27158,0
51,clueweb09-enwp00-66-09766,-4.27158,0
51,clueweb09-enwp00-77-09494,-4.27164,0
51,clueweb09-enwp00-34-22452,-4.27176,0
51,clueweb09-enwp00-83-16491,-4.44716,0
51,clueweb09-enwp00-43-17002,-4.44818,0
51,clueweb09-enwp00-41-17358,-4.44832,1
51,clueweb09-enwp00-46-17450,-4.44832,0
51,clueweb09-enwp01-99-17450,-4.44832,0
51,clueweb09-enwp00-21-05193,-4.53094,0
51,clueweb09-enwp00-95-17841,-4.5784,1
51,clueweb09-enwp00-93-16535,-4.66208,1
51,clueweb09-enwp01-56-17036,-4.66208,1
51,clueweb09-enwp02-19-00937,-4.66611,1
51,clueweb09-enwp01-55-06136,-4.67115,1
51,clueweb09-enwp01-67-12581,-4.72578,0
51,clueweb09-enwp01-97-02597,-4.72979,0
51,clueweb09-enwp01-56-17042,-4.79506,2
51,clueweb09-enwp00-95-08229,-4.82318,0
51,clueweb09-enwp03-10-08692,-4.82353,0
51,clueweb09-enwp00-94-07507,-4.82837,0
51,clueweb09-enwp01-12-08749,-4.83486,0
51,clueweb09-enwp02-21-07380,-4.8352,0
51,clueweb09-enwp00-86-07380,-4.8352,0
51,clueweb09-enwp03-09-08656,-4.83555,0
51,clueweb09-enwp01-47-21961,-4.8444,0
51,clueweb09-enwp00-83-16479,-4.86192,0
51,clueweb09-enwp01-12-18286,-4.87329,0
51,clueweb09-enwp00-91-16763,-4.87401,0
51,clueweb09-enwp01-74-03181,-4.87854,0
51,clueweb09-enwp00-64-09848,-4.88419,0
51,clueweb09-enwp01-38-09848,-4.88419,0
51,clueweb09-enwp00-49-08158,-4.90501,0
51,clueweb09-enwp02-23-02336,-4.90591,0
51,clueweb09-enwp00-27-17917,-4.91008,0
51,clueweb09-enwp00-73-14421,-4.91333,0
51,clueweb09-enwp00-93-16553,-4.91496,0
51,clueweb09-enwp01-78-16750,-4.91612,0
51,clueweb09-enwp03-10-22949,-4.91612,0
51,clueweb09-enwp00-26-16750,-4.91612,0
51,clueweb09-enwp00-52-06433,-4.91626,0
51,clueweb09-enwp00-39-17785,-4.91626,0
51,clueweb09-enwp00-83-16492,-4.93838,0
51,clueweb09-enwp00-91-16761,-4.93838,0
51,clueweb09-enwp00-68-10561,-4.94143,0
