topic,doc,score,rel
51,clueweb09-en0007-17-32780,-1.63244,1
51,clueweb09-en0038-51-33785,-1.65543,3
51,clueweb09-en0128-12-18639,-1.65654,2
51,clueweb09-en0040-08-35086,-1.68508,2
51,clueweb09-en0087-64-09275,-1.71744,1
51,clueweb09-en0008-42-06337,-1.7177,1
51,clueweb09-en0092-00-03048,-1.72853,1
51,clueweb09-en0122-48-04059,-1.73803,0
51,clueweb09-en0016-79-25759,-1.73993,2
51,clueweb09-en0120-94-10705,-1.74124,2
51,clueweb09-en0078-83-13305,-1.74858,1
51,clueweb09-en0030-65-32869,-1.75123,1
51,clueweb09-en0080-95-06298,-1.75197,1
51,clueweb09-en0007-81-08143,-1.75459,1
51,clueweb09-en0072-32-29430,-1.77312,1
51,clueweb09-en0077-98-35575,-1.7735,1
51,clueweb09-en0096-53-37947,-1.77573,1
51,clueweb09-en0030-65-32974,-1.7821,0
51,clueweb09-en0061-44-14824,-1.78439,0
51,clueweb09-en0040-02-21157,-1.7851,0
51,clueweb09-en0076-23-40592,-1.78656,1
51,clueweb09-en0061-44-14791,-1.78758,1
51,clueweb09-en0061-44-14823,-1.788,0
51,clueweb09-en0040-02-21140,-1.78878,0
51,clueweb09-en0133-98-40361,-1.78948,0
51,clueweb09-en0011-41-17286,-1.79374,1
51,clueweb09-en0019-91-05362,-1.79531,0
51,clueweb09-en0079-11-11014,-1.79773,0
51,clueweb09-en0026-73-34652,-1.80013,0
51,clueweb09-en0068-21-25389,-1.80043,0
51,clueweb09-en0004-36-39733,-1.80245,1
51,clueweb09-en0101-27-29755,-1.8028,0
51,clueweb09-en0038-51-33782,-1.80347,0
51,clueweb09-enwp00-27-06293,-1.80407,1
51,clueweb09-enwp00-23-05499,-1.80498,1
51,clueweb09-enwp00-23-05500,-1.80506,1
51,clueweb09-enwp00-31-05923,-1.80629,1
51,clueweb09-en0094-60-40973,-1.80727,0
51,clueweb09-enwp00-24-05847,-1.80733,1
51,clueweb09-en0059-75-02177,-1.80896,1
51,clueweb09-en0107-44-20738,-1.81588,0
51,clueweb09-en0062-59-17622,-1.81598,0
51,clueweb09-en0008-38-14639,-1.81627,0
51,clueweb09-en0038-56-12859,-1.81659,1
51,clueweb09-en0011-41-17207,-1.81819,2
51,clueweb09-en0040-08-35085,-1.82213,0
51,clueweb09-en0093-25-09218,-1.82429,0
51,clueweb09-en0023-47-29195,-1.8256,0
51,clueweb09-en0079-21-09587,-1.82567,0
51,clueweb09-en0133-71-23355,-1.82679,1
51,clueweb09-en0050-05-02420,-1.82889,0
51,clueweb09-en0064-31-27644,-1.82928,1
51,clueweb09-en0078-60-24772,-1.82945,0
51,clueweb09-en0016-57-25039,-1.83302,0
51,clueweb09-en0099-74-27816,-1.83551,0
51,clueweb09-en0079-45-04582,-1.83568,1
51,clueweb09-en0113-17-29184,-1.8374,1
51,clueweb09-en0033-86-32886,-1.83771,0
51,clueweb09-en0066-06-31260,-1.84198,0
51,clueweb09-en0007-42-22223,-1.84269,2
51,clueweb09-en0006-61-04354,-1.84647,2
51,clueweb09-en0050-83-28796,-1.84704,0
51,clueweb09-en0030-65-32863,-1.84793,0
51,clueweb09-en0051-83-10628,-1.84874,0
51,clueweb09-en0016-57-25102,-1.84883,1
51,clueweb09-en0131-72-46448,-1.85105,1
51,clueweb09-en0063-62-41538,-1.85786,0
51,clueweb09-en0064-15-00839,-1.85895,0
51,clueweb09-en0038-56-12863,-1.8618,0
51,clueweb09-en0011-41-17281,-1.86256,1
51,clueweb09-en0061-44-14831,-1.86663,0
51,clueweb09-en0045-07-00644,-1.86706,0
