topic,doc,score,rel
51,clueweb09-enwp00-27-06293,-1.243256,1
51,clueweb09-enwp00-23-05499,-1.243984,1
51,clueweb09-enwp00-23-05500,-1.244048,1
51,clueweb09-enwp00-31-05923,-1.245032,1
51,clueweb09-enwp00-24-05847,-1.245864,1
51,clueweb09-enwp01-56-17036,-1.301464,1
51,clueweb09-enwp00-93-16535,-1.302016,1
51,clueweb09-enwp00-95-17841,-1.30292,1
51,clueweb09-enwp02-19-00937,-1.305848,1
51,clueweb09-en0007-17-32780,-1.305952,1
51,clueweb09-enwp01-55-06136,-1.307928,1
51,clueweb09-en0038-51-33785,-1.324344,3
51,clueweb09-en0128-12-18639,-1.325232,2
51,clueweb09-en0040-08-35086,-1.348064,2
51,clueweb09-en0087-64-09275,-1.373952,1
51,clueweb09-en0008-42-06337,-1.37416,1
51,clueweb09-en0092-00-03048,-1.382824,1
51,clueweb09-en0122-48-04059,-1.390424,0
51,clueweb09-en0016-79-25759,-1.391944,2
51,clueweb09-en0120-94-10705,-1.392992,2
51,clueweb09-en0078-83-13305,-1.398864,1
51,clueweb09-en0030-65-32869,-1.400984,1
51,clueweb09-en0080-95-06298,-1.401576,1
51,clueweb09-en0007-81-08143,-1.403672,1
51,clueweb09-enwp00-43-17002,-1.413568,0
51,clueweb09-enwp00-41-17358,-1.415088,1
51,clueweb09-enwp00-83-16491,-1.4154,0
51,clueweb09-enwp00-46-17450,-1.416392,0
51,clueweb09-enwp01-99-17450,-1.416392,0
51,clueweb09-en0072-32-29430,-1.418496,1
51,clueweb09-en0077-98-35575,-1.4188,1
51,clueweb09-en0096-53-37947,-1.420584,1
51,clueweb09-en0030-65-32974,-1.42568,0
51,clueweb09-en0061-44-14824,-1.427512,0
51,clueweb09-en0040-02-21157,-1.42808,0
51,clueweb09-en0076-23-40592,-1.429248,1
51,clueweb09-en0061-44-14791,-1.430064,1
51,clueweb09-en0061-44-14823,-1.4304,0
51,clueweb09-en0040-02-21140,-1.431024,0
51,clueweb09-en0133-98-40361,-1.431584,0
51,clueweb09-en0011-41-17286,-1.434992,1
51,clueweb09-en0019-91-05362,-1.436248,0
51,clueweb09-en0079-11-11014,-1.438184,0
51,clueweb09-en0026-73-34652,-1.440104,0
51,clueweb09-en0068-21-25389,-1.440344,0
51,clueweb09-en0004-36-39733,-1.44196,1
51,clueweb09-en0101-27-29755,-1.44224,0
51,clueweb09-en0038-51-33782,-1.442776,0
51,clueweb09-en0094-60-40973,-1.445816,0
51,clueweb09-en0059-75-02177,-1.447168,1
51,clueweb09-en0107-44-20738,-1.452704,0
51,clueweb09-en0062-59-17622,-1.452784,0
51,clueweb09-en0008-38-14639,-1.453016,0
51,clueweb09-en0038-56-12859,-1.453272,1
51,clueweb09-en0011-41-17207,-1.454552,2
51,clueweb09-en0040-08-35085,-1.457704,0
51,clueweb09-en0093-25-09218,-1.459432,0
51,clueweb09-en0023-47-29195,-1.46048,0
51,clueweb09-en0079-21-09587,-1.460536,0
51,clueweb09-en0133-71-23355,-1.461432,1
51,clueweb09-en0050-05-02420,-1.463112,0
51,clueweb09-en0064-31-27644,-1.463424,1
51,clueweb09-en0078-60-24772,-1.46356,0
51,clueweb09-en0016-57-25039,-1.466416,0
51,clueweb09-en0099-74-27816,-1.468408,0
51,clueweb09-en0079-45-04582,-1.468544,1
51,clueweb09-en0113-17-29184,-1.46992,1
51,clueweb09-en0033-86-32886,-1.470168,0
51,clueweb09-en0066-06-31260,-1.473584,0
51,clueweb09-en0007-42-22223,-1.474152,2
51,clueweb09-en0006-61-04354,-1.477176,2
51,clueweb09-en0050-83-28796,-1.477632,0
51,clueweb09-en0030-65-32863,-1.478344,0
51,clueweb09-en0051-83-10628,-1.478992,0
51,clueweb09-en0016-57-25102,-1.479064,1
51,clueweb09-en0131-72-46448,-1.48084,1
51,clueweb09-en0063-62-41538,-1.486288,0
51,clueweb09-en0064-15-00839,-1.48716,0
51,clueweb09-en0038-56-12863,-1.48944,0
51,clueweb09-en0011-41-17281,-1.490048,1
51,clueweb09-en0061-44-14831,-1.493304,0
51,clueweb09-en0045-07-00644,-1.493648,0
51,clueweb09-en0024-25-20191,-1.4942,1
51,clueweb09-en0116-88-12143,-1.499168,0
51,clueweb09-enwp02-09-03587,-1.500224,1
51,clueweb09-en0011-41-17257,-1.50036,1
51,clueweb09-enwp00-83-16505,-1.500376,1
51,clueweb09-enwp00-42-08767,-1.50044,1
51,clueweb09-en0103-70-01600,-1.500504,0
51,clueweb09-enwp00-75-00866,-1.500584,1
51,clueweb09-enwp00-77-09494,-1.500816,0
51,clueweb09-enwp00-61-09883,-1.500976,0
51,clueweb09-enwp00-84-17568,-1.50104,0
51,clueweb09-enwp00-34-22452,-1.501208,0
51,clueweb09-enwp00-73-01083,-1.501256,1
51,clueweb09-en0067-38-03161,-1.501288,0
51,clueweb09-en0034-44-13157,-1.501376,1
51,clueweb09-en0047-29-06797,-1.501616,1
51,clueweb09-en0016-57-25149,-1.501624,0
51,clueweb09-enwp00-78-09678,-1.501664,0
51,clueweb09-enwp00-68-10590,-1.501728,0
51,clueweb09-enwp02-14-09765,-1.502136,0
51,clueweb09-enwp00-66-09766,-1.502136,0
51,clueweb09-enwp02-14-09766,-1.502136,0
51,clueweb09-enwp00-66-09765,-1.502136,0
51,clueweb09-en0065-03-10251,-1.502392,0
51,clueweb09-en0034-44-13158,-1.504104,0
51,clueweb09-en0021-93-06727,-1.504832,0
51,clueweb09-en0009-84-34320,-1.504968,1
51,clueweb09-en0016-57-25092,-1.50576,1
51,clueweb09-en0008-56-28642,-1.507288,0
51,clueweb09-en0050-57-44277,-1.508568,0
51,clueweb09-en0118-63-21266,-1.508648,0
51,clueweb09-en0006-61-04382,-1.508688,1
51,clueweb09-en0021-76-41289,-1.509688,1
51,clueweb09-en0016-57-25253,-1.510032,0
51,clueweb09-en0035-25-12700,-1.510464,0
51,clueweb09-en0012-22-02948,-1.511032,2
51,clueweb09-en0094-45-26393,-1.512344,0
51,clueweb09-en0080-95-08189,-1.512792,0
