topic,doc,score,rel
51,clueweb09-enwp00-23-05500,-3.51785,1
51,clueweb09-enwp00-31-05923,-3.52015,1
51,clueweb09-enwp00-23-05499,-3.5203,1
51,clueweb09-enwp00-27-06293,-3.52075,1
51,clueweb09-enwp00-24-05847,-3.521,1
51,clueweb09-en0011-41-17268,-3.65032,1
51,clueweb09-en0019-91-05354,-3.66348,1
51,clueweb09-en0128-12-18639,-3.74052,2
51,clueweb09-en0038-51-33785,-3.74055,3
51,clueweb09-en0019-91-05362,-3.78239,0
51,clueweb09-en0011-41-17286,-3.78921,1
51,clueweb09-en0038-56-12859,-3.80883,1
51,clueweb09-en0040-08-35086,-3.83832,2
51,clueweb09-en0012-22-02948,-3.8392,2
51,clueweb09-en0011-41-17257,-3.84268,1
51,clueweb09-en0047-29-06797,-3.84941,1
51,clueweb09-en0006-61-04354,-3.85001,2
51,clueweb09-en0021-76-41289,-3.86203,1
51,clueweb09-en0064-31-27644,-3.89848,1
51,clueweb09-en0034-44-13157,-3.92073,1
51,clueweb09-en0026-77-09305,-3.93167,0
51,clueweb09-enwp01-56-17036,-3.93171,1
51,clueweb09-enwp00-93-16535,-3.93174,1
51,clueweb09-enwp00-95-17841,-3.93296,1
51,clueweb09-en0019-91-05346,-3.93647,0
51,clueweb09-enwp02-19-00937,-3.93715,1
51,clueweb09-en0079-45-04582,-3.94149,1
51,clueweb09-enwp01-55-06136,-3.9424,1
51,clueweb09-en0061-44-14823,-3.96135,0
51,clueweb09-en0025-01-30417,-3.96146,0
51,clueweb09-en0075-76-14453,-3.96365,0
51,clueweb09-en0133-98-40361,-3.96431,0
51,clueweb09-en0016-79-25759,-3.9772,2
51,clueweb09-en0008-56-28642,-4.00331,0
51,clueweb09-en0025-64-25855,-4.00822,0
51,clueweb09-en0010-37-28468,-4.01644,0
51,clueweb09-en0066-06-31260,-4.02246,0
51,clueweb09-en0062-59-17622,-4.02619,0
51,clueweb09-en0011-47-31334,-4.02827,0
51,clueweb09-en0061-79-24808,-4.03277,0
51,clueweb09-en0011-41-17207,-4.03387,2
51,clueweb09-en0035-25-12706,-4.03712,1
51,clueweb09-en0061-44-14791,-4.03742,1
51,clueweb09-en0040-02-21140,-4.03997,0
51,clueweb09-en0064-15-00839,-4.04191,0
51,clueweb09-en0076-23-40592,-4.04395,1
51,clueweb09-en0024-90-14939,-4.04968,0
51,clueweb09-en0004-77-30624,-4.05593,1
51,clueweb09-en0131-67-36221,-4.06004,0
51,clueweb09-en0016-23-27285,-4.06528,0
51,clueweb09-en0079-21-09587,-4.06689,0
51,clueweb09-en0034-44-13158,-4.06874,0
51,clueweb09-en0033-86-32886,-4.07863,0
51,clueweb09-en0036-48-05123,-4.08597,0
51,clueweb09-en0077-98-35575,-4.09707,1
51,clueweb09-en0120-14-18637,-4.09745,0
51,clueweb09-en0072-32-29430,-4.0992,1
51,clueweb09-en0118-63-21266,-4.10363,0
51,clueweb09-en0033-65-32451,-4.10584,0
51,clueweb09-en0030-04-11276,-4.10724,0
51,clueweb09-en0127-46-00948,-4.10837,0
51,clueweb09-en0113-17-29184,-4.11257,1
