topic,doc,score,rel
51,clueweb09-enwp01-56-17042,32.5683185396175,2
51,clueweb09-en0087-64-09275,32.4404879281637,1
51,clueweb09-en0036-11-35873,31.3155497767016,0
51,clueweb09-en0080-95-06298,30.5767961800073,1
51,clueweb09-en0065-20-33465,30.2005857796411,0
51,clueweb09-en0020-27-29692,30.1108479295002,0
51,clueweb09-en0025-28-05005,29.9161383932259,1
51,clueweb09-en0051-93-34266,29.5921116116272,0
51,clueweb09-en0050-82-25923,29.5565890794866,0
51,clueweb09-en0016-57-25241,29.2309482471175,0
51,clueweb09-en0030-65-32869,29.1905451526187,1
51,clueweb09-en0091-66-45121,28.9543050431221,1
51,clueweb09-en0037-16-18265,28.9188962390595,0
51,clueweb09-en0096-53-37947,28.8510289978437,1
51,clueweb09-en0072-07-13393,28.8404302822412,0
51,clueweb09-en0044-43-10913,28.8404302822412,0
51,clueweb09-en0073-11-10205,28.5718785331252,0
51,clueweb09-en0038-56-12700,28.4526980434943,0
51,clueweb09-en0016-57-25039,28.4526720900383,0
51,clueweb09-en0004-77-30624,28.278302803497,1
51,clueweb09-en0008-85-35877,28.2203634832406,0
51,clueweb09-en0065-05-02183,28.2013798395378,0
51,clueweb09-en0011-01-24941,28.2013466237432,1
51,clueweb09-en0045-07-00644,28.1650159710426,0
51,clueweb09-en0052-38-05720,28.0108825534353,0
51,clueweb09-en0008-40-14674,28.0006909122523,0
51,clueweb09-en0012-17-28510,27.9783029462727,0
51,clueweb09-en0032-37-13464,27.9708820543834,0
51,clueweb09-en0079-45-28080,27.9708403244335,0
51,clueweb09-en0024-23-01350,27.9514665309679,0
51,clueweb09-en0066-75-24423,27.913686746337,0
51,clueweb09-en0009-15-14338,27.8433130804341,0
51,clueweb09-en0001-90-05710,27.783597370135,0
51,clueweb09-en0046-24-16392,27.6905655172278,0
51,clueweb09-en0087-64-05746,27.6578935337213,0
51,clueweb09-en0017-40-33775,27.6262112593621,0
51,clueweb09-en0025-55-04477,27.6015260298701,0
51,clueweb09-en0088-97-37013,27.591252770581,0
51,clueweb09-en0026-77-09311,27.565416898052,0
51,clueweb09-en0102-25-12973,27.565416898052,0
51,clueweb09-en0022-72-07587,27.5653543024711,1
51,clueweb09-en0101-99-12311,27.5364332048389,0
51,clueweb09-en0007-58-07045,27.5241996321003,0
51,clueweb09-en0022-64-36420,27.5199630806174,0
51,clueweb09-en0067-99-21782,27.508266026849,0
51,clueweb09-en0011-80-03785,27.5082658736692,0
51,clueweb09-en0079-84-25789,27.4367457405287,1
51,clueweb09-en0106-17-22664,27.3700593209738,0
51,clueweb09-en0033-70-26839,27.3593659242628,0
51,clueweb09-en0011-41-17254,27.3541373618866,0
51,clueweb09-en0122-81-16666,27.3075435444727,0
51,clueweb09-en0038-03-40393,27.2895272811277,0
51,clueweb09-en0007-26-26628,27.2206285452957,0
51,clueweb09-enwp00-93-16553,27.2205395657771,0
51,clueweb09-en0051-39-44973,27.1405049201219,0
51,clueweb09-en0038-53-06821,27.1405049201219,0
51,clueweb09-en0132-24-02339,27.1405049201219,0
51,clueweb09-en0008-91-03607,27.1252391625079,0
51,clueweb09-enwp00-98-17146,27.121887163395,0
51,clueweb09-en0024-69-03780,27.1214585874675,0
51,clueweb09-en0009-15-14337,27.1027683167683,0
51,clueweb09-en0024-45-30735,27.0937243157465,0
51,clueweb09-en0106-17-22665,27.066403920654,0
51,clueweb09-en0025-82-09111,27.031423328802,0
51,clueweb09-en0030-65-32974,26.9974184643177,0
51,clueweb09-en0041-02-18277,26.9647464850662,0
51,clueweb09-en0131-72-46447,26.8722698621618,0
51,clueweb09-en0073-86-08760,26.8434151825133,0
51,clueweb09-en0051-36-09236,26.8434151825133,0
51,clueweb09-en0025-50-41545,26.8432863221284,0
51,clueweb09-en0024-69-03779,26.8291041450902,0
51,clueweb09-en0036-55-22970,26.7610590229314,0
51,clueweb09-en0011-41-17199,26.6609903600364,0
