topic,doc,score,rel
101,clueweb09-en0004-66-09322,4168.0,2
101,clueweb09-en0011-32-10146,4066.0,0
101,clueweb09-en0009-83-31721,4038.0,0
101,clueweb09-en0001-31-24516,3936.0,1
101,clueweb09-en0003-60-13052,3917.0,2
101,clueweb09-en0009-19-09264,3906.0,0
101,clueweb09-en0001-31-24515,3903.0,1
101,clueweb09-en0001-31-25150,3899.0,1
101,clueweb09-en0008-80-29984,3887.0,0
101,clueweb09-en0001-31-23338,3884.0,1
101,clueweb09-en0005-83-31893,3884.0,0
101,clueweb09-en0010-91-25089,3863.0,0
101,clueweb09-en0010-91-25096,3856.0,0
101,clueweb09-en0002-54-00468,3840.0,1
101,clueweb09-en0008-50-34897,3830.0,0
101,clueweb09-en0010-47-16457,3824.0,0
101,clueweb09-en0008-86-11031,3822.0,0
101,clueweb09-en0007-20-34393,3816.0,0
101,clueweb09-en0000-61-21648,3814.0,0
101,clueweb09-en0008-80-29999,3798.0,1
101,clueweb09-en0006-80-16991,3783.0,0
101,clueweb09-en0010-91-25316,3782.0,1
101,clueweb09-en0009-62-01021,3778.0,1
101,clueweb09-en0001-98-07420,3778.0,0
101,clueweb09-en0009-87-38517,3777.0,0
101,clueweb09-en0000-79-12800,3762.0,1
101,clueweb09-en0006-97-01938,3762.0,1
101,clueweb09-en0010-56-30018,3761.0,1
101,clueweb09-en0004-12-04141,3738.0,0
101,clueweb09-en0011-32-10186,3729.0,0
101,clueweb09-en0002-83-01420,3728.0,1
101,clueweb09-en0002-26-21869,3717.0,0
101,clueweb09-en0004-37-01154,3708.0,0
101,clueweb09-en0008-80-29992,3699.0,1
101,clueweb09-en0001-91-27453,3695.0,0
101,clueweb09-en0008-82-30606,3682.0,0
101,clueweb09-en0007-70-02732,3675.0,0
101,clueweb09-en0004-44-12378,3663.0,0
101,clueweb09-en0011-55-26046,3660.0,0
101,clueweb09-en0009-31-15884,3659.0,0
101,clueweb09-en0009-19-09281,3659.0,0
101,clueweb09-en0010-88-00029,3648.0,1
101,clueweb09-en0009-21-07941,3645.0,0
101,clueweb09-en0011-32-10292,3642.0,0
101,clueweb09-en0008-67-34790,3623.0,0
101,clueweb09-en0006-67-33539,3623.0,0
101,clueweb09-en0000-11-36944,3618.0,0
101,clueweb09-en0010-42-03661,3613.0,0
101,clueweb09-en0006-11-05235,3609.0,0
101,clueweb09-en0002-62-17931,3588.0,0
101,clueweb09-en0002-46-20031,3584.0,0
101,clueweb09-en0011-50-37385,3583.0,0
101,clueweb09-en0008-85-37533,3581.0,0
101,clueweb09-en0008-86-11051,3580.0,0
101,clueweb09-en0002-34-31150,3578.0,0
101,clueweb09-en0002-62-17980,3570.0,0
101,clueweb09-en0006-70-22566,3568.0,1
101,clueweb09-en0008-82-30566,3565.0,0
101,clueweb09-en0011-65-28171,3564.0,0
101,clueweb09-en0002-26-21862,3556.0,0
101,clueweb09-en0000-78-19663,3555.0,0
101,clueweb09-en0000-61-21508,3553.0,0
101,clueweb09-en0002-25-14422,3536.0,0
101,clueweb09-en0001-98-07429,3534.0,0
101,clueweb09-en0000-53-14225,3534.0,0
101,clueweb09-en0008-67-34777,3532.0,0
101,clueweb09-en0009-87-23325,3531.0,0
101,clueweb09-en0006-11-05186,3528.0,0
101,clueweb09-en0008-67-34762,3521.0,0
101,clueweb09-en0009-15-15863,3514.0,0
101,clueweb09-en0000-69-20179,3505.0,0
101,clueweb09-en0001-39-25672,3502.0,0
101,clueweb09-en0001-98-07434,3502.0,0
101,clueweb09-en0001-98-07435,3502.0,0
101,clueweb09-en0007-09-13995,3500.0,0
101,clueweb09-en0010-93-30671,3494.0,1
101,clueweb09-en0007-64-35539,3480.0,0
101,clueweb09-en0006-51-35681,3474.0,1
101,clueweb09-en0006-70-22583,3473.0,0
101,clueweb09-en0010-42-03657,3460.0,0
101,clueweb09-en0003-31-16634,3459.0,0
101,clueweb09-en0003-28-14424,3454.0,0
101,clueweb09-en0002-25-31230,3452.0,0
101,clueweb09-en0000-61-21654,3448.0,0
101,clueweb09-en0000-79-36185,3440.0,0
101,clueweb09-en0005-09-25575,3439.0,0
101,clueweb09-en0003-75-17857,3436.0,1
101,clueweb09-en0006-37-16979,3434.0,0
101,clueweb09-en0009-60-12955,3430.0,0
101,clueweb09-en0002-46-20002,3419.0,0
101,clueweb09-en0002-46-20062,3417.0,0
101,clueweb09-en0011-71-15097,3416.0,0
101,clueweb09-en0001-39-25736,3416.0,0
101,clueweb09-en0007-64-35557,3409.0,0
101,clueweb09-en0011-31-18792,3405.0,0
101,clueweb09-en0007-97-25998,3404.0,0
101,clueweb09-en0008-01-33722,3401.0,0
101,clueweb09-en0011-65-17179,3396.0,0
101,clueweb09-en0010-70-04403,3395.0,0
101,clueweb09-en0006-66-37720,3393.0,0
101,clueweb09-en0007-97-26261,3386.0,0
101,clueweb09-en0008-11-26112,3383.0,0
101,clueweb09-en0010-97-25356,3380.0,0
101,clueweb09-en0001-93-25798,3379.0,0
101,clueweb09-en0007-64-35553,3378.0,0
101,clueweb09-en0007-97-25999,3377.0,0
101,clueweb09-en0010-05-10712,3377.0,0
101,clueweb09-en0008-80-30022,3376.0,1
101,clueweb09-en0007-97-25996,3375.0,0
101,clueweb09-en0001-98-07437,3373.0,0
101,clueweb09-en0005-74-37547,3373.0,0
101,clueweb09-en0008-80-30010,3373.0,0
101,clueweb09-en0005-74-37554,3373.0,0
101,clueweb09-en0005-74-37546,3371.0,0
101,clueweb09-en0005-10-04901,3368.0,0
101,clueweb09-en0001-40-23212,3367.0,0
101,clueweb09-en0009-08-14486,3365.0,0
101,clueweb09-en0003-16-26817,3364.0,1
101,clueweb09-en0002-26-21908,3361.0,0
101,clueweb09-en0007-64-35552,3353.0,0
101,clueweb09-en0007-97-26001,3353.0,0
101,clueweb09-en0008-01-05181,3350.0,0
101,clueweb09-en0008-67-34751,3347.0,0
101,clueweb09-en0001-44-43742,3346.0,0
101,clueweb09-enwp01-51-16785,3343.0,0
101,clueweb09-en0010-91-25513,3341.0,0
101,clueweb09-en0005-74-37538,3340.0,0
101,clueweb09-en0005-74-37559,3340.0,0
101,clueweb09-en0000-97-09487,3339.0,0
101,clueweb09-en0009-24-30186,3338.0,0
101,clueweb09-en0008-51-28018,3334.0,0
101,clueweb09-en0008-80-30000,3334.0,0
101,clueweb09-en0008-51-28021,3330.0,0
101,clueweb09-en0007-97-26255,3324.0,0
101,clueweb09-en0005-84-26356,3324.0,0
101,clueweb09-en0004-97-01606,3324.0,0
101,clueweb09-en0003-67-03702,3319.0,0
101,clueweb09-en0002-46-19987,3318.0,0
101,clueweb09-en0010-91-25094,3314.0,0
101,clueweb09-en0006-40-17105,3311.0,0
101,clueweb09-en0009-52-16224,3311.0,0
101,clueweb09-en0006-95-09365,3311.0,0
101,clueweb09-en0009-36-22418,3311.0,0
101,clueweb09-en0008-54-15954,3310.0,0
101,clueweb09-en0008-67-34761,3307.0,0
101,clueweb09-en0004-84-14136,3305.0,0
101,clueweb09-en0007-64-35554,3304.0,0
101,clueweb09-en0010-29-05959,3303.0,0
101,clueweb09-en0001-69-04553,3301.0,0
101,clueweb09-en0008-80-29983,3298.0,0
101,clueweb09-en0007-65-25377,3294.0,0
101,clueweb09-enwp01-40-22507,3293.0,0
101,clueweb09-enwp01-10-20426,3293.0,0
101,clueweb09-en0006-74-20988,3293.0,0
101,clueweb09-en0005-83-31866,3292.0,0
101,clueweb09-en0009-19-09262,3289.0,0
101,clueweb09-en0001-74-36490,3289.0,0
101,clueweb09-en0003-60-13175,3288.0,0
101,clueweb09-en0002-46-20136,3286.0,0
101,clueweb09-en0008-80-29979,3286.0,0
101,clueweb09-en0007-64-35556,3284.0,0
101,clueweb09-en0002-46-19986,3283.0,0
101,clueweb09-en0005-58-31651,3274.0,0
101,clueweb09-en0008-72-29938,3273.0,0
101,clueweb09-en0002-46-19935,3273.0,0
101,clueweb09-en0011-33-19380,3270.0,0
101,clueweb09-en0002-63-17840,3264.0,0
101,clueweb09-en0007-97-26000,3263.0,0
101,clueweb09-en0002-26-21899,3263.0,0
101,clueweb09-enwp02-30-09857,3260.0,0
101,clueweb09-en0001-25-08270,3255.0,0
101,clueweb09-en0001-25-08269,3255.0,0
101,clueweb09-en0007-97-26065,3252.0,0
101,clueweb09-en0007-97-25921,3252.0,0
101,clueweb09-en0007-97-26066,3251.0,0
101,clueweb09-en0004-42-33448,3251.0,0
101,clueweb09-en0002-25-14418,3249.0,0
101,clueweb09-en0002-46-20061,3248.0,0
101,clueweb09-en0004-91-08018,3243.0,0
101,clueweb09-en0005-83-29934,3243.0,0
101,clueweb09-en0004-07-29950,3243.0,0
101,clueweb09-en0010-38-10089,3241.0,0
101,clueweb09-en0006-70-22613,3241.0,0
101,clueweb09-en0011-32-23656,3233.0,0
101,clueweb09-en0009-17-05480,3233.0,0
