topic,doc,score,rel
101,clueweb09-en0031-19-26516,-2.77537,1
101,clueweb09-en0010-91-25316,-3.72929,1
101,clueweb09-en0010-93-30671,-4.09121,1
101,clueweb09-en0004-66-09322,-4.44495,2
101,clueweb09-en0055-06-00232,-4.67168,0
101,clueweb09-en0041-45-24575,-4.69441,0
101,clueweb09-en0044-05-29808,-4.69924,2
101,clueweb09-en0060-32-10400,-4.77633,1
101,clueweb09-en0041-66-35720,-4.83568,2
101,clueweb09-en0019-32-21921,-4.85174,2
101,clueweb09-en0017-31-24902,-4.8556,0
101,clueweb09-en0024-38-09469,-4.87783,0
101,clueweb09-en0050-62-35743,-4.88258,2
101,clueweb09-en0040-43-16645,-4.90654,0
101,clueweb09-en0133-62-23650,-4.91159,1
101,clueweb09-en0096-02-40274,-4.92315,1
101,clueweb09-en0047-33-20039,-4.99631,1
101,clueweb09-en0017-53-16679,-5.006,0
101,clueweb09-en0008-72-29938,-5.0068,0
101,clueweb09-en0037-73-29794,-5.02212,0
101,clueweb09-en0019-36-02171,-5.05048,0
101,clueweb09-en0127-06-11166,-5.06399,1
101,clueweb09-en0023-64-26329,-5.07707,0
101,clueweb09-enwp01-40-22507,-5.08684,0
101,clueweb09-en0119-32-24172,-5.18391,0
101,clueweb09-en0090-78-13282,-5.20097,1
101,clueweb09-en0041-03-23195,-5.21866,1
101,clueweb09-en0116-19-29396,-5.23055,1
101,clueweb09-en0060-32-10470,-5.26085,1
101,clueweb09-en0123-63-34464,-5.27924,1
101,clueweb09-en0120-01-28902,-5.27965,0
101,clueweb09-en0073-28-33925,-5.28216,1
101,clueweb09-en0001-98-07420,-5.28429,0
101,clueweb09-en0047-17-30079,-5.28909,1
101,clueweb09-en0037-10-42637,-5.29252,1
101,clueweb09-en0114-34-23456,-5.30219,0
101,clueweb09-en0028-43-27458,-5.31083,1
101,clueweb09-en0012-66-25933,-5.3117,0
101,clueweb09-en0052-98-00937,-5.32252,0
101,clueweb09-en0031-84-05698,-5.34428,0
101,clueweb09-en0037-01-04779,-5.35242,1
101,clueweb09-en0025-12-25335,-5.35623,1
101,clueweb09-en0087-57-35691,-5.36077,0
101,clueweb09-en0008-80-29984,-5.36313,0
101,clueweb09-en0039-42-35964,-5.38124,1
101,clueweb09-en0013-37-12431,-5.38911,0
101,clueweb09-en0053-05-28222,-5.40618,1
101,clueweb09-en0025-12-25338,-5.41913,1
101,clueweb09-en0116-19-29397,-5.42645,0
101,clueweb09-en0033-30-08382,-5.43561,0
101,clueweb09-en0002-49-10468,-5.43764,0
101,clueweb09-en0016-03-34498,-5.44292,0
101,clueweb09-en0011-32-10292,-5.44584,0
101,clueweb09-en0110-53-13019,-5.47057,1
101,clueweb09-en0069-24-06610,-5.47132,1
101,clueweb09-en0108-92-12567,-5.48029,0
101,clueweb09-en0008-51-28018,-5.49711,0
101,clueweb09-en0013-15-36966,-5.5169,0
101,clueweb09-en0002-83-01420,-5.53219,1
101,clueweb09-en0037-73-29894,-5.53353,0
101,clueweb09-en0045-27-05609,-5.53923,0
101,clueweb09-en0132-38-03780,-5.54153,0
101,clueweb09-en0074-97-20538,-5.55933,0
101,clueweb09-en0013-15-36968,-5.55948,0
101,clueweb09-en0004-42-00749,-5.56206,0
101,clueweb09-en0017-84-26707,-5.56792,0
101,clueweb09-en0015-79-26948,-5.57124,0
101,clueweb09-en0000-78-19663,-5.57124,0
101,clueweb09-en0020-99-40732,-5.57204,0
101,clueweb09-en0079-89-32522,-5.57261,0
101,clueweb09-en0025-12-25336,-5.57448,0
101,clueweb09-en0041-11-05928,-5.5747,0
101,clueweb09-en0072-22-06787,-5.5747,1
101,clueweb09-en0030-22-29488,-5.58749,0
101,clueweb09-en0118-20-03794,-5.58851,0
101,clueweb09-en0027-56-22831,-5.60711,0
101,clueweb09-en0011-36-33299,-5.60816,0
101,clueweb09-en0037-53-17821,-5.6098,0
101,clueweb09-enwp01-10-20426,-5.61672,0
101,clueweb09-en0045-24-06218,-5.61721,0
101,clueweb09-en0025-12-25334,-5.62871,1
101,clueweb09-en0010-91-25096,-5.63326,0
101,clueweb09-en0002-62-17980,-5.63702,0
101,clueweb09-en0021-77-02897,-5.63804,0
101,clueweb09-en0060-32-10318,-5.63998,0
101,clueweb09-en0023-69-23845,-5.64035,0
101,clueweb09-en0096-20-32648,-5.64343,0
101,clueweb09-en0023-92-37810,-5.65053,0
101,clueweb09-en0030-22-29337,-5.65826,0
101,clueweb09-en0006-37-16979,-5.66724,0
101,clueweb09-en0037-53-17817,-5.66929,0
101,clueweb09-en0010-91-25089,-5.67068,0
101,clueweb09-en0024-69-05586,-5.67259,0
101,clueweb09-en0001-69-04553,-5.6738,0
101,clueweb09-en0017-44-12081,-5.68029,0
101,clueweb09-en0082-03-06343,-5.6805,0
101,clueweb09-en0008-80-30010,-5.68939,0
101,clueweb09-en0058-87-11478,-5.69042,0
101,clueweb09-en0053-05-28226,-5.69072,1
101,clueweb09-en0119-72-28210,-5.69143,0
101,clueweb09-en0025-12-25333,-5.70328,0
101,clueweb09-en0012-24-14192,-5.70434,0
101,clueweb09-en0088-75-08875,-5.70636,0
101,clueweb09-en0045-24-06053,-5.70885,0
101,clueweb09-en0059-95-01493,-5.71901,0
101,clueweb09-en0037-22-24499,-5.72191,0
101,clueweb09-en0101-92-06666,-5.73414,0
101,clueweb09-en0013-82-27108,-5.74349,0
101,clueweb09-en0082-03-06344,-5.749,0
101,clueweb09-en0013-08-16334,-5.76353,0
101,clueweb09-en0024-58-25541,-5.76844,0
101,clueweb09-en0023-48-22038,-5.76966,0
101,clueweb09-en0037-73-29675,-5.77198,0
101,clueweb09-en0010-42-03657,-5.78178,0
101,clueweb09-en0002-25-14422,-5.79323,0
101,clueweb09-en0009-17-05479,-5.79325,0
101,clueweb09-en0051-56-26264,-5.79394,0
101,clueweb09-en0024-13-15744,-5.79588,0
101,clueweb09-en0045-27-05779,-5.80665,0
101,clueweb09-en0010-05-10712,-5.8229,0
101,clueweb09-en0022-44-20335,-5.82771,0
101,clueweb09-en0055-89-25575,-5.83068,0
101,clueweb09-en0046-93-05784,-5.83989,0
101,clueweb09-en0006-51-35681,-5.84382,1
101,clueweb09-en0030-14-36654,-5.84617,0
101,clueweb09-en0032-46-23061,-5.85221,0
101,clueweb09-en0017-44-12082,-5.85352,0
101,clueweb09-en0008-51-28078,-5.85678,0
101,clueweb09-en0074-37-31225,-5.86111,0
101,clueweb09-en0038-78-38373,-5.8614,0
101,clueweb09-en0008-80-30011,-5.86195,0
101,clueweb09-en0045-27-05374,-5.86343,0
101,clueweb09-en0093-27-31719,-5.86742,0
101,clueweb09-en0007-40-20313,-5.87095,0
101,clueweb09-en0023-69-23825,-5.87149,0
101,clueweb09-en0068-68-06311,-5.8737,0
101,clueweb09-en0065-56-34727,-5.87383,0
101,clueweb09-en0017-44-12076,-5.87968,0
101,clueweb09-en0072-01-14736,-5.88293,0
101,clueweb09-en0049-99-26126,-5.88345,0
101,clueweb09-en0023-42-04060,-5.88465,0
101,clueweb09-en0132-87-05075,-5.88862,0
101,clueweb09-en0016-70-28798,-5.89053,0
101,clueweb09-en0008-51-28017,-5.89416,0
101,clueweb09-en0041-02-16963,-5.90195,0
101,clueweb09-en0001-40-23150,-5.90492,0
101,clueweb09-en0002-46-20031,-5.90747,0
101,clueweb09-en0009-60-12952,-5.90801,0
101,clueweb09-en0043-02-21708,-5.91644,0
101,clueweb09-en0037-11-22567,-5.91885,0
101,clueweb09-en0013-68-28446,-5.91985,0
101,clueweb09-en0065-09-43754,-5.91998,0
101,clueweb09-en0060-32-10213,-5.92655,0
101,clueweb09-en0013-38-12290,-5.93462,0
101,clueweb09-en0030-14-36606,-5.93684,0
101,clueweb09-en0126-33-13661,-5.93837,0
101,clueweb09-en0048-49-16973,-5.93937,0
101,clueweb09-en0037-37-14799,-5.94075,0
101,clueweb09-en0021-09-12779,-5.94148,0
101,clueweb09-en0008-80-30022,-5.94299,1
101,clueweb09-en0094-07-00483,-5.94468,0
101,clueweb09-en0041-86-35205,-5.94823,0
101,clueweb09-en0033-27-24711,-5.95193,0
101,clueweb09-en0008-51-28115,-5.9656,0
101,clueweb09-en0059-22-26338,-5.96686,0
101,clueweb09-en0073-42-32917,-5.97022,0
101,clueweb09-en0075-49-33998,-5.97192,0
101,clueweb09-en0038-82-09909,-5.97804,0
101,clueweb09-en0115-52-22103,-5.97917,0
101,clueweb09-en0115-29-29928,-5.98544,0
101,clueweb09-en0040-06-04669,-5.98587,0
101,clueweb09-en0012-66-25922,-5.98684,0
101,clueweb09-en0027-18-21471,-5.99024,0
101,clueweb09-en0033-98-18419,-5.99247,0
101,clueweb09-en0015-59-22277,-5.99625,0
101,clueweb09-en0015-02-13023,-5.99899,0
101,clueweb09-en0008-80-30000,-6.00014,0
101,clueweb09-en0013-82-27076,-6.00268,0
101,clueweb09-en0051-56-26299,-6.00339,0
101,clueweb09-en0045-58-26884,-6.00524,0
101,clueweb09-en0027-51-20231,-6.00567,0
101,clueweb09-en0060-32-10469,-6.00907,0
101,clueweb09-en0082-75-22840,-6.01622,0
101,clueweb09-en0003-16-26817,-6.01767,1
101,clueweb09-en0110-73-30764,-6.02108,0
101,clueweb09-en0123-00-22899,-6.03158,0
101,clueweb09-en0030-14-36901,-6.03168,0
101,clueweb09-en0012-72-21065,-6.03527,0
101,clueweb09-en0022-95-14523,-6.0419,0
101,clueweb09-en0044-90-33598,-6.04582,0
101,clueweb09-en0115-71-21391,-6.05362,0
101,clueweb09-en0033-53-12731,-6.05782,0
101,clueweb09-en0101-30-13564,-6.05789,0
101,clueweb09-en0016-07-00645,-6.058,0
101,clueweb09-enwp01-51-16785,-6.05905,0
101,clueweb09-en0036-84-36525,-6.06137,0
101,clueweb09-en0038-27-26103,-6.06321,0
101,clueweb09-en0059-96-10552,-6.06333,0
101,clueweb09-en0021-20-32869,-6.06547,0
101,clueweb09-en0018-77-21385,-6.06616,0
101,clueweb09-en0030-14-36657,-6.06912,0
101,clueweb09-en0074-97-20102,-6.07247,0
101,clueweb09-en0008-80-29999,-6.07403,1
101,clueweb09-en0033-32-17080,-6.07655,0
101,clueweb09-en0025-06-03602,-6.07659,0
101,clueweb09-en0021-20-20318,-6.07831,0
101,clueweb09-en0021-05-35730,-6.08092,0
101,clueweb09-en0095-32-39044,-6.08194,0
101,clueweb09-en0016-03-34361,-6.08537,0
101,clueweb09-en0016-03-34426,-6.08979,0
101,clueweb09-en0059-96-10234,-6.09122,0
101,clueweb09-en0051-13-40791,-6.09123,0
