topic,doc,score,rel
101,clueweb09-en0010-93-30671,-6.94812,1
101,clueweb09-en0004-66-09322,-7.01497,2
101,clueweb09-en0003-60-13052,-7.05762,2
101,clueweb09-en0006-70-22566,-7.15841,1
101,clueweb09-en0008-80-29984,-7.19565,0
101,clueweb09-enwp01-40-22507,-7.22891,0
101,clueweb09-en0001-91-27453,-7.23249,0
101,clueweb09-enwp01-10-20426,-7.23674,0
101,clueweb09-en0011-52-14199,-7.29708,0
101,clueweb09-en0000-79-12800,-7.34907,1
101,clueweb09-en0006-97-01938,-7.43752,1
101,clueweb09-en0004-75-27659,-7.44923,0
101,clueweb09-en0001-69-04553,-7.45242,0
101,clueweb09-en0002-62-17931,-7.45696,0
101,clueweb09-en0006-80-16991,-7.46566,0
101,clueweb09-en0009-17-05479,-7.47758,0
101,clueweb09-en0008-86-11051,-7.48343,0
101,clueweb09-en0009-19-09281,-7.48343,0
101,clueweb09-en0003-60-13047,-7.4836,0
101,clueweb09-en0002-54-00468,-7.49307,1
101,clueweb09-en0011-71-15097,-7.51403,0
101,clueweb09-en0003-75-17857,-7.519,1
101,clueweb09-en0010-42-04786,-7.52912,0
101,clueweb09-en0001-74-36490,-7.53125,0
101,clueweb09-en0007-71-07471,-7.53295,0
101,clueweb09-en0008-24-24500,-7.53337,0
101,clueweb09-en0008-72-29938,-7.54336,0
101,clueweb09-en0009-19-09264,-7.55366,0
101,clueweb09-en0008-86-11031,-7.55366,0
101,clueweb09-en0004-79-15466,-7.55764,0
101,clueweb09-en0010-56-30018,-7.55988,1
101,clueweb09-en0004-43-07324,-7.55998,0
101,clueweb09-en0005-27-32450,-7.56072,0
101,clueweb09-en0006-70-22608,-7.56835,0
101,clueweb09-en0008-24-24493,-7.57446,0
101,clueweb09-en0003-60-13037,-7.58501,0
101,clueweb09-en0003-60-13042,-7.58529,0
101,clueweb09-en0003-60-13040,-7.59583,0
101,clueweb09-en0009-17-05480,-7.59775,0
101,clueweb09-en0003-60-13046,-7.59806,0
101,clueweb09-en0003-60-13038,-7.59885,0
101,clueweb09-en0006-70-22626,-7.599,0
101,clueweb09-en0006-70-22583,-7.59948,0
101,clueweb09-en0003-60-13041,-7.59961,0
101,clueweb09-en0003-60-13045,-7.60307,0
101,clueweb09-en0004-97-01606,-7.60482,0
101,clueweb09-en0003-60-13048,-7.60487,0
101,clueweb09-en0007-97-25999,-7.60627,0
101,clueweb09-en0001-98-07420,-7.60746,0
101,clueweb09-en0002-29-14725,-7.60809,0
101,clueweb09-en0003-60-13036,-7.61335,0
101,clueweb09-en0003-60-13050,-7.61737,0
101,clueweb09-en0003-60-13039,-7.61953,0
101,clueweb09-en0010-88-00029,-7.61955,1
101,clueweb09-en0000-21-12356,-7.61974,0
101,clueweb09-en0010-39-17891,-7.62241,0
101,clueweb09-en0000-78-19663,-7.62305,0
101,clueweb09-en0003-60-13053,-7.62311,0
101,clueweb09-en0003-60-13035,-7.62338,0
101,clueweb09-en0003-60-13051,-7.62386,0
101,clueweb09-en0003-60-13049,-7.62469,0
101,clueweb09-en0003-60-13044,-7.63126,0
101,clueweb09-en0007-97-25998,-7.63283,0
101,clueweb09-en0004-42-00756,-7.6372,0
101,clueweb09-en0009-97-13608,-7.63868,0
101,clueweb09-en0010-05-10966,-7.63972,0
101,clueweb09-en0003-60-13043,-7.64926,0
101,clueweb09-en0007-96-28435,-7.65136,0
101,clueweb09-en0011-28-14643,-7.65192,0
101,clueweb09-en0003-37-13293,-7.65406,0
101,clueweb09-en0008-54-15954,-7.65549,0
101,clueweb09-en0007-97-26001,-7.66028,0
101,clueweb09-en0009-14-05238,-7.66059,0
101,clueweb09-en0007-97-26261,-7.66073,0
101,clueweb09-en0010-91-25096,-7.66228,0
101,clueweb09-en0008-51-28018,-7.66273,0
101,clueweb09-en0001-40-23150,-7.66363,0
101,clueweb09-en0004-55-23868,-7.66906,0
101,clueweb09-en0007-96-28441,-7.67063,0
101,clueweb09-en0001-31-25150,-7.67116,1
101,clueweb09-en0011-32-10146,-7.67207,0
101,clueweb09-en0001-13-03866,-7.6727,0
101,clueweb09-en0009-83-31721,-7.67327,0
101,clueweb09-en0008-50-34897,-7.67928,0
101,clueweb09-en0010-91-25089,-7.68187,0
101,clueweb09-en0008-80-30000,-7.68619,0
101,clueweb09-en0002-86-10098,-7.68675,0
101,clueweb09-en0002-14-18678,-7.6887,0
101,clueweb09-en0001-31-24515,-7.69417,1
101,clueweb09-en0010-88-00048,-7.69444,0
101,clueweb09-en0010-93-30559,-7.70666,0
101,clueweb09-en0007-97-25996,-7.70751,0
101,clueweb09-en0001-31-24516,-7.70883,1
101,clueweb09-en0008-51-28021,-7.71396,0
101,clueweb09-en0010-04-31191,-7.72399,0
101,clueweb09-en0000-69-20179,-7.724,0
101,clueweb09-en0004-65-01094,-7.72563,0
101,clueweb09-en0007-65-25377,-7.73297,0
101,clueweb09-en0006-70-22597,-7.73498,0
101,clueweb09-en0010-29-05959,-7.73657,0
101,clueweb09-en0006-51-35681,-7.73721,1
101,clueweb09-en0003-75-20352,-7.73825,0
101,clueweb09-en0006-70-22653,-7.74683,0
101,clueweb09-en0006-70-22506,-7.75651,0
101,clueweb09-en0001-95-21367,-7.75775,0
101,clueweb09-en0001-31-23338,-7.76013,1
101,clueweb09-en0006-70-22560,-7.76579,0
101,clueweb09-en0006-70-22594,-7.7682,0
101,clueweb09-en0007-56-21239,-7.76989,0
101,clueweb09-en0005-83-31893,-7.77058,0
101,clueweb09-en0006-70-22494,-7.77124,0
101,clueweb09-en0006-70-22577,-7.77781,0
101,clueweb09-en0006-70-22516,-7.77781,0
101,clueweb09-en0007-40-20313,-7.77804,0
101,clueweb09-en0006-70-22647,-7.77859,0
101,clueweb09-en0006-70-22648,-7.77869,0
101,clueweb09-en0007-97-26000,-7.77942,0
101,clueweb09-en0010-93-29474,-7.78052,0
101,clueweb09-en0006-70-22554,-7.78073,0
101,clueweb09-en0006-70-22515,-7.78203,0
101,clueweb09-en0006-70-22550,-7.78251,0
101,clueweb09-en0008-51-28017,-7.78362,0
101,clueweb09-en0006-70-22655,-7.78645,0
101,clueweb09-en0006-70-22500,-7.78709,0
101,clueweb09-en0010-91-25316,-7.78879,1
101,clueweb09-en0004-44-12378,-7.78983,0
101,clueweb09-en0010-05-10712,-7.79337,0
101,clueweb09-en0006-70-22632,-7.79485,0
101,clueweb09-en0006-70-22630,-7.79682,0
101,clueweb09-en0006-70-22616,-7.7976,0
101,clueweb09-en0006-70-22562,-7.79865,0
101,clueweb09-en0011-52-14202,-7.79946,0
101,clueweb09-en0008-86-11029,-7.80058,0
101,clueweb09-en0009-19-09262,-7.80058,0
101,clueweb09-en0006-70-22639,-7.80181,0
101,clueweb09-en0006-70-22534,-7.80332,0
101,clueweb09-en0004-35-06637,-7.80485,0
101,clueweb09-en0006-70-22678,-7.80738,0
101,clueweb09-en0006-70-22650,-7.80753,0
101,clueweb09-en0011-50-37385,-7.80766,0
101,clueweb09-en0006-70-22638,-7.80805,0
101,clueweb09-en0006-70-22518,-7.80806,0
101,clueweb09-en0006-70-22551,-7.80834,0
101,clueweb09-en0007-63-30992,-7.80884,0
101,clueweb09-en0006-70-22589,-7.80898,0
101,clueweb09-en0006-70-22620,-7.809,0
101,clueweb09-en0006-70-22535,-7.80916,0
101,clueweb09-en0006-70-22510,-7.8094,0
101,clueweb09-en0006-70-22568,-7.80967,0
101,clueweb09-en0006-70-22536,-7.80975,0
101,clueweb09-en0006-70-22533,-7.81022,0
101,clueweb09-en0006-70-22631,-7.81062,0
101,clueweb09-en0006-70-22618,-7.81073,0
101,clueweb09-en0010-88-00033,-7.81181,0
101,clueweb09-en0006-70-22629,-7.81184,0
101,clueweb09-en0006-70-22659,-7.81238,0
101,clueweb09-en0006-70-22503,-7.81378,0
101,clueweb09-en0006-70-22588,-7.81475,0
101,clueweb09-en0010-42-03657,-7.81708,0
101,clueweb09-en0006-70-22549,-7.81723,0
101,clueweb09-en0000-11-36944,-7.81785,0
101,clueweb09-en0006-70-22602,-7.81886,0
101,clueweb09-en0006-70-22496,-7.819,0
101,clueweb09-en0006-70-22497,-7.81906,0
101,clueweb09-en0009-42-25622,-7.81907,0
101,clueweb09-en0009-19-09248,-7.8209,0
101,clueweb09-en0008-86-11016,-7.82122,0
101,clueweb09-en0006-70-22547,-7.82342,0
101,clueweb09-en0008-80-30022,-7.82484,1
101,clueweb09-en0006-70-22522,-7.82685,0
101,clueweb09-en0006-70-22517,-7.82704,0
101,clueweb09-en0011-32-10173,-7.82712,0
101,clueweb09-en0006-70-22661,-7.82728,0
101,clueweb09-en0002-29-14688,-7.82779,0
101,clueweb09-en0006-70-22641,-7.82795,0
101,clueweb09-en0008-80-29983,-7.82868,0
101,clueweb09-en0006-70-22624,-7.82936,0
101,clueweb09-en0006-70-22645,-7.8301,0
101,clueweb09-en0006-70-22546,-7.83325,0
101,clueweb09-en0008-31-02561,-7.83506,0
101,clueweb09-en0006-70-22508,-7.83558,0
101,clueweb09-en0006-70-22621,-7.83608,0
101,clueweb09-en0008-80-29992,-7.83717,1
101,clueweb09-en0006-70-22658,-7.83888,0
101,clueweb09-en0006-70-22613,-7.83977,0
101,clueweb09-en0006-70-22552,-7.84086,0
101,clueweb09-en0006-70-22561,-7.84114,0
101,clueweb09-en0011-03-12623,-7.84192,0
101,clueweb09-en0006-23-24827,-7.84305,0
101,clueweb09-en0006-70-22548,-7.84398,0
101,clueweb09-en0006-70-22628,-7.84586,0
101,clueweb09-en0006-70-22581,-7.84686,0
101,clueweb09-en0003-60-13034,-7.84723,0
101,clueweb09-en0006-70-22574,-7.8475,0
101,clueweb09-en0006-70-22539,-7.84889,0
101,clueweb09-en0006-23-24826,-7.84902,0
101,clueweb09-en0001-39-05185,-7.84937,0
101,clueweb09-en0006-70-22502,-7.84946,0
101,clueweb09-en0006-70-22599,-7.84963,0
