topic,doc,score,rel
101,clueweb09-en0010-91-25316,24.8189858603817,1
101,clueweb09-en0019-32-21921,21.4797435873592,2
101,clueweb09-en0004-66-09322,20.8845968922764,2
101,clueweb09-en0041-03-23195,20.2336100131244,1
101,clueweb09-en0031-19-26516,19.863103868349,1
101,clueweb09-en0103-74-20045,19.6612335692287,1
101,clueweb09-en0011-32-10292,19.5357725634531,0
101,clueweb09-en0092-62-26967,19.4087042238072,1
101,clueweb09-en0076-79-19134,19.37727645766,2
101,clueweb09-en0133-66-37863,19.3364566738207,1
101,clueweb09-en0037-73-29794,19.2794979568041,0
101,clueweb09-en0025-12-25338,19.2093593643764,1
101,clueweb09-en0017-45-10637,19.1746735345027,1
101,clueweb09-en0048-08-00656,19.1610063447773,1
101,clueweb09-en0041-66-35720,19.1074414021419,2
101,clueweb09-en0108-75-29773,19.1009238989181,1
101,clueweb09-en0037-10-42637,19.0604045576042,1
101,clueweb09-en0025-06-33814,19.0325285454532,0
101,clueweb09-en0025-12-25335,18.9736086687067,1
101,clueweb09-en0073-28-33925,18.9056977438078,1
101,clueweb09-en0052-60-05331,18.8600669949855,1
101,clueweb09-en0025-12-25334,18.7925965361704,1
101,clueweb09-en0039-42-35963,18.7807571220793,1
101,clueweb09-en0034-99-07936,18.7707080660025,1
101,clueweb09-en0127-06-11166,18.7336513086605,1
101,clueweb09-en0131-32-14783,18.7193419557765,2
101,clueweb09-en0029-05-29165,18.7157532877674,1
101,clueweb09-en0055-21-10668,18.7149484858038,0
101,clueweb09-en0096-02-40274,18.7070748053793,1
101,clueweb09-en0123-63-34464,18.6934258403792,1
101,clueweb09-en0002-83-01420,18.6365732066802,1
101,clueweb09-en0114-34-23456,18.6175496037061,0
101,clueweb09-en0060-32-10400,18.6101739627303,1
101,clueweb09-en0133-62-23650,18.6046593122992,1
101,clueweb09-en0053-05-28222,18.5781361543064,1
101,clueweb09-en0053-05-28227,18.4748948452409,0
101,clueweb09-en0100-90-25896,18.4638060840172,0
101,clueweb09-en0060-32-10470,18.4213679372444,1
101,clueweb09-en0054-29-38935,18.4179923949581,1
101,clueweb09-en0053-05-28226,18.3946194526433,1
101,clueweb09-en0060-32-10469,18.376378594959,0
101,clueweb09-en0050-62-35743,18.3497477368519,2
101,clueweb09-en0044-05-29808,18.3377367237116,2
101,clueweb09-en0051-85-00411,18.3294511345111,0
101,clueweb09-en0095-32-39044,18.3146979717543,0
101,clueweb09-en0054-69-33509,18.3135878334228,0
101,clueweb09-en0025-12-25336,18.3083304997273,0
101,clueweb09-en0039-42-35964,18.2938079336941,1
101,clueweb09-en0133-58-40796,18.2907343268804,0
101,clueweb09-en0025-12-25333,18.2244422497795,0
101,clueweb09-en0082-03-06343,18.2104859222673,0
101,clueweb09-en0082-03-06346,18.2083576548378,0
101,clueweb09-en0065-68-18073,18.1873261370631,0
101,clueweb09-en0082-03-06344,18.1861240265192,0
101,clueweb09-en0066-76-27023,18.1685974901118,2
101,clueweb09-en0082-03-06345,18.154158974795,0
101,clueweb09-en0082-03-06342,18.1487183679695,0
101,clueweb09-en0047-17-30079,18.1212409813956,1
101,clueweb09-en0025-12-25337,18.0631751940563,0
101,clueweb09-en0123-47-32979,18.0604009617169,0
101,clueweb09-en0090-78-13282,18.0440124459312,1
101,clueweb09-en0082-03-06341,18.040241069274,0
101,clueweb09-en0067-29-28365,18.0165315346182,0
101,clueweb09-en0067-29-28364,18.0094499151947,0
101,clueweb09-en0041-11-05928,18.0037548980934,0
101,clueweb09-en0039-42-35965,17.983255219949,0
101,clueweb09-en0071-32-14009,17.9708613894148,1
101,clueweb09-en0053-05-28221,17.9550347161361,0
101,clueweb09-en0067-29-28366,17.9317007342039,0
101,clueweb09-en0028-43-27458,17.9163536282699,1
101,clueweb09-en0095-32-39043,17.9153701801574,0
101,clueweb09-en0108-75-29774,17.8770978910659,0
101,clueweb09-en0116-19-29396,17.8493597519284,1
101,clueweb09-en0090-62-22420,17.8327574142539,0
101,clueweb09-en0017-31-24902,17.8185984545898,0
101,clueweb09-en0054-28-04079,17.7949864182969,0
101,clueweb09-en0072-22-06787,17.7898199594528,1
101,clueweb09-en0053-05-28223,17.7675046479732,0
101,clueweb09-en0082-63-29457,17.7490320374925,1
101,clueweb09-en0082-96-10220,17.7428830847806,1
101,clueweb09-en0073-74-22065,17.7376471480793,1
101,clueweb09-en0131-72-16317,17.7299418563665,0
101,clueweb09-en0016-37-29835,17.6706443878796,2
101,clueweb09-en0084-05-08767,17.6622816930542,0
101,clueweb09-en0133-62-23649,17.6503112994174,0
101,clueweb09-en0010-93-30671,17.6418194318245,1
101,clueweb09-en0116-19-29397,17.615039884801,0
101,clueweb09-en0065-64-14700,17.5854855288004,0
101,clueweb09-en0054-83-29546,17.5751507727651,0
101,clueweb09-en0081-24-28942,17.5486643972388,0
101,clueweb09-en0023-26-14123,17.5168401871927,0
101,clueweb09-en0115-30-25616,17.5145523736846,0
101,clueweb09-en0080-50-44092,17.5111439557856,1
101,clueweb09-en0055-89-25575,17.4704399294993,0
101,clueweb09-en0083-07-20527,17.4513036841347,0
101,clueweb09-en0064-56-11319,17.444882504635,2
101,clueweb09-en0045-43-19807,17.4281814135016,1
101,clueweb09-en0039-29-27101,17.4243349311195,0
101,clueweb09-en0026-59-21128,17.3785890463767,0
101,clueweb09-en0103-91-00502,17.3627506726092,0
