topic,doc,score,rel
101,clueweb09-en0000-45-05740,21066.092869,0
101,clueweb09-en0004-17-06169,20630.905575,0
101,clueweb09-en0000-51-23170,20111.941405,0
101,clueweb09-en0003-75-20352,19425.673821,0
101,clueweb09-en0004-66-09322,19093.61011,2
101,clueweb09-en0004-10-04210,18981.18789,0
101,clueweb09-en0000-11-36944,18974.105355,0
101,clueweb09-en0011-50-37385,18973.597125,0
101,clueweb09-en0011-32-10292,18775.509321,0
101,clueweb09-en0004-37-01154,18721.050394,0
101,clueweb09-en0005-84-28953,18677.57485,0
101,clueweb09-en0001-90-20071,18179.685924,0
101,clueweb09-en0001-78-25362,17949.606201,0
101,clueweb09-en0001-12-16803,17929.085052,0
101,clueweb09-en0001-12-16847,17877.723,0
101,clueweb09-en0001-22-20348,17731.297125,0
101,clueweb09-en0001-12-16652,17725.13174,0
101,clueweb09-en0001-12-16773,17607.74891,0
101,clueweb09-en0001-12-16791,17601.961389,0
101,clueweb09-en0001-12-16811,17586.674059,0
101,clueweb09-en0003-78-20950,17571.809637,0
101,clueweb09-en0004-90-07851,17556.090688,0
101,clueweb09-en0001-12-16369,17531.156387,0
101,clueweb09-en0001-12-16590,17510.538269,0
101,clueweb09-en0001-12-16613,17423.667545,0
101,clueweb09-en0005-74-37559,17400.753641,0
101,clueweb09-en0005-74-37538,17400.237181,0
101,clueweb09-en0001-12-16489,17351.147026,0
101,clueweb09-en0001-12-16778,17340.766659,0
101,clueweb09-en0009-94-30355,17302.679544,0
101,clueweb09-en0000-74-25760,17293.243331,0
101,clueweb09-en0009-42-25689,17286.47019,0
101,clueweb09-en0001-12-16367,17276.423759,0
101,clueweb09-en0001-12-16501,17254.137491,0
101,clueweb09-en0001-12-16781,17201.455999,0
101,clueweb09-en0001-12-16818,17199.731523,0
101,clueweb09-en0009-42-25661,17181.471344,0
101,clueweb09-en0001-12-16614,17179.71975,0
101,clueweb09-en0001-12-16776,17165.534658,0
101,clueweb09-en0001-12-16653,17159.153396,0
101,clueweb09-en0001-12-16824,17146.83226,0
101,clueweb09-en0001-12-16750,17143.9761,0
101,clueweb09-en0001-12-16460,17127.887575,0
101,clueweb09-en0008-91-32935,17116.906498,0
101,clueweb09-en0001-12-16805,17110.609979,0
101,clueweb09-en0001-12-16619,17103.31927,0
101,clueweb09-en0008-80-31969,17089.798805,0
101,clueweb09-en0001-62-22224,17089.158921,0
101,clueweb09-en0001-12-16472,17077.869106,0
101,clueweb09-en0000-42-02010,17068.50012,0
101,clueweb09-en0009-19-09264,17063.803831,0
101,clueweb09-en0008-86-11031,17063.328521,0
101,clueweb09-en0001-89-24090,17021.358161,0
101,clueweb09-en0005-52-18411,17020.652899,0
