topic,doc,score,rel
101,clueweb09-en0004-66-09322,77.2779312,2
101,clueweb09-en0010-93-30671,76.4545135,1
101,clueweb09-en0010-91-25316,73.1013565,1
101,clueweb09-en0003-60-13052,72.3040771,2
101,clueweb09-en0005-83-31893,71.4940643,0
101,clueweb09-en0011-32-10292,71.0169907,0
101,clueweb09-en0009-83-31721,68.7580795,0
101,clueweb09-en0001-98-07420,68.6692276,0
101,clueweb09-en0001-91-27453,68.0669937,0
101,clueweb09-en0011-32-10146,68.0408325,0
101,clueweb09-en0008-80-29984,68.0094986,0
101,clueweb09-en0010-91-25089,67.5923386,0
101,clueweb09-en0010-91-25096,67.3815308,0
101,clueweb09-en0001-74-36490,64.9829025,0
101,clueweb09-en0007-20-34393,64.739624,0
101,clueweb09-en0008-80-30010,64.1895828,0
101,clueweb09-en0000-79-12800,64.0566788,1
101,clueweb09-en0006-80-16991,63.5718803,0
101,clueweb09-en0008-50-34897,63.2419243,0
101,clueweb09-en0004-37-01154,63.2114334,0
101,clueweb09-en0009-60-12955,63.1502724,0
101,clueweb09-en0006-97-01938,63.1451759,1
101,clueweb09-en0010-56-30018,62.4149628,1
101,clueweb09-en0011-50-37385,62.2452087,0
101,clueweb09-en0000-11-36944,61.9969406,0
101,clueweb09-en0008-80-29992,61.9511604,1
101,clueweb09-en0009-62-01021,61.8827171,1
101,clueweb09-en0008-86-11031,61.5424881,0
101,clueweb09-en0009-19-09264,61.5424881,0
101,clueweb09-en0008-80-29999,61.4217339,1
101,clueweb09-en0002-83-01420,61.4217339,1
101,clueweb09-en0000-61-21648,61.2570839,0
101,clueweb09-en0008-82-30566,61.2467537,0
101,clueweb09-en0004-44-12378,61.2006264,0
101,clueweb09-en0009-15-15863,60.7586937,0
101,clueweb09-en0008-82-30606,60.7532387,0
101,clueweb09-en0009-52-16224,60.7494049,0
101,clueweb09-en0002-62-17931,60.6992073,0
101,clueweb09-en0006-70-22566,60.4020576,1
101,clueweb09-en0010-47-16457,60.3274765,0
101,clueweb09-en0002-54-00468,59.6641731,1
101,clueweb09-en0010-42-03657,59.3367996,0
101,clueweb09-en0003-75-17857,59.2119904,1
101,clueweb09-en0011-65-28171,59.1904716,0
101,clueweb09-en0011-32-10186,59.149868,0
101,clueweb09-en0001-31-24516,59.0123138,1
101,clueweb09-en0006-51-35681,58.9386673,1
101,clueweb09-en0001-31-25150,58.9161186,1
101,clueweb09-en0007-97-25998,58.7784309,0
101,clueweb09-en0009-31-15884,58.6732941,0
101,clueweb09-en0009-52-16225,58.5679131,0
101,clueweb09-en0003-16-26817,58.5284843,1
101,clueweb09-en0009-19-09281,58.5118599,0
101,clueweb09-en0008-86-11051,58.4819412,0
101,clueweb09-en0003-31-16634,58.2029648,0
101,clueweb09-en0010-88-00029,58.1835403,1
101,clueweb09-en0000-61-21508,58.1729279,0
101,clueweb09-en0010-05-10712,58.1513748,0
101,clueweb09-en0006-70-22583,58.0797882,0
101,clueweb09-en0001-31-24515,58.0399933,1
101,clueweb09-en0010-93-29474,57.5620995,0
