topic,doc,score,rel
151,clueweb09-en0043-36-15378,-5.8073,1
151,clueweb09-en0009-84-33862,-5.87133,0
151,clueweb09-en0019-43-19586,-5.95737,1
151,clueweb09-en0008-24-06204,-5.9676,0
151,clueweb09-en0016-13-15023,-5.96794,0
151,clueweb09-en0008-24-06205,-5.96827,0
151,clueweb09-en0044-08-26953,-5.97459,0
151,clueweb09-en0118-20-27520,-6.3828,1
151,clueweb09-en0004-80-00508,-6.47796,1
151,clueweb09-en0081-52-30251,-6.52669,0
151,clueweb09-en0099-70-06771,-6.53455,1
151,clueweb09-en0069-09-08081,-6.59338,0
151,clueweb09-en0022-68-34378,-6.59696,1
151,clueweb09-en0024-33-22982,-6.6293,0
151,clueweb09-en0081-92-32273,-6.69699,1
151,clueweb09-en0024-83-29327,-6.70539,0
151,clueweb09-en0040-05-11036,-6.72989,0
151,clueweb09-en0018-87-23400,-6.79526,0
151,clueweb09-en0027-08-33006,-6.80981,0
151,clueweb09-en0011-64-42451,-6.93864,0
151,clueweb09-en0076-50-08146,-7.01598,0
151,clueweb09-en0064-15-36235,-7.05885,0
151,clueweb09-en0051-39-04209,-7.06226,0
151,clueweb09-en0025-78-03142,-7.06836,1
151,clueweb09-en0035-03-25124,-7.12454,1
151,clueweb09-en0024-27-23167,-7.14899,0
151,clueweb09-en0010-79-01651,-7.19809,0
151,clueweb09-en0026-14-34196,-7.22564,1
151,clueweb09-en0038-93-43789,-7.28384,0
151,clueweb09-en0009-04-16742,-7.32219,1
151,clueweb09-en0051-10-30776,-7.45461,0
151,clueweb09-en0033-59-31563,-7.47339,0
151,clueweb09-en0023-21-04875,-7.48407,0
151,clueweb09-en0011-04-11445,-7.70574,4
151,clueweb09-en0080-53-25223,-7.73507,0
151,clueweb09-en0102-66-30240,-7.8053,0
151,clueweb09-en0034-57-19231,-8.00053,1
151,clueweb09-en0020-10-06400,-8.00053,1
151,clueweb09-en0072-14-11776,-8.25067,0
151,clueweb09-en0072-14-11773,-8.42774,0
151,clueweb09-en0036-37-25986,-8.70745,1
151,clueweb09-en0078-01-39510,-8.70794,0
151,clueweb09-en0001-07-15577,-8.75273,0
151,clueweb09-en0075-14-14185,-8.75855,0
151,clueweb09-en0030-54-04818,-8.77776,0
151,clueweb09-en0016-74-02139,-8.7785,0
151,clueweb09-en0118-50-36693,-8.80152,0
151,clueweb09-en0010-79-01642,-8.83198,0
151,clueweb09-en0044-38-08622,-8.83268,0
151,clueweb09-en0092-96-40528,-8.8417,0
151,clueweb09-en0023-43-11959,-8.8826,0
151,clueweb09-en0050-71-15938,-8.96099,0
151,clueweb09-en0092-38-28784,-8.96167,0
151,clueweb09-en0087-18-18516,-8.98879,0
151,clueweb09-en0027-05-20087,-9.05607,1
151,clueweb09-en0086-74-12629,-9.05913,0
151,clueweb09-en0093-17-36819,-9.07602,0
151,clueweb09-en0089-81-11714,-9.07891,0
151,clueweb09-en0015-45-28409,-9.09726,0
151,clueweb09-en0008-24-06210,-9.10051,0
151,clueweb09-en0094-31-20102,-9.10069,0
151,clueweb09-en0082-05-01943,-9.1142,0
151,clueweb09-en0013-41-20180,-9.11741,0
151,clueweb09-en0089-81-11702,-9.1199,0
151,clueweb09-en0003-16-13796,-9.12592,0
151,clueweb09-en0016-13-14998,-9.12764,0
151,clueweb09-en0008-24-06121,-9.12798,0
151,clueweb09-en0067-77-23218,-9.12969,1
151,clueweb09-en0053-74-37870,-9.13716,0
151,clueweb09-en0123-12-31048,-9.13856,0
151,clueweb09-en0063-33-04836,-9.14059,1
151,clueweb09-en0096-99-06181,-9.14204,0
151,clueweb09-en0096-99-06180,-9.16438,0
151,clueweb09-en0094-48-43853,-9.1671,0
151,clueweb09-en0020-58-02031,-9.2126,0
151,clueweb09-en0024-73-18589,-9.22088,0
151,clueweb09-en0015-24-08676,-9.23199,0
151,clueweb09-en0009-82-05607,-9.28023,0
151,clueweb09-en0039-20-18752,-9.28911,0
151,clueweb09-en0064-53-42807,-9.30559,0
151,clueweb09-en0009-52-27808,-9.30629,0
151,clueweb09-en0082-05-01941,-9.30684,0
151,clueweb09-en0056-20-30277,-9.31185,0
151,clueweb09-en0097-64-00686,-9.31872,0
151,clueweb09-en0074-58-10756,-9.33239,0
151,clueweb09-en0024-20-35475,-9.33315,0
151,clueweb09-en0106-83-18859,-9.34232,0
151,clueweb09-en0108-57-17301,-9.344,0
151,clueweb09-en0082-11-21683,-9.34574,0
151,clueweb09-en0023-08-15027,-9.34919,0
151,clueweb09-en0089-81-11715,-9.35067,0
151,clueweb09-en0093-17-36818,-9.37113,0
151,clueweb09-en0082-05-01940,-9.37333,0
151,clueweb09-en0096-99-06184,-9.37478,0
151,clueweb09-en0079-58-01377,-9.37659,0
151,clueweb09-en0106-83-18861,-9.3903,0
151,clueweb09-en0062-22-09780,-9.39053,0
151,clueweb09-en0118-06-07361,-9.39124,0
151,clueweb09-en0072-59-26834,-9.39302,0
151,clueweb09-en0022-61-37726,-9.39337,0
151,clueweb09-en0096-99-06179,-9.39408,0
151,clueweb09-en0049-36-45038,-9.39408,0
151,clueweb09-en0106-83-18860,-9.39598,0
151,clueweb09-en0104-21-09488,-9.39726,0
151,clueweb09-en0093-17-36817,-9.40038,1
151,clueweb09-en0089-81-11692,-9.42441,0
151,clueweb09-en0005-53-09280,-9.43647,0
151,clueweb09-en0051-29-18438,-9.44482,0
151,clueweb09-en0076-53-02401,-9.44679,0
151,clueweb09-en0012-10-26915,-9.44709,0
151,clueweb09-en0071-17-27736,-9.45191,1
151,clueweb09-en0082-05-01947,-9.47006,0
151,clueweb09-en0030-53-32535,-9.48342,0
151,clueweb09-en0082-05-01945,-9.49372,0
151,clueweb09-en0013-28-00186,-9.54155,0
151,clueweb09-en0092-97-35137,-9.5925,0
151,clueweb09-en0041-42-13052,-9.59311,0
151,clueweb09-en0078-69-16153,-9.60298,0
151,clueweb09-en0078-69-16154,-9.60298,0
151,clueweb09-en0008-37-33957,-9.60568,0
151,clueweb09-en0020-26-28767,-9.63003,0
151,clueweb09-en0005-78-33751,-9.63003,0
151,clueweb09-en0008-31-16573,-9.63108,0
151,clueweb09-en0015-23-18276,-9.63594,0
151,clueweb09-en0012-31-34897,-9.63791,0
151,clueweb09-en0052-90-01689,-9.6454,0
151,clueweb09-en0065-18-35467,-9.65112,0
151,clueweb09-en0088-68-24167,-9.6669,0
151,clueweb09-en0114-46-33110,-9.66714,0
151,clueweb09-en0093-73-32778,-9.66741,0
151,clueweb09-en0082-05-01946,-9.67305,0
151,clueweb09-en0038-59-03426,-9.67481,0
151,clueweb09-en0027-05-23014,-9.67513,0
151,clueweb09-en0010-22-16343,-9.68951,0
151,clueweb09-en0037-38-44560,-9.71374,0
151,clueweb09-en0026-82-35218,-9.73985,0
151,clueweb09-en0011-06-39804,-9.73985,0
151,clueweb09-en0009-84-33861,-9.75819,0
151,clueweb09-en0020-87-00459,-9.76558,1
151,clueweb09-en0096-59-22728,-9.76686,0
151,clueweb09-en0004-16-25010,-9.78061,0
151,clueweb09-en0004-16-25132,-9.78253,1
151,clueweb09-en0042-17-26836,-9.78722,0
151,clueweb09-en0069-59-30648,-9.78798,0
151,clueweb09-en0037-21-14315,-9.81157,0
151,clueweb09-en0000-14-36711,-9.81235,1
151,clueweb09-en0121-66-19530,-9.84577,0
151,clueweb09-en0012-23-03552,-9.85147,0
151,clueweb09-en0052-77-39592,-9.87154,0
151,clueweb09-en0025-11-22302,-9.87154,0
151,clueweb09-en0045-24-04530,-9.87898,0
151,clueweb09-en0025-05-04637,-9.88021,0
151,clueweb09-en0043-46-21173,-9.88269,0
151,clueweb09-en0052-10-39962,-9.90209,0
151,clueweb09-en0038-47-32893,-9.90276,0
151,clueweb09-en0093-17-36816,-9.90983,0
151,clueweb09-en0096-07-41592,-9.91151,0
151,clueweb09-en0008-31-16574,-9.94542,0
151,clueweb09-en0062-06-23971,-9.94919,0
151,clueweb09-en0034-88-22130,-9.95714,0
151,clueweb09-en0062-06-23974,-9.95789,0
151,clueweb09-en0037-71-37583,-9.95902,0
151,clueweb09-en0118-09-34691,-9.96165,0
151,clueweb09-en0103-95-30060,-9.96801,0
151,clueweb09-en0051-75-11687,-9.97131,0
151,clueweb09-en0008-35-28772,-9.97359,0
151,clueweb09-en0049-13-11681,-9.97885,0
151,clueweb09-en0099-20-12330,-9.97979,0
151,clueweb09-en0039-01-19461,-9.98612,0
151,clueweb09-en0095-64-04302,-9.98686,0
151,clueweb09-en0081-17-18835,-9.98686,0
151,clueweb09-en0039-68-13138,-10.0021,0
151,clueweb09-en0064-99-23333,-10.0033,0
151,clueweb09-en0019-81-15808,-10.0089,0
151,clueweb09-en0008-35-28747,-10.0157,0
151,clueweb09-en0106-83-18862,-10.016,0
151,clueweb09-en0077-37-08223,-10.0179,0
151,clueweb09-en0038-59-03508,-10.0589,0
151,clueweb09-en0100-17-15850,-10.0646,0
151,clueweb09-en0093-40-25863,-10.0646,0
151,clueweb09-en0085-58-18645,-10.0653,0
151,clueweb09-en0011-86-14466,-10.0714,0
151,clueweb09-en0092-33-35056,-10.084,0
151,clueweb09-en0023-08-11084,-10.0848,0
151,clueweb09-en0049-13-11680,-10.098,0
151,clueweb09-en0088-27-23670,-10.0986,0
151,clueweb09-en0004-45-16002,-10.1045,0
151,clueweb09-en0008-31-16572,-10.1085,1
151,clueweb09-en0009-45-27403,-10.1093,0
151,clueweb09-en0078-13-13720,-10.1093,0
151,clueweb09-en0067-19-29703,-10.1113,0
151,clueweb09-en0009-84-34196,-10.1311,0
151,clueweb09-en0042-17-01208,-10.1472,0
151,clueweb09-en0010-12-14317,-10.1592,0
151,clueweb09-en0039-59-05124,-10.1742,0
151,clueweb09-en0091-33-10438,-10.1811,0
151,clueweb09-en0085-82-33487,-10.1852,0
151,clueweb09-en0091-25-20831,-10.1875,0
151,clueweb09-en0049-13-11682,-10.1928,0
151,clueweb09-en0024-12-03719,-10.2032,0
151,clueweb09-en0024-27-23051,-10.215,0
151,clueweb09-en0093-46-23026,-10.2153,0
151,clueweb09-en0094-93-28641,-10.2182,0
151,clueweb09-en0024-27-23085,-10.2185,0
151,clueweb09-en0120-22-08319,-10.2399,0
151,clueweb09-en0081-38-35495,-10.2417,0
151,clueweb09-en0092-93-24972,-10.2481,0
151,clueweb09-en0050-91-08274,-10.2619,0
151,clueweb09-en0078-78-31840,-10.2897,0
151,clueweb09-en0063-93-03502,-10.2926,0
151,clueweb09-en0089-07-32367,-10.3189,0
151,clueweb09-en0055-77-06928,-10.3192,0
151,clueweb09-en0085-27-01358,-10.3234,0
151,clueweb09-en0103-87-20075,-10.3237,0
151,clueweb09-en0112-73-10602,-10.4148,0
151,clueweb09-en0098-16-12740,-10.4161,0
151,clueweb09-en0067-73-09596,-10.5324,1
151,clueweb09-en0016-47-11643,-10.5325,0
151,clueweb09-en0074-42-23998,-10.6053,0
151,clueweb09-en0038-39-12126,-10.6056,0
151,clueweb09-en0053-95-36463,-10.6183,0
151,clueweb09-en0034-07-05109,-10.6384,0
151,clueweb09-en0106-59-37912,-10.6536,0
151,clueweb09-en0057-02-14510,-10.678,0
151,clueweb09-en0012-53-28553,-10.6899,0
151,clueweb09-en0026-18-20154,-10.7513,0
151,clueweb09-en0094-79-28417,-10.7653,0
151,clueweb09-en0007-60-25864,-10.766,1
151,clueweb09-en0001-00-25180,-10.7669,0
151,clueweb09-en0006-76-13494,-10.7672,0
151,clueweb09-en0001-00-25181,-10.7675,0
151,clueweb09-en0010-97-09232,-10.7678,0
151,clueweb09-en0006-76-13495,-10.7678,0
151,clueweb09-en0007-28-32033,-10.7678,0
151,clueweb09-en0035-58-06108,-10.7684,0
151,clueweb09-en0017-33-06674,-10.7688,0
151,clueweb09-en0021-22-12118,-10.7694,0
151,clueweb09-en0027-90-09687,-10.8959,0
151,clueweb09-en0043-17-24809,-10.9465,0
151,clueweb09-en0053-47-05275,-10.9623,0
151,clueweb09-en0052-83-13106,-10.9684,0
151,clueweb09-en0095-86-29630,-10.9737,0
151,clueweb09-en0022-61-23512,-10.9862,0
151,clueweb09-en0046-44-34177,-11.0006,0
151,clueweb09-en0037-48-00336,-11.0017,0
151,clueweb09-en0005-21-11315,-11.0088,0
151,clueweb09-en0096-88-25797,-11.0096,0
151,clueweb09-en0008-41-10509,-11.0114,0
151,clueweb09-en0039-04-21328,-11.0128,0
151,clueweb09-en0015-17-16035,-11.0283,0
151,clueweb09-en0082-78-17091,-11.0587,0
151,clueweb09-en0002-31-07336,-11.0671,0
151,clueweb09-en0003-95-21017,-11.0672,0
151,clueweb09-en0012-42-18014,-11.0674,0
151,clueweb09-en0123-36-41154,-11.0677,0
151,clueweb09-en0006-76-13474,-11.078,0
151,clueweb09-en0006-76-13475,-11.0783,0
151,clueweb09-en0021-22-12113,-11.079,0
151,clueweb09-en0105-51-03327,-11.086,0
151,clueweb09-en0038-81-24098,-11.0908,0
151,clueweb09-en0078-45-36648,-11.1053,0
151,clueweb09-en0078-45-36664,-11.1053,0
151,clueweb09-en0064-58-17778,-11.1053,0
151,clueweb09-en0105-57-21155,-11.1056,0
151,clueweb09-en0040-97-02879,-11.1117,0
151,clueweb09-en0027-04-15971,-11.1195,0
151,clueweb09-en0022-61-23527,-11.1233,0
151,clueweb09-en0120-98-02347,-11.1281,0
151,clueweb09-en0075-55-22081,-11.1318,0
151,clueweb09-en0003-93-27146,-11.1349,0
151,clueweb09-en0011-04-11442,-11.1352,0
151,clueweb09-en0011-52-03669,-11.1352,0
151,clueweb09-en0022-68-34319,-11.148,1
151,clueweb09-en0091-96-34699,-11.1486,0
151,clueweb09-en0011-04-11428,-11.1543,0
151,clueweb09-en0044-87-26435,-11.1565,0
151,clueweb09-en0023-66-06803,-11.1569,0
151,clueweb09-en0002-97-14075,-11.1572,0
151,clueweb09-en0008-47-01488,-11.1576,0
151,clueweb09-en0054-08-36531,-11.1609,0
151,clueweb09-en0022-14-07839,-11.1614,0
151,clueweb09-en0005-56-35975,-11.162,1
151,clueweb09-en0021-64-40256,-11.166,0
151,clueweb09-en0025-23-34336,-11.166,0
151,clueweb09-en0013-74-04305,-11.1675,0
151,clueweb09-en0046-83-08208,-11.1675,0
151,clueweb09-en0043-17-24810,-11.1677,0
151,clueweb09-en0001-41-08510,-11.1708,1
151,clueweb09-en0095-78-12210,-11.178,0
151,clueweb09-en0052-90-38599,-11.1788,0
151,clueweb09-en0026-28-33373,-11.1885,0
151,clueweb09-en0040-71-11218,-11.1942,0
151,clueweb09-en0045-82-06833,-11.2024,0
151,clueweb09-en0005-20-05468,-11.2032,0
151,clueweb09-en0021-22-12128,-11.2037,0
151,clueweb09-en0005-48-01925,-11.2038,0
151,clueweb09-en0054-36-20386,-11.2065,0
151,clueweb09-en0026-95-38674,-11.2072,0
151,clueweb09-en0098-86-31773,-11.21,0
151,clueweb09-en0049-48-39688,-11.2104,0
151,clueweb09-en0049-80-27726,-11.2105,0
151,clueweb09-en0091-89-23659,-11.2105,0
151,clueweb09-en0078-07-10452,-11.2111,0
151,clueweb09-en0033-34-29404,-11.2145,0
151,clueweb09-en0010-62-37508,-11.2184,0
151,clueweb09-en0010-62-37509,-11.2184,0
151,clueweb09-en0040-67-36436,-11.2194,0
151,clueweb09-en0072-67-19277,-11.2215,0
151,clueweb09-en0102-60-13159,-11.2229,0
151,clueweb09-en0032-14-21454,-11.2239,0
151,clueweb09-en0040-66-06880,-11.2243,0
151,clueweb09-en0082-05-01942,-11.2246,0
151,clueweb09-en0020-31-31941,-11.2256,0
151,clueweb09-en0025-23-34338,-11.2311,0
151,clueweb09-en0011-18-37133,-11.2332,0
151,clueweb09-en0030-84-25611,-11.2352,0
151,clueweb09-en0008-85-04568,-11.2359,0
151,clueweb09-en0092-67-01201,-11.2407,0
151,clueweb09-en0024-75-18795,-11.2407,0
151,clueweb09-en0021-64-07137,-11.2434,0
151,clueweb09-en0020-27-27102,-11.2584,0
151,clueweb09-en0118-50-36694,-11.2618,0
151,clueweb09-en0009-93-11725,-11.2635,0
151,clueweb09-en0011-79-06754,-11.2645,0
151,clueweb09-en0013-63-17662,-11.2645,0
151,clueweb09-en0028-14-19072,-11.2651,0
151,clueweb09-en0053-48-18829,-11.2651,0
151,clueweb09-en0008-62-39243,-11.2704,0
151,clueweb09-en0104-75-06373,-11.2789,0
151,clueweb09-en0034-16-13888,-11.2954,0
151,clueweb09-en0000-14-03360,-11.3031,0
151,clueweb09-en0122-04-21082,-11.3054,0
151,clueweb09-en0082-65-11854,-11.3067,0
151,clueweb09-en0106-43-05656,-11.3117,0
151,clueweb09-en0083-67-28512,-11.3164,0
151,clueweb09-en0034-87-02808,-11.3302,0
151,clueweb09-en0010-02-09167,-11.3351,0
151,clueweb09-en0018-57-21043,-11.3385,0
151,clueweb09-en0037-26-06028,-11.3388,0
151,clueweb09-en0037-86-24661,-11.344,0
151,clueweb09-en0012-43-20304,-11.347,0
151,clueweb09-en0007-47-04012,-11.3489,0
151,clueweb09-en0034-88-04354,-11.355,0
151,clueweb09-en0047-81-14640,-11.3583,0
151,clueweb09-en0075-55-22080,-11.371,0
151,clueweb09-en0078-13-15172,-11.378,0
151,clueweb09-en0058-32-16796,-11.3783,0
151,clueweb09-en0091-81-43810,-11.3786,0
151,clueweb09-en0022-21-12329,-11.3788,0
151,clueweb09-en0079-89-17789,-11.3792,0
151,clueweb09-en0046-24-10482,-11.3804,0
151,clueweb09-en0025-48-34135,-11.3823,0
151,clueweb09-en0010-99-33697,-11.388,0
151,clueweb09-en0082-66-26369,-11.3915,0
151,clueweb09-en0069-44-05253,-11.3945,0
151,clueweb09-en0030-54-01354,-11.3947,0
151,clueweb09-en0041-49-17690,-11.3949,0
151,clueweb09-en0031-57-06198,-11.3964,0
151,clueweb09-en0108-24-39008,-11.3972,0
151,clueweb09-en0027-51-17052,-11.3981,0
151,clueweb09-en0059-88-18152,-11.3985,0
151,clueweb09-en0025-24-23142,-11.4063,0
151,clueweb09-en0011-04-11424,-11.4063,0
151,clueweb09-en0085-51-05579,-11.4071,0
151,clueweb09-en0011-04-11431,-11.4082,0
151,clueweb09-en0079-92-01975,-11.4119,0
