topic,doc,score,rel
151,clueweb09-en0010-82-12593,-5.15735,4
151,clueweb09-en0010-82-12589,-5.35663,1
151,clueweb09-en0010-82-12588,-5.47772,1
151,clueweb09-en0002-19-09466,-5.59049,1
151,clueweb09-en0010-82-12587,-5.69068,4
151,clueweb09-en0009-84-33862,-5.87133,0
151,clueweb09-en0008-24-06204,-5.9676,0
151,clueweb09-en0008-24-06205,-5.96827,0
151,clueweb09-en0011-67-00072,-6.07001,1
151,clueweb09-en0006-98-41132,-6.10315,0
151,clueweb09-en0006-98-41131,-6.15355,0
151,clueweb09-en0004-01-03541,-6.45393,4
151,clueweb09-en0004-80-00508,-6.47797,1
151,clueweb09-en0011-81-31383,-6.5397,0
151,clueweb09-en0008-24-06211,-6.57016,0
151,clueweb09-en0008-84-31949,-6.59864,1
151,clueweb09-en0006-73-25389,-6.62802,1
151,clueweb09-en0001-92-00487,-6.73636,0
151,clueweb09-en0007-84-37981,-6.84446,1
151,clueweb09-en0011-64-42451,-6.93864,0
151,clueweb09-en0010-79-01651,-7.1981,0
151,clueweb09-en0009-04-16742,-7.32219,1
151,clueweb09-en0000-81-02281,-7.51292,0
151,clueweb09-en0011-04-11445,-7.70574,4
151,clueweb09-en0004-65-36237,-8.53448,0
151,clueweb09-en0011-67-00108,-8.58044,1
151,clueweb09-en0007-55-00718,-8.64495,1
151,clueweb09-en0007-55-00719,-8.79747,1
151,clueweb09-en0001-07-15577,-8.80672,0
151,clueweb09-en0011-67-00071,-8.8458,1
151,clueweb09-en0010-79-01642,-8.88455,0
151,clueweb09-en0007-70-00685,-9.13122,0
151,clueweb09-en0011-67-00103,-9.13777,0
151,clueweb09-en0008-24-06210,-9.15451,0
151,clueweb09-en0007-55-00754,-9.15887,0
151,clueweb09-en0005-24-24966,-9.17601,1
151,clueweb09-en0003-16-13796,-9.17849,0
151,clueweb09-en0008-24-06121,-9.18197,0
151,clueweb09-en0002-19-12719,-9.27084,0
151,clueweb09-en0009-82-05607,-9.33422,0
151,clueweb09-en0009-52-27808,-9.36028,0
