topic,doc,score,rel
151,clueweb09-en0010-79-01642,1.0,0
151,clueweb09-en0007-60-28630,0.9,4
151,clueweb09-en0005-98-00099,0.8,1
151,clueweb09-en0005-98-00113,0.7,4
151,clueweb09-enwp00-09-05733,0.6,2
151,clueweb09-en0005-98-00096,0.5,1
151,clueweb09-en0007-60-25864,0.4,1
151,clueweb09-en0011-62-17582,0.3,4
151,clueweb09-en0009-84-33862,0.2,0
151,clueweb09-en0007-60-28632,0.1,3
151,clueweb09-en0010-82-12588,-4.58184,1
151,clueweb09-en0010-82-12587,-4.69833,4
151,clueweb09-en0002-19-09466,-4.78107,1
151,clueweb09-en0008-24-06204,-5.29597,0
151,clueweb09-en0008-24-06205,-5.29663,0
151,clueweb09-en0011-67-00108,-5.73883,1
151,clueweb09-en0008-24-06211,-5.77085,0
151,clueweb09-en0004-80-00508,-5.86108,1
151,clueweb09-en0010-28-37996,-5.90507,0
151,clueweb09-en0006-73-25389,-5.93487,1
151,clueweb09-en0001-00-25180,-6.13399,0
151,clueweb09-en0006-76-13494,-6.1343,0
151,clueweb09-en0001-00-25181,-6.13461,0
151,clueweb09-en0006-76-13495,-6.13491,0
151,clueweb09-en0010-97-09232,-6.13491,0
151,clueweb09-en0007-28-32033,-6.13491,0
151,clueweb09-en0011-67-00065,-6.37924,1
151,clueweb09-en0003-95-21017,-6.43429,0
151,clueweb09-en0011-64-42451,-6.47653,0
151,clueweb09-en0008-41-10509,-6.49068,0
151,clueweb09-en0000-13-01489,-6.52321,1
151,clueweb09-en0003-93-27146,-6.55342,0
151,clueweb09-en0011-52-03669,-6.55366,0
151,clueweb09-en0005-21-11315,-6.56239,0
151,clueweb09-en0008-24-06210,-6.56415,0
151,clueweb09-en0001-70-18096,-6.59025,0
151,clueweb09-en0008-24-06121,-6.59162,0
151,clueweb09-en0002-31-07336,-6.62068,0
151,clueweb09-en0006-76-13474,-6.63162,0
151,clueweb09-en0006-76-13475,-6.63195,0
151,clueweb09-en0009-79-14364,-6.64816,0
151,clueweb09-en0005-56-35975,-6.71563,1
151,clueweb09-en0006-18-29854,-6.72355,1
151,clueweb09-en0005-20-05468,-6.75688,0
151,clueweb09-en0005-48-01925,-6.75746,0
151,clueweb09-en0008-84-32039,-6.76788,0
151,clueweb09-en0011-04-11442,-6.78476,0
151,clueweb09-en0008-85-04568,-6.78948,0
151,clueweb09-en0011-04-11428,-6.8038,0
151,clueweb09-en0002-97-14075,-6.80676,0
151,clueweb09-en0008-47-01488,-6.80712,0
151,clueweb09-en0001-41-08510,-6.82031,1
151,clueweb09-en0007-55-00754,-6.83008,0
151,clueweb09-en0010-79-01651,-6.83188,0
151,clueweb09-en0009-82-05607,-6.83976,0
151,clueweb09-en0001-79-20053,-6.8398,0
151,clueweb09-en0005-24-24966,-6.84722,1
151,clueweb09-en0003-16-13796,-6.8497,0
151,clueweb09-en0009-52-27808,-6.86582,0
151,clueweb09-en0010-62-37508,-6.8679,0
151,clueweb09-en0010-62-37509,-6.8679,0
151,clueweb09-en0011-18-37133,-6.88271,0
151,clueweb09-en0001-45-26029,-6.88646,0
151,clueweb09-en0011-67-00082,-6.9052,0
151,clueweb09-en0009-93-11725,-6.913,0
151,clueweb09-en0011-79-06754,-6.91399,0
151,clueweb09-en0010-82-12592,-6.91963,0
151,clueweb09-en0008-62-39243,-6.91994,0
151,clueweb09-en0011-10-08000,-6.934,0
151,clueweb09-en0003-88-24169,-6.93918,0
151,clueweb09-en0004-56-15027,-6.9501,0
151,clueweb09-en0000-14-03360,-6.95265,0
