topic,doc,score,rel
151,clueweb09-en0002-19-09466,-5.55635,1
151,clueweb09-en0009-84-33862,-5.72913,0
151,clueweb09-en0011-67-00108,-6.08968,1
151,clueweb09-en0010-82-12588,-6.19032,1
151,clueweb09-en0010-79-01642,-6.23336,0
151,clueweb09-en0010-28-37996,-6.23379,0
151,clueweb09-en0010-82-12587,-6.30758,4
151,clueweb09-en0000-13-01489,-6.3168,1
151,clueweb09-en0000-01-01067,-6.33448,1
151,clueweb09-en0005-56-35975,-6.35212,1
151,clueweb09-enwp00-04-05850,-6.42119,2
151,clueweb09-en0011-04-11445,-6.42133,4
151,clueweb09-en0008-31-16573,-6.51093,0
151,clueweb09-en0011-67-00065,-6.65615,1
151,clueweb09-en0009-04-16742,-6.66147,1
151,clueweb09-en0008-24-06204,-6.68137,0
151,clueweb09-en0008-24-06205,-6.68204,0
151,clueweb09-en0000-14-36711,-6.71322,1
151,clueweb09-en0000-97-20519,-6.72279,0
151,clueweb09-en0002-31-07336,-6.7367,0
151,clueweb09-en0006-18-29854,-6.77831,1
151,clueweb09-en0011-54-30937,-6.83313,1
151,clueweb09-en0009-84-33861,-6.84364,0
151,clueweb09-en0008-31-16572,-6.87948,1
151,clueweb09-en0001-70-18096,-6.88025,0
151,clueweb09-en0004-80-00508,-6.88602,1
151,clueweb09-en0001-45-26006,-6.88744,0
151,clueweb09-en0011-80-08664,-6.90486,1
151,clueweb09-enwp00-09-05733,-6.90841,2
151,clueweb09-enwp00-15-05861,-6.91114,2
151,clueweb09-en0009-15-18349,-6.92191,0
151,clueweb09-en0004-16-25464,-6.92236,1
151,clueweb09-en0011-10-08000,-6.94223,0
151,clueweb09-en0004-16-25010,-6.9545,0
151,clueweb09-en0007-27-24756,-6.95473,0
151,clueweb09-en0007-55-00847,-6.95487,0
151,clueweb09-en0005-24-24966,-6.95499,1
151,clueweb09-en0004-16-25132,-6.95642,1
151,clueweb09-en0007-55-00716,-6.95928,0
151,clueweb09-en0010-79-01651,-6.96195,0
151,clueweb09-en0008-84-32085,-6.96833,0
151,clueweb09-en0010-94-15998,-6.97173,0
151,clueweb09-en0008-73-16090,-6.98104,0
