topic,doc,score,rel
151,clueweb09-en0008-24-06204,-5.79395,0
151,clueweb09-en0016-13-15023,-5.79445,0
151,clueweb09-en0008-24-06205,-5.79495,0
151,clueweb09-en0044-08-26953,-5.80153,0
151,clueweb09-en0017-63-12169,-5.93775,1
151,clueweb09-en0081-03-37700,-5.93928,1
151,clueweb09-en0043-36-15378,-6.02968,1
151,clueweb09-en0008-24-06211,-6.15851,0
151,clueweb09-en0086-73-31487,-6.24781,0
151,clueweb09-en0036-37-25986,-6.24825,1
151,clueweb09-en0022-68-34378,-6.25838,1
151,clueweb09-en0118-20-27520,-6.41486,1
151,clueweb09-en0072-14-11774,-6.43898,0
151,clueweb09-en0009-84-33862,-6.48832,0
151,clueweb09-en0019-43-19586,-6.53956,1
151,clueweb09-en0081-92-32273,-6.5858,1
151,clueweb09-en0024-33-22982,-6.62143,0
151,clueweb09-en0086-73-31486,-6.64441,0
151,clueweb09-en0008-24-06210,-6.64496,0
151,clueweb09-en0016-13-14998,-6.6453,0
151,clueweb09-en0008-24-06121,-6.64583,0
151,clueweb09-en0067-73-09596,-6.66233,1
151,clueweb09-en0081-03-37703,-6.68085,1
151,clueweb09-en0022-68-34319,-6.69214,1
151,clueweb09-en0041-49-00132,-6.73929,0
151,clueweb09-en0061-38-27447,-6.7412,0
151,clueweb09-en0081-91-43412,-6.76344,1
151,clueweb09-en0052-75-46029,-6.77088,0
151,clueweb09-en0106-59-37912,-6.78613,0
151,clueweb09-en0004-80-00508,-6.79792,1
151,clueweb09-en0030-54-04818,-6.83231,0
151,clueweb09-en0016-74-02139,-6.83349,0
151,clueweb09-en0118-50-36693,-6.84407,0
151,clueweb09-en0024-06-12786,-6.85801,0
151,clueweb09-en0011-10-08000,-6.86493,0
151,clueweb09-en0081-92-27281,-6.87832,0
151,clueweb09-en0012-53-28553,-6.88403,0
151,clueweb09-en0038-57-41964,-6.89174,1
151,clueweb09-en0037-48-00336,-6.89274,0
151,clueweb09-en0057-02-14510,-6.90778,0
151,clueweb09-en0034-57-19231,-6.90972,1
151,clueweb09-en0020-10-06400,-6.90972,1
151,clueweb09-en0079-89-17789,-6.91532,0
151,clueweb09-en0069-09-08081,-6.9294,0
151,clueweb09-en0089-07-32367,-6.93244,0
151,clueweb09-en0055-77-06928,-6.93285,0
151,clueweb09-en0081-91-43414,-6.94293,0
151,clueweb09-en0112-73-10602,-6.95579,0
151,clueweb09-en0098-16-12740,-6.95579,0
151,clueweb09-en0126-56-10036,-6.95579,0
151,clueweb09-en0131-86-19585,-6.95769,0
151,clueweb09-en0094-79-28417,-6.96044,0
151,clueweb09-en0030-84-25611,-6.96184,0
151,clueweb09-en0001-00-25180,-6.96269,0
151,clueweb09-en0001-00-25181,-6.96358,0
