topic,doc,score,rel
151,clueweb09-en0008-24-06204,-4.84889,0
151,clueweb09-en0044-08-26953,-4.8493,0
151,clueweb09-en0016-13-15023,-4.84939,0
151,clueweb09-en0008-24-06205,-4.84989,0
151,clueweb09-en0017-63-12169,-5.43172,1
151,clueweb09-en0008-24-06211,-5.45201,0
151,clueweb09-en0086-73-31487,-5.53525,0
151,clueweb09-en0036-37-25986,-5.53569,1
151,clueweb09-en0022-68-34378,-5.5406,1
151,clueweb09-en0081-03-37700,-5.62591,1
151,clueweb09-en0043-36-15378,-5.70346,1
151,clueweb09-en0086-73-31486,-5.9271,0
151,clueweb09-en0008-24-06210,-5.92765,0
151,clueweb09-en0118-20-27520,-5.95214,1
151,clueweb09-en0016-13-14998,-6.01977,0
151,clueweb09-en0008-24-06121,-6.02029,0
151,clueweb09-en0022-68-34319,-6.03785,1
151,clueweb09-en0081-92-32273,-6.05881,1
151,clueweb09-en0081-03-37703,-6.15546,1
151,clueweb09-en0081-77-25189,-6.2713,0
151,clueweb09-en0024-33-22982,-6.3179,0
151,clueweb09-en0036-37-25980,-6.37283,1
151,clueweb09-en0041-49-00132,-6.37941,0
151,clueweb09-en0061-38-27447,-6.38023,0
151,clueweb09-en0012-63-06509,-6.39761,1
151,clueweb09-en0072-14-11774,-6.41355,0
151,clueweb09-en0067-73-09596,-6.43055,1
151,clueweb09-en0052-75-46029,-6.44533,0
151,clueweb09-en0131-86-19585,-6.45962,0
151,clueweb09-en0024-06-12786,-6.46136,0
151,clueweb09-en0072-71-27950,-6.4618,0
151,clueweb09-en0030-84-25611,-6.46377,0
151,clueweb09-en0022-68-34384,-6.466,0
151,clueweb09-en0081-91-43414,-6.48439,0
151,clueweb09-en0011-10-08000,-6.50422,0
151,clueweb09-en0023-17-09939,-6.50578,0
151,clueweb09-en0075-14-14185,-6.50705,0
151,clueweb09-en0023-17-09934,-6.53629,0
151,clueweb09-en0036-37-25981,-6.55176,0
151,clueweb09-en0079-89-17789,-6.55389,0
151,clueweb09-en0016-13-15010,-6.55984,0
151,clueweb09-en0026-68-07807,-6.58431,0
151,clueweb09-en0008-24-06180,-6.58768,0
151,clueweb09-en0030-54-01339,-6.59625,0
151,clueweb09-en0032-09-30468,-6.59653,0
151,clueweb09-en0024-39-21776,-6.61205,0
151,clueweb09-en0022-68-34358,-6.61765,0
151,clueweb09-en0079-16-32288,-6.62047,0
151,clueweb09-en0100-42-19170,-6.6219,0
151,clueweb09-en0037-48-00336,-6.62863,0
151,clueweb09-en0081-91-43412,-6.63059,1
151,clueweb09-en0072-71-27934,-6.64952,0
151,clueweb09-en0008-24-06095,-6.65634,0
151,clueweb09-en0089-81-11702,-6.65705,0
151,clueweb09-en0022-68-34357,-6.65927,0
151,clueweb09-en0022-68-34359,-6.66232,0
151,clueweb09-en0022-68-34334,-6.6662,0
151,clueweb09-en0008-24-06212,-6.6691,0
151,clueweb09-en0011-10-07971,-6.67744,0
151,clueweb09-en0011-10-07965,-6.68137,0
151,clueweb09-en0072-71-27949,-6.68448,0
151,clueweb09-en0072-71-27939,-6.68577,0
151,clueweb09-en0081-91-43413,-6.68679,0
151,clueweb09-en0008-24-06173,-6.68925,0
151,clueweb09-en0022-68-34383,-6.69822,0
151,clueweb09-en0039-45-12684,-6.69985,0
151,clueweb09-en0086-73-31485,-6.70526,0
151,clueweb09-en0022-68-34367,-6.70701,0
151,clueweb09-en0037-47-08594,-6.7075,0
151,clueweb09-en0081-92-27281,-6.70774,0
151,clueweb09-en0023-17-09932,-6.70937,0
151,clueweb09-en0023-17-09941,-6.71038,0
151,clueweb09-en0022-68-34365,-6.71714,0
151,clueweb09-en0019-43-19586,-6.72219,1
151,clueweb09-en0081-77-25191,-6.72709,0
151,clueweb09-en0006-00-29257,-6.73619,0
151,clueweb09-en0027-08-33006,-6.73977,0
151,clueweb09-en0057-02-14510,-6.74045,0
151,clueweb09-en0020-48-03080,-6.7483,0
151,clueweb09-en0072-71-27932,-6.74968,0
151,clueweb09-en0072-71-27904,-6.75222,0
151,clueweb09-en0092-79-20377,-6.75341,0
151,clueweb09-en0011-10-07952,-6.76148,0
151,clueweb09-en0011-10-07958,-6.7619,0
151,clueweb09-en0131-05-12402,-6.76198,0
151,clueweb09-en0011-10-07951,-6.76245,0
151,clueweb09-en0006-18-21721,-6.76298,0
151,clueweb09-en0021-91-39008,-6.76432,0
151,clueweb09-en0011-10-07986,-6.76486,0
151,clueweb09-en0011-10-07988,-6.76538,0
151,clueweb09-en0011-10-07932,-6.76649,0
151,clueweb09-en0008-24-06201,-6.767,0
151,clueweb09-en0081-03-37708,-6.7685,0
151,clueweb09-en0011-10-07938,-6.76967,0
151,clueweb09-en0011-10-07962,-6.76967,0
151,clueweb09-en0039-04-21328,-6.77,0
151,clueweb09-en0011-10-07950,-6.77206,0
151,clueweb09-en0011-10-07999,-6.77678,0
151,clueweb09-en0081-16-34346,-6.7768,0
151,clueweb09-en0011-10-07994,-6.77836,0
151,clueweb09-en0011-10-07957,-6.77874,0
151,clueweb09-en0022-68-34355,-6.78177,0
151,clueweb09-en0066-43-25549,-6.78259,0
151,clueweb09-en0011-10-07978,-6.78326,0
151,clueweb09-en0036-37-25983,-6.78465,0
151,clueweb09-en0081-92-27283,-6.78815,0
151,clueweb09-en0011-10-08004,-6.79491,0
151,clueweb09-en0089-81-11714,-6.79583,0
151,clueweb09-en0008-24-06208,-6.79768,0
151,clueweb09-en0011-10-07954,-6.80226,0
151,clueweb09-en0011-10-07981,-6.8034,0
151,clueweb09-en0118-50-36693,-6.80622,0
151,clueweb09-en0011-10-07982,-6.80917,0
151,clueweb09-en0011-10-08014,-6.81377,0
151,clueweb09-en0081-03-37711,-6.82223,0
151,clueweb09-en0019-17-36827,-6.8255,0
151,clueweb09-en0009-84-33862,-6.82983,0
151,clueweb09-en0011-10-07948,-6.83107,0
151,clueweb09-en0034-60-08379,-6.83177,0
151,clueweb09-en0074-82-01071,-6.83288,0
151,clueweb09-en0011-10-08016,-6.8369,0
151,clueweb09-en0022-68-34332,-6.84399,0
151,clueweb09-en0030-84-25612,-6.84596,0
151,clueweb09-en0072-71-27931,-6.84649,0
151,clueweb09-en0022-68-34308,-6.85458,0
151,clueweb09-en0046-44-34177,-6.85465,0
151,clueweb09-en0008-91-26590,-6.85821,0
151,clueweb09-en0034-04-02905,-6.86164,0
151,clueweb09-en0008-24-06213,-6.86926,0
151,clueweb09-en0106-08-00954,-6.87115,0
151,clueweb09-en0067-23-08108,-6.87646,0
151,clueweb09-en0008-73-16090,-6.87646,0
151,clueweb09-en0118-93-44352,-6.87646,0
151,clueweb09-en0079-98-00865,-6.87646,0
151,clueweb09-en0029-94-24007,-6.87664,0
151,clueweb09-en0011-17-06424,-6.87682,0
151,clueweb09-en0081-62-39029,-6.88104,0
151,clueweb09-en0000-12-20448,-6.88307,0
151,clueweb09-en0089-81-11715,-6.88622,0
151,clueweb09-en0002-16-24624,-6.89423,0
151,clueweb09-en0030-53-32535,-6.9057,0
151,clueweb09-en0069-09-08081,-6.9113,0
151,clueweb09-en0030-54-04818,-6.91159,0
