topic,doc,score,rel
151,clueweb09-en0008-24-06205,2093.02,0
151,clueweb09-en0010-79-01642,2079.048,0
151,clueweb09-en0010-82-12587,2079.042,4
151,clueweb09-en0002-19-09466,2077.979,1
151,clueweb09-en0010-82-12588,2077.602,1
151,clueweb09-en0010-82-12589,2077.366,1
151,clueweb09-en0010-82-12593,2072.214,4
151,clueweb09-en0011-04-11445,2071.418,4
151,clueweb09-en0008-24-06211,2069.48,0
151,clueweb09-en0006-98-41131,2069.115,0
151,clueweb09-en0006-98-41132,2068.421,0
151,clueweb09-en0008-24-06204,2060.916,0
151,clueweb09-en0011-06-39804,2060.507,0
151,clueweb09-en0001-00-25180,2059.468,0
151,clueweb09-en0011-67-00072,2059.219,1
151,clueweb09-en0003-16-13796,2058.102,0
151,clueweb09-en0009-84-33862,2057.902,0
151,clueweb09-en0000-14-36711,2056.977,1
151,clueweb09-en0000-35-31755,2056.711,0
151,clueweb09-en0010-97-09232,2054.1,0
151,clueweb09-en0007-28-32033,2053.585,0
151,clueweb09-en0001-00-25181,2053.585,0
151,clueweb09-en0007-55-00719,2050.887,1
151,clueweb09-en0011-54-30937,2050.467,1
151,clueweb09-en0006-76-13495,2049.986,0
151,clueweb09-en0002-16-24613,2049.14,0
151,clueweb09-en0006-76-13494,2048.944,0
151,clueweb09-en0007-67-23523,2047.701,0
151,clueweb09-en0010-79-01651,2047.132,0
151,clueweb09-en0011-79-06754,2047.087,0
151,clueweb09-en0005-19-06842,2046.605,0
151,clueweb09-en0008-47-01488,2046.009,0
151,clueweb09-enwp00-04-05850,2045.621,2
151,clueweb09-en0002-97-14075,2044.036,0
151,clueweb09-en0011-04-11428,2043.973,0
151,clueweb09-en0001-92-00487,2043.856,0
151,clueweb09-en0007-47-04012,2043.823,0
151,clueweb09-en0005-48-26242,2043.542,0
151,clueweb09-en0004-80-00508,2043.225,1
151,clueweb09-en0011-04-11438,2042.721,0
151,clueweb09-en0005-21-11315,2042.421,0
151,clueweb09-en0004-52-35052,2042.289,0
151,clueweb09-en0007-60-25829,2042.129,0
151,clueweb09-enwp01-31-18621,2041.931,0
