topic,doc,score,rel
151,clueweb09-en0011-54-30937,114.0,1
151,clueweb09-en0008-24-06204,113.0,0
151,clueweb09-en0011-04-11445,112.0,4
151,clueweb09-en0001-45-26029,111.0,0
151,clueweb09-en0011-06-39804,110.0,0
151,clueweb09-en0010-79-21791,109.0,0
151,clueweb09-en0006-98-41132,108.0,0
151,clueweb09-en0010-82-12587,107.0,4
151,clueweb09-en0008-84-31949,106.0,1
151,clueweb09-en0002-19-09466,105.0,1
151,clueweb09-en0011-67-00072,104.0,1
151,clueweb09-en0000-35-31755,103.0,0
151,clueweb09-en0010-96-35657,102.0,0
151,clueweb09-en0002-05-06473,101.0,0
151,clueweb09-en0004-50-32815,100.0,0
151,clueweb09-en0003-16-13796,99.0,0
151,clueweb09-en0010-82-12589,98.0,1
151,clueweb09-en0002-11-14088,97.0,0
151,clueweb09-en0008-58-11409,96.0,0
151,clueweb09-en0003-00-27777,95.0,0
151,clueweb09-en0003-00-27142,94.0,0
151,clueweb09-en0006-58-41154,93.0,0
151,clueweb09-en0001-70-18096,92.0,0
151,clueweb09-en0000-85-24964,91.0,0
151,clueweb09-en0001-45-26006,90.0,0
151,clueweb09-en0008-97-32658,89.0,0
151,clueweb09-en0000-85-24996,88.0,0
151,clueweb09-en0006-14-19112,87.0,0
151,clueweb09-en0006-98-41131,86.0,0
151,clueweb09-en0007-55-00719,85.0,1
151,clueweb09-en0010-82-12593,84.0,4
151,clueweb09-en0010-79-01642,83.0,0
151,clueweb09-en0010-82-12588,82.0,1
151,clueweb09-en0003-00-27560,81.0,0
151,clueweb09-en0000-73-29778,80.0,0
151,clueweb09-en0007-60-25864,79.0,1
151,clueweb09-en0008-89-28377,78.0,0
151,clueweb09-en0004-17-02888,77.0,1
151,clueweb09-en0004-09-24349,76.0,0
151,clueweb09-en0003-41-09169,75.0,0
151,clueweb09-en0003-00-27723,74.0,0
151,clueweb09-en0006-41-17219,73.0,0
151,clueweb09-en0009-84-33862,72.0,0
151,clueweb09-en0005-24-24966,71.0,1
151,clueweb09-en0008-24-06211,70.0,0
151,clueweb09-en0004-16-25132,69.0,1
151,clueweb09-en0001-92-00487,68.0,0
151,clueweb09-en0011-86-02948,67.0,0
151,clueweb09-en0000-39-06336,66.0,0
151,clueweb09-en0006-43-00667,65.0,0
151,clueweb09-en0004-56-15031,64.0,1
151,clueweb09-en0006-73-25389,63.0,1
151,clueweb09-en0008-91-02471,62.0,0
151,clueweb09-en0008-84-31950,61.0,1
151,clueweb09-en0010-29-04313,60.0,1
151,clueweb09-en0011-80-08664,59.0,1
151,clueweb09-en0009-15-18349,58.0,0
151,clueweb09-en0005-29-24033,57.0,1
151,clueweb09-en0010-94-15998,56.0,0
151,clueweb09-en0004-30-12103,55.0,0
151,clueweb09-en0007-55-00754,54.0,0
151,clueweb09-en0007-31-03073,53.0,0
151,clueweb09-en0008-85-25322,52.0,0
151,clueweb09-en0011-86-02952,51.0,0
151,clueweb09-en0011-10-08000,50.0,0
151,clueweb09-en0004-56-15026,49.0,0
151,clueweb09-en0004-56-15028,48.0,0
151,clueweb09-en0004-56-15033,47.0,0
151,clueweb09-en0004-16-25464,46.0,1
151,clueweb09-en0007-31-09552,45.0,0
151,clueweb09-en0005-29-24032,44.0,1
151,clueweb09-en0005-32-04203,43.0,0
151,clueweb09-en0000-01-01067,42.0,1
151,clueweb09-en0007-60-28632,41.0,3
151,clueweb09-en0008-17-07071,40.0,0
151,clueweb09-en0000-98-17055,39.0,1
151,clueweb09-en0010-94-15999,38.0,0
151,clueweb09-en0005-58-00392,37.0,1
151,clueweb09-en0006-18-29841,36.0,1
151,clueweb09-en0001-54-14652,35.0,1
151,clueweb09-en0001-45-26009,34.0,0
151,clueweb09-en0000-37-23041,33.0,0
151,clueweb09-en0007-26-18306,32.0,0
151,clueweb09-en0007-31-08970,31.0,0
151,clueweb09-en0007-31-01247,30.0,0
151,clueweb09-en0010-63-26757,29.0,0
151,clueweb09-en0009-05-12500,28.0,0
151,clueweb09-en0009-23-31423,27.0,0
151,clueweb09-en0007-67-23523,26.0,0
151,clueweb09-en0004-52-34964,25.0,0
151,clueweb09-en0008-62-35770,24.0,1
151,clueweb09-en0005-82-27223,23.0,1
151,clueweb09-en0010-94-15997,22.0,0
151,clueweb09-en0011-64-42451,21.0,0
151,clueweb09-en0009-04-16742,20.0,1
151,clueweb09-en0003-23-03775,19.0,0
151,clueweb09-en0004-65-36237,18.0,0
151,clueweb09-en0005-63-35961,17.0,0
151,clueweb09-en0008-84-32043,16.0,0
151,clueweb09-en0006-18-29833,15.0,1
151,clueweb09-en0004-16-25010,14.0,0
151,clueweb09-en0008-62-39243,13.0,0
151,clueweb09-en0007-62-35258,12.0,0
151,clueweb09-en0010-94-16000,11.0,0
151,clueweb09-en0001-44-44021,10.0,0
151,clueweb09-en0000-08-04359,9.0,0
151,clueweb09-en0007-60-25662,8.0,0
151,clueweb09-en0010-94-16001,7.0,0
