topic,doc,score,rel
151,clueweb09-en0011-54-30937,114.0,1
151,clueweb09-en0008-24-06204,113.0,0
151,clueweb09-en0011-04-11445,112.0,4
151,clueweb09-en0011-67-00072,111.0,1
151,clueweb09-en0010-96-35657,110.0,0
151,clueweb09-en0011-06-39804,109.0,0
151,clueweb09-en0010-79-21791,108.0,0
151,clueweb09-en0006-98-41132,107.0,0
151,clueweb09-en0010-82-12587,106.0,4
151,clueweb09-en0010-82-12589,105.0,1
151,clueweb09-en0008-84-31949,104.0,1
151,clueweb09-en0002-19-09466,103.0,1
151,clueweb09-en0000-35-31755,102.0,0
151,clueweb09-en0007-55-00719,101.0,1
151,clueweb09-en0004-50-32815,100.0,0
151,clueweb09-en0010-79-01642,99.0,0
151,clueweb09-en0002-11-14088,98.0,0
151,clueweb09-en0008-58-11409,97.0,0
151,clueweb09-en0003-00-27142,96.0,0
151,clueweb09-en0001-70-18096,95.0,0
151,clueweb09-en0000-85-24964,94.0,0
151,clueweb09-en0008-97-32658,93.0,0
151,clueweb09-en0000-85-24996,92.0,0
151,clueweb09-en0009-04-16742,91.0,1
151,clueweb09-en0010-79-01651,90.0,0
151,clueweb09-en0006-14-19112,89.0,0
151,clueweb09-en0010-82-12593,88.0,4
151,clueweb09-en0007-60-25864,87.0,1
151,clueweb09-en0003-00-27777,86.0,0
151,clueweb09-en0006-98-41131,85.0,0
151,clueweb09-en0001-45-26029,84.0,0
151,clueweb09-en0003-00-27560,83.0,0
151,clueweb09-en0000-73-29778,82.0,0
151,clueweb09-en0008-89-28377,81.0,0
151,clueweb09-en0005-24-24966,80.0,1
151,clueweb09-en0002-05-06473,79.0,0
151,clueweb09-en0004-17-02888,78.0,1
151,clueweb09-en0003-00-27723,77.0,0
151,clueweb09-en0009-84-33862,76.0,0
151,clueweb09-en0000-37-23041,75.0,0
151,clueweb09-en0003-41-09169,74.0,0
151,clueweb09-en0006-43-00667,73.0,0
151,clueweb09-en0006-41-17219,72.0,0
151,clueweb09-en0004-16-25132,71.0,1
151,clueweb09-en0008-24-06211,70.0,0
151,clueweb09-en0010-29-04313,69.0,1
151,clueweb09-en0010-82-12588,68.0,1
151,clueweb09-en0008-85-25322,67.0,0
151,clueweb09-en0008-91-02471,66.0,0
151,clueweb09-en0000-39-06336,65.0,0
151,clueweb09-en0001-92-00487,64.0,0
151,clueweb09-en0008-84-31950,63.0,1
151,clueweb09-en0004-30-12103,62.0,0
151,clueweb09-en0011-86-02948,61.0,0
151,clueweb09-en0009-15-18349,60.0,0
151,clueweb09-en0004-56-15031,59.0,1
151,clueweb09-en0005-29-24032,58.0,1
151,clueweb09-en0008-17-07071,57.0,0
151,clueweb09-en0001-45-26006,56.0,0
151,clueweb09-en0007-55-00754,55.0,0
151,clueweb09-en0011-80-08664,54.0,1
151,clueweb09-en0006-58-41154,53.0,0
151,clueweb09-en0007-31-03073,52.0,0
151,clueweb09-en0007-31-01247,51.0,0
151,clueweb09-en0004-56-15028,50.0,0
151,clueweb09-en0011-10-08000,49.0,0
151,clueweb09-en0005-29-24033,48.0,1
151,clueweb09-en0004-56-15033,47.0,0
151,clueweb09-en0000-08-04359,46.0,0
151,clueweb09-en0011-86-02952,45.0,0
151,clueweb09-en0004-16-25464,44.0,1
151,clueweb09-en0000-01-01067,43.0,1
151,clueweb09-en0007-31-09552,42.0,0
151,clueweb09-en0005-32-04203,41.0,0
151,clueweb09-en0004-65-36237,40.0,0
151,clueweb09-en0007-60-28632,39.0,3
151,clueweb09-en0007-67-23523,38.0,0
151,clueweb09-en0004-56-15026,37.0,0
151,clueweb09-en0005-58-00392,36.0,1
151,clueweb09-en0001-54-14652,35.0,1
151,clueweb09-en0003-16-13796,34.0,0
151,clueweb09-en0003-58-20685,33.0,0
151,clueweb09-en0006-73-25389,32.0,1
151,clueweb09-en0007-31-08970,31.0,0
151,clueweb09-en0004-52-34964,30.0,0
151,clueweb09-en0000-98-17055,29.0,1
151,clueweb09-en0009-23-31423,28.0,0
151,clueweb09-en0004-09-24349,27.0,0
151,clueweb09-en0009-05-12500,26.0,0
151,clueweb09-en0005-82-27223,25.0,1
151,clueweb09-en0008-62-35770,24.0,1
151,clueweb09-en0010-94-15997,23.0,0
151,clueweb09-en0007-26-18306,22.0,0
151,clueweb09-en0003-23-03775,21.0,0
151,clueweb09-en0010-94-15998,20.0,0
151,clueweb09-en0008-84-32043,19.0,0
151,clueweb09-en0006-18-29841,18.0,1
151,clueweb09-en0008-62-39243,17.0,0
151,clueweb09-en0009-43-38595,16.0,0
151,clueweb09-en0005-63-35961,15.0,0
151,clueweb09-en0011-64-42451,14.0,0
151,clueweb09-en0004-16-25010,13.0,0
151,clueweb09-en0001-45-26009,12.0,0
151,clueweb09-en0010-94-15999,11.0,0
151,clueweb09-en0010-63-26757,10.0,0
151,clueweb09-en0007-60-25662,9.0,0
151,clueweb09-en0006-18-29833,8.0,1
151,clueweb09-en0007-62-35258,7.0,0
