topic,doc,score,rel
201,clueweb12-0810wb-78-21417,-1.0,2
201,clueweb12-0401tw-00-05277,-2.0,1
201,clueweb12-0700tw-74-19724,-3.0,1
201,clueweb12-1700tw-01-10630,-4.0,1
201,clueweb12-0915wb-93-12188,-5.0,2
201,clueweb12-1700tw-12-12180,-6.0,1
201,clueweb12-0916wb-56-28701,-7.0,2
201,clueweb12-0700tw-61-14704,-8.0,2
201,clueweb12-0909wb-96-26247,-9.0,0
201,clueweb12-0917wb-42-14097,-10.0,2
201,clueweb12-1300tw-81-10983,-11.0,0
201,clueweb12-0700tw-72-10766,-12.0,1
201,clueweb12-1800tw-45-19214,-13.0,1
201,clueweb12-0712wb-13-29041,-14.0,1
201,clueweb12-1700tw-19-01998,-15.0,1
201,clueweb12-1804wb-83-26991,-16.0,1
201,clueweb12-0600tw-21-12056,-17.0,0
201,clueweb12-1700tw-24-18393,-18.0,0
201,clueweb12-0500tw-09-01438,-19.0,0
201,clueweb12-0700tw-06-03345,-20.0,0
201,clueweb12-0400tw-96-10306,-21.0,0
201,clueweb12-1700tw-04-02422,-22.0,1
201,clueweb12-0904wb-71-24465,-23.0,1
201,clueweb12-0903wb-83-14272,-24.0,0
201,clueweb12-1700tw-22-12689,-25.0,0
201,clueweb12-0900tw-34-09743,-26.0,1
201,clueweb12-1700tw-24-18392,-27.0,0
201,clueweb12-1801wb-97-09765,-28.0,0
201,clueweb12-1004wb-86-06246,-29.0,0
201,clueweb12-1700tw-60-14505,-30.0,0
201,clueweb12-1110wb-45-29731,-31.0,1
201,clueweb12-0700tw-43-07348,-32.0,1
201,clueweb12-1003wb-22-01697,-33.0,1
201,clueweb12-1305wb-52-24223,-34.0,1
201,clueweb12-1804wb-83-27006,-35.0,1
201,clueweb12-1804wb-61-18411,-36.0,1
201,clueweb12-1804wb-47-11411,-37.0,0
201,clueweb12-1804wb-47-11414,-38.0,1
201,clueweb12-1805wb-00-30333,-39.0,1
201,clueweb12-0500tw-14-16637,-40.0,1
201,clueweb12-0500tw-11-17774,-41.0,1
201,clueweb12-1900tw-35-06166,-42.0,0
201,clueweb12-1600tw-25-03206,-43.0,0
201,clueweb12-0500tw-25-15526,-44.0,1
201,clueweb12-0800tw-13-20648,-45.0,1
201,clueweb12-1006wb-76-06368,-46.0,1
201,clueweb12-1006wb-61-32731,-47.0,0
201,clueweb12-1700tw-11-11014,-48.0,0
201,clueweb12-0907wb-95-27054,-49.0,1
201,clueweb12-0900tw-63-01604,-50.0,1
201,clueweb12-1310wb-69-24280,-51.0,0
201,clueweb12-0904wb-85-19637,-52.0,1
201,clueweb12-0401tw-08-02152,-53.0,1
201,clueweb12-1213wb-24-15439,-54.0,1
201,clueweb12-0916wb-37-04526,-55.0,1
201,clueweb12-1613wb-41-04806,-56.0,2
201,clueweb12-0904wb-71-24472,-57.0,1
201,clueweb12-1812wb-65-24519,-58.0,1
201,clueweb12-0915wb-93-18991,-59.0,0
201,clueweb12-1007wb-48-27054,-60.0,0
201,clueweb12-1500tw-27-08186,-61.0,0
201,clueweb12-0800tw-21-14968,-62.0,0
201,clueweb12-1712wb-91-26912,-63.0,1
201,clueweb12-1000wb-47-19725,-64.0,0
201,clueweb12-1805wb-88-10172,-65.0,1
201,clueweb12-1805wb-10-00164,-66.0,1
201,clueweb12-1806wb-14-01949,-67.0,1
201,clueweb12-1806wb-17-27435,-68.0,0
201,clueweb12-1805wb-10-00159,-69.0,1
201,clueweb12-1700tw-18-11287,-70.0,1
201,clueweb12-1500tw-87-05762,-71.0,0
201,clueweb12-1200tw-10-09979,-72.0,1
201,clueweb12-1310wb-04-16486,-73.0,1
201,clueweb12-1804wb-68-31616,-74.0,1
201,clueweb12-0700tw-34-04868,-75.0,0
201,clueweb12-1806wb-17-27436,-76.0,0
201,clueweb12-1806wb-14-01947,-77.0,0
201,clueweb12-1700tw-04-02423,-78.0,0
201,clueweb12-1604wb-20-11054,-79.0,0
201,clueweb12-1804wb-91-02269,-80.0,1
201,clueweb12-1805wb-71-08872,-81.0,0
201,clueweb12-1501tw-06-05942,-82.0,1
201,clueweb12-0900tw-97-01725,-83.0,1
201,clueweb12-0600tw-15-11839,-84.0,0
201,clueweb12-1805wb-97-00510,-85.0,1
201,clueweb12-1805wb-88-10173,-86.0,1
201,clueweb12-1806wb-14-01953,-87.0,1
201,clueweb12-1705wb-52-15495,-88.0,0
201,clueweb12-0711wb-62-24988,-89.0,0
201,clueweb12-1806wb-07-14285,-90.0,1
201,clueweb12-1806wb-14-01948,-91.0,0
201,clueweb12-1700tw-04-02424,-92.0,1
201,clueweb12-1700tw-12-03430,-93.0,0
201,clueweb12-1700tw-04-02426,-94.0,0
201,clueweb12-1806wb-07-14286,-95.0,1
201,clueweb12-0800wb-04-25565,-96.0,0
201,clueweb12-1309wb-69-26514,-97.0,0
201,clueweb12-1911wb-40-08473,-98.0,0
201,clueweb12-1806wb-14-01950,-99.0,1
