topic,doc,score,rel
201,clueweb12-0905wb-50-14578,25.6353682311978,0
201,clueweb12-0900tw-63-01604,23.5502274211582,1
201,clueweb12-1100tw-72-06488,23.1194567911605,1
201,clueweb12-0810wb-78-21417,22.9215889625784,2
201,clueweb12-0400tw-08-22698,22.844844860134,1
201,clueweb12-1700tw-22-12689,22.7585142979632,0
201,clueweb12-0401tw-00-05277,22.6483820565723,1
201,clueweb12-0915wb-38-28283,22.6323771025828,1
201,clueweb12-1004wb-00-27297,22.620304667178,0
201,clueweb12-0500tw-11-17774,22.5797906624218,1
201,clueweb12-0500tw-14-16637,22.5797906624218,1
201,clueweb12-0712wb-66-26107,22.5283711475192,1
201,clueweb12-0711wb-28-10462,22.2034633015959,1
201,clueweb12-1600tw-25-03206,22.16621533708,0
201,clueweb12-1900tw-35-06166,22.1551648753023,0
201,clueweb12-0300tw-49-08295,22.1520925843979,1
201,clueweb12-1616wb-75-14860,22.1396448952536,1
201,clueweb12-1410wb-28-00881,22.1015639961413,0
201,clueweb12-0809wb-37-01955,22.0329392576753,0
201,clueweb12-1500wb-22-20068,21.9838756122046,0
201,clueweb12-1700tw-11-11014,21.9718786843564,0
201,clueweb12-0500tw-25-15526,21.8588107824429,1
201,clueweb12-0500tw-25-18632,21.8578012444969,1
201,clueweb12-0915wb-34-01721,21.7833755125782,0
201,clueweb12-1700tw-60-14505,21.7162095827052,0
201,clueweb12-1804wb-83-27006,21.6334210823086,1
201,clueweb12-1804wb-61-18411,21.6319913193501,1
201,clueweb12-0900wb-35-34761,21.5707933330138,0
201,clueweb12-1700tw-24-18392,21.5638392898612,0
201,clueweb12-1700tw-24-18393,21.5638392898612,0
201,clueweb12-0711wb-42-19297,21.5416653528883,1
201,clueweb12-0711wb-72-07347,21.5209243312158,1
201,clueweb12-0800tw-13-20648,21.4722474966203,1
201,clueweb12-0900wb-61-27591,21.4526661995768,0
201,clueweb12-1805wb-00-30333,21.4470835944986,1
201,clueweb12-1804wb-47-11414,21.4470835944986,1
201,clueweb12-0400tw-99-10402,21.4307266260661,0
201,clueweb12-0712wb-53-05627,21.4099342031782,1
201,clueweb12-1700tw-01-10630,21.3763951135828,1
201,clueweb12-1516wb-49-21417,21.3495427410324,2
201,clueweb12-1805wb-10-00159,21.1721395566838,1
201,clueweb12-0900wb-35-34759,21.1372747252293,1
201,clueweb12-0100tw-10-22947,21.0913809640402,0
201,clueweb12-0713wb-35-13648,21.0888744546196,1
201,clueweb12-1805wb-10-00164,21.0828237521237,1
201,clueweb12-1300tw-81-10983,21.0698380475562,0
