topic,doc,score,rel
201,clueweb12-0900tw-63-01604,-5.02207,1
201,clueweb12-1700tw-11-11014,-5.12031,0
201,clueweb12-1804wb-83-27006,-5.2883,1
201,clueweb12-1804wb-61-18411,-5.28922,1
201,clueweb12-1700tw-60-14505,-5.35943,0
201,clueweb12-1805wb-00-30333,-5.36204,1
201,clueweb12-1804wb-47-11414,-5.36204,1
201,clueweb12-1700tw-01-10630,-5.36981,1
201,clueweb12-1700tw-24-18393,-5.37228,0
201,clueweb12-1700tw-24-18392,-5.37228,0
201,clueweb12-1600tw-25-03206,-5.40792,0
201,clueweb12-0916wb-56-28701,-5.41847,2
201,clueweb12-0917wb-42-14097,-5.4276,2
201,clueweb12-0915wb-93-12188,-5.4276,2
201,clueweb12-1805wb-10-00159,-5.42933,1
201,clueweb12-1805wb-10-00164,-5.47614,1
201,clueweb12-1613wb-41-04806,-5.49117,2
201,clueweb12-1700tw-12-12180,-5.49751,1
201,clueweb12-1300tw-81-10983,-5.51721,0
201,clueweb12-1500tw-89-06869,-5.55082,0
201,clueweb12-1500tw-89-06870,-5.55082,0
201,clueweb12-0700tw-61-14704,-5.55177,2
201,clueweb12-1500tw-87-05762,-5.56591,0
201,clueweb12-1006wb-76-06368,-5.58067,1
201,clueweb12-0700tw-06-03345,-5.59888,0
201,clueweb12-1804wb-83-26991,-5.60218,1
201,clueweb12-0909wb-96-26247,-5.6079,0
201,clueweb12-0500tw-09-01438,-5.6165,0
201,clueweb12-0600tw-15-11839,-5.61695,0
201,clueweb12-0916wb-37-04526,-5.62839,1
201,clueweb12-1805wb-04-09143,-5.6285,1
201,clueweb12-1805wb-04-09141,-5.6285,0
201,clueweb12-1003wb-22-01697,-5.62888,1
201,clueweb12-1804wb-91-02272,-5.62959,0
201,clueweb12-0600tw-21-12056,-5.63229,0
201,clueweb12-1700tw-04-02422,-5.64348,1
201,clueweb12-1805wb-42-21505,-5.64769,1
201,clueweb12-1700tw-12-03430,-5.65316,0
201,clueweb12-1700tw-04-02424,-5.65383,1
201,clueweb12-1700tw-19-01998,-5.65422,1
201,clueweb12-0700tw-74-19724,-5.65433,1
201,clueweb12-1700tw-04-02423,-5.6545,0
201,clueweb12-1700tw-04-02426,-5.65495,0
201,clueweb12-1700tw-04-02425,-5.65585,0
201,clueweb12-1806wb-17-27435,-5.66235,0
201,clueweb12-1600tw-43-10277,-5.68499,1
201,clueweb12-1804wb-47-11411,-5.68966,0
201,clueweb12-1805wb-71-08872,-5.69044,0
201,clueweb12-1806wb-14-01948,-5.6907,0
201,clueweb12-1806wb-14-01947,-5.69096,0
201,clueweb12-1806wb-17-27436,-5.69096,0
201,clueweb12-0900tw-34-09743,-5.69412,1
201,clueweb12-0700tw-72-10766,-5.70039,1
201,clueweb12-0700tw-69-23823,-5.70135,0
201,clueweb12-0700tw-43-07348,-5.7255,1
201,clueweb12-1305wb-52-24223,-5.72659,1
201,clueweb12-0500tw-09-16891,-5.73629,1
201,clueweb12-0500tw-12-01032,-5.74098,1
201,clueweb12-0500tw-12-01033,-5.74098,1
201,clueweb12-0500tw-09-16892,-5.74719,1
201,clueweb12-1700tw-18-11287,-5.77776,1
201,clueweb12-1613wb-37-28549,-5.78996,1
201,clueweb12-1006wb-62-00002,-5.79244,0
201,clueweb12-0300tw-57-15513,-5.79727,1
201,clueweb12-0700tw-32-01813,-5.80015,0
201,clueweb12-1003wb-81-21033,-5.80754,0
201,clueweb12-1712wb-91-26912,-5.80902,1
201,clueweb12-0915wb-93-18993,-5.81392,0
201,clueweb12-0915wb-93-18992,-5.81392,0
201,clueweb12-0700tw-79-17969,-5.81828,1
201,clueweb12-0700tw-77-17133,-5.81828,1
201,clueweb12-0700tw-79-17968,-5.81849,1
201,clueweb12-1613wb-51-20021,-5.81936,0
201,clueweb12-0700tw-79-17919,-5.82124,1
201,clueweb12-0700tw-34-04868,-5.83022,0
201,clueweb12-0900tw-97-01725,-5.86689,1
201,clueweb12-0401tw-13-12471,-5.86997,0
201,clueweb12-0915wb-93-18991,-5.8702,0
201,clueweb12-1500tw-27-08186,-5.87134,0
201,clueweb12-1101tw-12-13837,-5.87177,0
201,clueweb12-0904wb-71-24472,-5.88025,1
201,clueweb12-0904wb-71-24465,-5.88088,1
201,clueweb12-0900tw-32-16590,-5.88489,0
201,clueweb12-1602wb-55-25975,-5.89836,1
201,clueweb12-1007wb-48-27054,-5.90064,0
201,clueweb12-1006wb-61-32731,-5.90064,0
201,clueweb12-1700tw-68-07859,-5.90226,1
