topic,doc,score,rel
201,clueweb12-0900tw-63-01604,-4.34907,1
201,clueweb12-1700tw-11-11014,-4.46911,0
201,clueweb12-1804wb-83-27006,-4.63662,1
201,clueweb12-1804wb-61-18411,-4.63755,1
201,clueweb12-1700tw-60-14505,-4.6951,0
201,clueweb12-1700tw-24-18392,-4.71178,0
201,clueweb12-1700tw-24-18393,-4.71178,0
201,clueweb12-1805wb-00-30333,-4.71596,1
201,clueweb12-1804wb-47-11414,-4.71596,1
201,clueweb12-1600tw-25-03206,-4.72314,0
201,clueweb12-1700tw-01-10630,-4.74467,1
201,clueweb12-0916wb-56-28701,-4.77918,2
201,clueweb12-0915wb-93-12188,-4.78926,2
201,clueweb12-0917wb-42-14097,-4.78926,2
201,clueweb12-1805wb-10-00159,-4.79207,1
201,clueweb12-1805wb-10-00164,-4.83888,1
201,clueweb12-1613wb-41-04806,-4.85861,2
201,clueweb12-1700tw-12-12180,-4.8723,1
201,clueweb12-1300tw-81-10983,-4.87266,0
201,clueweb12-0700tw-61-14704,-4.93641,2
201,clueweb12-1500tw-89-06869,-4.94606,0
201,clueweb12-1500tw-89-06870,-4.94606,0
201,clueweb12-1500tw-87-05762,-4.96266,0
201,clueweb12-1006wb-76-06368,-4.97086,1
201,clueweb12-0700tw-06-03345,-4.98518,0
201,clueweb12-1804wb-83-26991,-4.98535,1
201,clueweb12-0909wb-96-26247,-4.99568,0
201,clueweb12-0600tw-15-11839,-4.99578,0
201,clueweb12-1805wb-42-21505,-5.00161,1
201,clueweb12-0500tw-09-01438,-5.00593,0
201,clueweb12-1003wb-22-01697,-5.00852,1
201,clueweb12-1805wb-04-09141,-5.01468,0
201,clueweb12-1805wb-04-09143,-5.01468,1
201,clueweb12-1804wb-91-02272,-5.01577,0
201,clueweb12-1700tw-04-02422,-5.01765,1
201,clueweb12-0916wb-37-04526,-5.02108,1
201,clueweb12-0600tw-21-12056,-5.02248,0
201,clueweb12-1700tw-12-03430,-5.02733,0
201,clueweb12-1700tw-04-02424,-5.02801,1
201,clueweb12-1700tw-04-02423,-5.02868,0
201,clueweb12-1700tw-04-02426,-5.02912,0
201,clueweb12-1700tw-04-02425,-5.03002,0
201,clueweb12-1700tw-19-01998,-5.04441,1
201,clueweb12-1806wb-17-27435,-5.04778,0
201,clueweb12-0700tw-74-19724,-5.05235,1
201,clueweb12-1600tw-43-10277,-5.07599,1
201,clueweb12-1804wb-47-11411,-5.07743,0
201,clueweb12-1805wb-71-08872,-5.07821,0
201,clueweb12-1806wb-14-01948,-5.07847,0
201,clueweb12-1806wb-14-01947,-5.07873,0
201,clueweb12-1806wb-17-27436,-5.07873,0
201,clueweb12-0700tw-72-10766,-5.08135,1
201,clueweb12-0700tw-69-23823,-5.0823,0
201,clueweb12-0900tw-34-09743,-5.08766,1
201,clueweb12-0700tw-43-07348,-5.09768,1
201,clueweb12-1305wb-52-24223,-5.12461,1
201,clueweb12-0500tw-12-01033,-5.15162,1
201,clueweb12-0500tw-12-01032,-5.15162,1
201,clueweb12-0500tw-09-16891,-5.15638,1
201,clueweb12-0500tw-09-16892,-5.15912,1
201,clueweb12-1613wb-37-28549,-5.16214,1
201,clueweb12-1700tw-18-11287,-5.17046,1
201,clueweb12-0700tw-32-01813,-5.18262,0
201,clueweb12-0700tw-77-17133,-5.18852,1
201,clueweb12-0700tw-79-17969,-5.18852,1
201,clueweb12-0700tw-79-17968,-5.18873,1
201,clueweb12-1003wb-81-21033,-5.19071,0
201,clueweb12-0700tw-79-17919,-5.19148,1
201,clueweb12-1006wb-62-00002,-5.1923,0
201,clueweb12-1712wb-91-26912,-5.20173,1
201,clueweb12-0915wb-93-18993,-5.20661,0
201,clueweb12-0915wb-93-18992,-5.20661,0
201,clueweb12-0300tw-57-15513,-5.21068,1
201,clueweb12-0900tw-97-01725,-5.21351,1
201,clueweb12-0700tw-34-04868,-5.21494,0
201,clueweb12-1613wb-51-20021,-5.22741,0
201,clueweb12-0904wb-71-24472,-5.2282,1
201,clueweb12-0904wb-71-24465,-5.22883,1
201,clueweb12-0904wb-85-19637,-5.2588,1
201,clueweb12-1500tw-27-08186,-5.27066,0
201,clueweb12-1101tw-12-13837,-5.27583,0
201,clueweb12-0401tw-13-12471,-5.28833,0
201,clueweb12-0915wb-93-18991,-5.29409,0
201,clueweb12-1602wb-55-25975,-5.30311,1
201,clueweb12-1705wb-52-15495,-5.30408,0
201,clueweb12-1804wb-47-11412,-5.30463,1
201,clueweb12-1804wb-55-03024,-5.30463,0
201,clueweb12-0900tw-60-12948,-5.30477,0
201,clueweb12-1309wb-69-26514,-5.31878,0
201,clueweb12-1700tw-68-07859,-5.32554,1
201,clueweb12-1000wb-47-19725,-5.32674,0
201,clueweb12-1006wb-61-32731,-5.32945,0
201,clueweb12-1007wb-48-27054,-5.32945,0
201,clueweb12-0900tw-32-16590,-5.34039,0
201,clueweb12-0907wb-95-27054,-5.35774,1
201,clueweb12-1700tw-05-04365,-5.35819,0
201,clueweb12-0909wb-23-16147,-5.36588,0
201,clueweb12-1800wb-26-00411,-5.36646,0
201,clueweb12-0400tw-96-10306,-5.37384,0
201,clueweb12-0800tw-20-11696,-5.3797,1
201,clueweb12-1900wb-48-21594,-5.38169,0
201,clueweb12-1200tw-80-04767,-5.39969,0
201,clueweb12-1000tw-51-15843,-5.39974,1
201,clueweb12-0905wb-09-07295,-5.40101,0
201,clueweb12-1006wb-74-15150,-5.40141,0
201,clueweb12-1006wb-74-15149,-5.40275,0
201,clueweb12-0401tw-11-13679,-5.40426,1
201,clueweb12-0915wb-54-10744,-5.41001,0
201,clueweb12-0713wb-53-13641,-5.41036,0
201,clueweb12-1003wb-43-21104,-5.41564,0
201,clueweb12-1003wb-87-01927,-5.41583,0
201,clueweb12-1400tw-14-21089,-5.41652,2
201,clueweb12-1804wb-68-31617,-5.42529,0
201,clueweb12-0509wb-52-08605,-5.43087,1
201,clueweb12-0917wb-56-05093,-5.43304,0
201,clueweb12-1210wb-93-32500,-5.43672,0
201,clueweb12-1602wb-44-05440,-5.43803,1
201,clueweb12-0401tw-08-02152,-5.43926,1
201,clueweb12-0400tw-94-13567,-5.43932,0
201,clueweb12-0707wb-37-00822,-5.44089,0
201,clueweb12-0908wb-55-02858,-5.44705,0
201,clueweb12-0911wb-16-09228,-5.44757,0
201,clueweb12-0400tw-96-22359,-5.44821,1
201,clueweb12-0108wb-86-18203,-5.45027,2
201,clueweb12-0800tw-20-08085,-5.45156,1
201,clueweb12-1913wb-33-03742,-5.45222,1
201,clueweb12-0800tw-20-08086,-5.4542,1
201,clueweb12-0800tw-17-25760,-5.4542,1
201,clueweb12-0800tw-17-25759,-5.45449,1
201,clueweb12-0800tw-57-07659,-5.45498,0
201,clueweb12-0800tw-57-07658,-5.45498,0
201,clueweb12-1800tw-45-19214,-5.45516,1
201,clueweb12-1900wb-80-01962,-5.45532,0
201,clueweb12-1100tw-40-07793,-5.45648,0
201,clueweb12-0800tw-17-25761,-5.45654,1
201,clueweb12-0700tw-15-02493,-5.4571,0
201,clueweb12-1200tw-80-10420,-5.46423,0
201,clueweb12-0908wb-85-13753,-5.46477,0
201,clueweb12-1200tw-80-10421,-5.46484,1
201,clueweb12-1000wb-85-19998,-5.46582,0
201,clueweb12-1005wb-42-13095,-5.46628,0
201,clueweb12-1200tw-93-12199,-5.46793,1
201,clueweb12-1200tw-93-12198,-5.46793,1
201,clueweb12-0800tw-24-03110,-5.4695,0
201,clueweb12-1200tw-74-09560,-5.47137,1
201,clueweb12-0400tw-96-08580,-5.47482,1
201,clueweb12-0800tw-21-14968,-5.47907,0
201,clueweb12-0700tw-17-13668,-5.48077,0
201,clueweb12-1200tw-10-09979,-5.48228,1
201,clueweb12-1200tw-08-14978,-5.48297,0
201,clueweb12-1804wb-83-27001,-5.49101,0
201,clueweb12-1805wb-00-30332,-5.49101,0
201,clueweb12-1804wb-83-26990,-5.4919,0
201,clueweb12-1804wb-83-27002,-5.4922,0
201,clueweb12-1804wb-83-27004,-5.4922,0
201,clueweb12-0500tw-28-19161,-5.49374,0
201,clueweb12-0700tw-38-04680,-5.49405,0
201,clueweb12-0910wb-65-20666,-5.49555,0
201,clueweb12-1911wb-40-08473,-5.49732,0
201,clueweb12-1400tw-76-14366,-5.49871,0
201,clueweb12-0700tw-10-02591,-5.50074,0
201,clueweb12-0714wb-19-07180,-5.51533,0
201,clueweb12-0401tw-01-08821,-5.52078,0
201,clueweb12-0400tw-96-22360,-5.52589,0
201,clueweb12-0400tw-96-01093,-5.5275,0
201,clueweb12-0400tw-96-22362,-5.52767,0
201,clueweb12-0400tw-96-22361,-5.52826,0
201,clueweb12-0400tw-96-22363,-5.52826,0
201,clueweb12-0400tw-98-19394,-5.52846,1
201,clueweb12-0400tw-96-22364,-5.52885,0
201,clueweb12-0400tw-98-19395,-5.53062,1
201,clueweb12-0800tw-13-17594,-5.53091,1
201,clueweb12-1100tw-73-12368,-5.5312,0
201,clueweb12-0900tw-36-03835,-5.5334,0
201,clueweb12-1612wb-98-22255,-5.53527,0
201,clueweb12-0711wb-62-24988,-5.53979,0
201,clueweb12-0904wb-80-25046,-5.54446,0
201,clueweb12-0916wb-00-04079,-5.54585,0
