topic,doc,score,rel
201,clueweb12-1700tw-22-12689,-2.9398,0
201,clueweb12-0900tw-63-01604,-3.12001,1
201,clueweb12-0810wb-78-21417,-3.14465,2
201,clueweb12-1700tw-11-11014,-3.1873,0
201,clueweb12-0401tw-00-05277,-3.22265,1
201,clueweb12-0500tw-14-16637,-3.27721,1
201,clueweb12-0500tw-11-17774,-3.27774,1
201,clueweb12-1804wb-83-27006,-3.35691,1
201,clueweb12-1804wb-61-18411,-3.35787,1
201,clueweb12-1700tw-60-14505,-3.4191,0
201,clueweb12-1804wb-47-11414,-3.43855,1
201,clueweb12-1805wb-00-30333,-3.43855,1
201,clueweb12-1700tw-24-18392,-3.43904,0
201,clueweb12-1700tw-24-18393,-3.43904,0
201,clueweb12-1600tw-25-03206,-3.46058,0
201,clueweb12-1900tw-35-06166,-3.46691,0
201,clueweb12-0500tw-25-15526,-3.49726,1
201,clueweb12-1805wb-10-00159,-3.51155,1
201,clueweb12-1700tw-01-10630,-3.51486,1
201,clueweb12-1805wb-10-00164,-3.55612,1
201,clueweb12-1700tw-12-12180,-3.59229,1
201,clueweb12-1300tw-81-10983,-3.6117,0
201,clueweb12-0800tw-13-20648,-3.6199,1
201,clueweb12-1805wb-88-10172,-3.63779,1
201,clueweb12-1806wb-14-01949,-3.64126,1
201,clueweb12-0916wb-56-28701,-3.64393,2
201,clueweb12-0915wb-93-12188,-3.6454,2
201,clueweb12-0917wb-42-14097,-3.6454,2
201,clueweb12-0700tw-61-14704,-3.67238,2
201,clueweb12-1804wb-68-31616,-3.68052,1
201,clueweb12-1806wb-07-14286,-3.68271,1
201,clueweb12-1613wb-41-04806,-3.68448,2
201,clueweb12-1006wb-76-06368,-3.69495,1
201,clueweb12-1804wb-83-26991,-3.7004,1
201,clueweb12-1700tw-04-02422,-3.70228,1
201,clueweb12-1805wb-88-10173,-3.70235,1
201,clueweb12-1806wb-14-01950,-3.70318,1
201,clueweb12-1806wb-14-01953,-3.70346,1
201,clueweb12-1806wb-07-14285,-3.70373,1
201,clueweb12-1805wb-97-00510,-3.70373,1
201,clueweb12-1806wb-14-01952,-3.70401,1
201,clueweb12-1806wb-14-01951,-3.70401,1
201,clueweb12-1804wb-91-02269,-3.7065,1
201,clueweb12-1700tw-12-03430,-3.71141,0
201,clueweb12-1700tw-04-02424,-3.71204,1
201,clueweb12-0909wb-96-26247,-3.7126,0
201,clueweb12-1700tw-04-02423,-3.71268,0
201,clueweb12-1700tw-04-02426,-3.7131,0
201,clueweb12-1700tw-04-02425,-3.71394,0
201,clueweb12-0700tw-06-03345,-3.72608,0
201,clueweb12-1805wb-04-09143,-3.72609,1
201,clueweb12-1805wb-04-09141,-3.72609,0
201,clueweb12-1500tw-89-06870,-3.72617,0
201,clueweb12-1500tw-89-06869,-3.72617,0
201,clueweb12-1804wb-91-02272,-3.72711,0
201,clueweb12-1805wb-42-21505,-3.72878,1
201,clueweb12-1003wb-22-01697,-3.73519,1
201,clueweb12-1500tw-87-05762,-3.7438,0
201,clueweb12-0600tw-15-11839,-3.74826,0
201,clueweb12-1700tw-09-06795,-3.75652,0
201,clueweb12-1700tw-09-06796,-3.75773,0
201,clueweb12-0500tw-09-01438,-3.759,0
201,clueweb12-1806wb-17-27435,-3.76341,0
201,clueweb12-0700tw-36-05471,-3.77593,0
201,clueweb12-1700tw-19-01998,-3.77763,1
201,clueweb12-0700tw-74-19724,-3.77801,1
201,clueweb12-0600tw-21-12056,-3.78072,0
201,clueweb12-0900tw-94-08781,-3.78153,0
201,clueweb12-0916wb-37-04526,-3.7848,1
201,clueweb12-1804wb-47-11411,-3.7931,0
201,clueweb12-1805wb-71-08872,-3.79384,0
201,clueweb12-1806wb-14-01948,-3.79409,0
201,clueweb12-1806wb-17-27436,-3.79433,0
201,clueweb12-1806wb-14-01947,-3.79433,0
201,clueweb12-0700tw-62-02100,-3.79754,0
201,clueweb12-0903wb-83-14272,-3.80103,0
201,clueweb12-1600tw-43-10277,-3.8013,1
201,clueweb12-1004wb-86-06246,-3.80564,0
201,clueweb12-0900wb-61-27591,-3.80647,0
201,clueweb12-1700tw-26-08380,-3.81263,0
201,clueweb12-0700tw-72-10766,-3.81964,1
201,clueweb12-0700tw-69-23823,-3.82055,0
201,clueweb12-0900tw-34-09743,-3.83578,1
201,clueweb12-0700tw-43-07348,-3.83624,1
201,clueweb12-1305wb-52-24223,-3.85552,1
201,clueweb12-1200tw-97-03041,-3.85648,0
201,clueweb12-1800wb-33-07099,-3.86202,0
201,clueweb12-1108wb-74-23894,-3.86538,1
201,clueweb12-1614wb-06-31862,-3.86971,1
201,clueweb12-1400tw-43-02425,-3.87589,0
201,clueweb12-1002wb-72-01553,-3.88384,0
201,clueweb12-1003wb-73-00199,-3.88509,1
201,clueweb12-0712wb-13-29041,-3.89274,1
201,clueweb12-1003wb-81-21033,-3.89926,0
201,clueweb12-1110wb-50-22106,-3.89926,0
201,clueweb12-1700tw-18-11287,-3.89991,1
201,clueweb12-1613wb-37-28549,-3.9014,1
201,clueweb12-0917wb-95-01701,-3.90159,0
201,clueweb12-0401tw-11-14737,-3.91512,0
201,clueweb12-0500tw-12-01032,-3.9192,1
201,clueweb12-0500tw-12-01033,-3.9192,1
201,clueweb12-0500tw-09-16892,-3.92424,1
201,clueweb12-0500tw-09-16891,-3.9248,1
201,clueweb12-1006wb-62-00002,-3.92874,0
201,clueweb12-1712wb-91-26912,-3.93161,1
201,clueweb12-0300tw-57-15513,-3.932,1
201,clueweb12-1900tw-10-08470,-3.9324,0
201,clueweb12-0700tw-32-01813,-3.93755,0
201,clueweb12-1101tw-01-19930,-3.93944,0
201,clueweb12-0900tw-97-01725,-3.94406,1
201,clueweb12-0506wb-90-23810,-3.94757,1
201,clueweb12-0915wb-93-18992,-3.94899,0
201,clueweb12-0915wb-93-18993,-3.94899,0
201,clueweb12-0904wb-71-24472,-3.95493,1
201,clueweb12-0904wb-71-24465,-3.95556,1
201,clueweb12-1613wb-51-20021,-3.96899,0
201,clueweb12-1700tw-61-18730,-3.96904,0
201,clueweb12-0700tw-34-04868,-3.97158,0
201,clueweb12-1004wb-86-06245,-3.97732,0
201,clueweb12-1700tw-10-11258,-3.97961,0
201,clueweb12-1700tw-10-11259,-3.97999,0
201,clueweb12-0400tw-95-07994,-3.98254,0
201,clueweb12-0904wb-85-19637,-3.98601,1
201,clueweb12-0916wb-64-06413,-3.99344,0
201,clueweb12-1310wb-69-24280,-3.99641,0
201,clueweb12-1102wb-91-12621,-3.99782,1
201,clueweb12-1314wb-64-13207,-4.00672,0
201,clueweb12-0401tw-13-12471,-4.00792,0
201,clueweb12-0400tw-94-01823,-4.01181,0
201,clueweb12-1705wb-23-29899,-4.01365,0
201,clueweb12-1602wb-55-25975,-4.02837,1
201,clueweb12-1804wb-55-03024,-4.03347,0
201,clueweb12-1804wb-47-11412,-4.03347,1
201,clueweb12-0800tw-03-03327,-4.03416,0
201,clueweb12-0400tw-94-16895,-4.03709,0
201,clueweb12-0400tw-96-16373,-4.03915,0
201,clueweb12-0400tw-94-16896,-4.03938,0
201,clueweb12-0401tw-04-20151,-4.04006,0
201,clueweb12-0400tw-96-16371,-4.04075,0
201,clueweb12-0400tw-98-16383,-4.04143,0
201,clueweb12-0400tw-96-16372,-4.04325,0
201,clueweb12-0401tw-16-02546,-4.04532,1
201,clueweb12-0401tw-16-02548,-4.04699,1
201,clueweb12-0401tw-16-02547,-4.04975,1
201,clueweb12-1600tw-46-21860,-4.05003,0
201,clueweb12-0401tw-17-04167,-4.05031,1
201,clueweb12-1000wb-47-19725,-4.05395,0
201,clueweb12-1309wb-69-26514,-4.05409,0
201,clueweb12-0600tw-09-03553,-4.05718,0
201,clueweb12-1315wb-02-05673,-4.0572,0
201,clueweb12-0603wb-59-05160,-4.0572,1
201,clueweb12-0604wb-15-07995,-4.0572,0
201,clueweb12-1101tw-12-13837,-4.0573,0
201,clueweb12-0800tw-89-00824,-4.05735,0
201,clueweb12-0401tw-14-19276,-4.05909,0
201,clueweb12-0401tw-14-19277,-4.05909,0
201,clueweb12-0401tw-14-19279,-4.06099,0
201,clueweb12-0401tw-14-19278,-4.06099,0
201,clueweb12-1003wb-81-25713,-4.07045,0
201,clueweb12-1100tw-21-09541,-4.07296,0
201,clueweb12-1006wb-61-32731,-4.07596,0
201,clueweb12-1007wb-48-27054,-4.07596,0
201,clueweb12-1705wb-52-15495,-4.07633,0
201,clueweb12-0909wb-00-00636,-4.07661,0
201,clueweb12-1001wb-00-09025,-4.07924,0
201,clueweb12-1000wb-47-19727,-4.07924,0
201,clueweb12-0919wb-65-14062,-4.07924,0
201,clueweb12-0917wb-62-26457,-4.07924,0
201,clueweb12-0918wb-28-12620,-4.07924,0
201,clueweb12-0915wb-93-18991,-4.08459,0
201,clueweb12-1500tw-27-08186,-4.08498,0
201,clueweb12-1700tw-68-07859,-4.08554,1
201,clueweb12-1108wb-64-22701,-4.08793,0
201,clueweb12-1800wb-22-24229,-4.09327,0
201,clueweb12-1800wb-58-17904,-4.10051,0
201,clueweb12-0900tw-32-16590,-4.10124,0
201,clueweb12-0800tw-89-00823,-4.10127,0
201,clueweb12-1800wb-26-00411,-4.10138,0
201,clueweb12-0916wb-36-10656,-4.10306,0
201,clueweb12-1505wb-10-16652,-4.10758,0
201,clueweb12-0907wb-95-27054,-4.1091,1
201,clueweb12-1003wb-43-21106,-4.1139,0
201,clueweb12-1003wb-43-21105,-4.1139,0
201,clueweb12-1003wb-94-01406,-4.11447,0
201,clueweb12-1900wb-48-21594,-4.11981,0
201,clueweb12-1900tw-36-02558,-4.11995,0
201,clueweb12-0400tw-96-10306,-4.12074,0
201,clueweb12-1200tw-71-02411,-4.12228,0
