topic,doc,score,rel
201,clueweb12-1700tw-22-12689,-3.65119,0
201,clueweb12-0900tw-63-01604,-4.14757,1
201,clueweb12-0500tw-14-16637,-4.31575,1
201,clueweb12-0500tw-11-17774,-4.31628,1
201,clueweb12-0810wb-78-21417,-4.34094,2
201,clueweb12-0401tw-00-05277,-4.487,1
201,clueweb12-0500tw-25-15526,-4.49937,1
201,clueweb12-1600tw-25-03206,-4.50332,0
201,clueweb12-1700tw-11-11014,-4.50461,0
201,clueweb12-1900tw-35-06166,-4.50747,0
201,clueweb12-1614wb-06-31862,-4.5697,1
201,clueweb12-1804wb-83-27006,-4.58847,1
201,clueweb12-1804wb-61-18411,-4.58941,1
201,clueweb12-0800tw-13-20648,-4.63589,1
201,clueweb12-1805wb-00-30333,-4.65341,1
201,clueweb12-1804wb-47-11414,-4.65341,1
201,clueweb12-1700tw-01-10630,-4.6761,1
201,clueweb12-1700tw-12-12180,-4.70258,1
201,clueweb12-1805wb-10-00159,-4.71237,1
201,clueweb12-1700tw-24-18392,-4.71884,0
201,clueweb12-1700tw-24-18393,-4.71884,0
201,clueweb12-1700tw-60-14505,-4.71932,0
201,clueweb12-1805wb-10-00164,-4.74453,1
201,clueweb12-1500tw-89-06869,-4.74706,0
201,clueweb12-1500tw-89-06870,-4.74706,0
201,clueweb12-1500tw-87-05762,-4.76024,0
201,clueweb12-1805wb-88-10172,-4.77487,1
201,clueweb12-1806wb-14-01949,-4.77838,1
201,clueweb12-0916wb-56-28701,-4.78201,2
201,clueweb12-1100tw-40-07793,-4.78245,0
201,clueweb12-0915wb-93-12188,-4.78324,2
201,clueweb12-0917wb-42-14097,-4.78324,2
201,clueweb12-1613wb-41-04806,-4.79869,2
201,clueweb12-0700tw-61-14704,-4.79909,2
201,clueweb12-1700tw-04-02423,-4.80028,0
201,clueweb12-1700tw-04-02426,-4.8007,0
201,clueweb12-1700tw-04-02424,-4.80212,1
201,clueweb12-1700tw-04-02425,-4.80403,0
201,clueweb12-1804wb-68-31616,-4.80946,1
201,clueweb12-1806wb-07-14286,-4.81164,1
201,clueweb12-1700tw-04-02422,-4.81223,1
201,clueweb12-1700tw-12-03430,-4.81395,0
201,clueweb12-1804wb-83-26991,-4.82305,1
201,clueweb12-1805wb-88-10173,-4.82498,1
201,clueweb12-1806wb-14-01950,-4.82581,1
201,clueweb12-1806wb-14-01953,-4.82608,1
201,clueweb12-1805wb-97-00510,-4.82636,1
201,clueweb12-1806wb-07-14285,-4.82636,1
201,clueweb12-1806wb-14-01951,-4.82663,1
201,clueweb12-1806wb-14-01952,-4.82663,1
201,clueweb12-1200tw-10-09979,-4.82803,1
201,clueweb12-1200tw-08-14978,-4.82878,0
201,clueweb12-1804wb-91-02269,-4.8291,1
201,clueweb12-1911wb-40-08473,-4.83695,0
201,clueweb12-1805wb-04-09141,-4.84198,0
201,clueweb12-0909wb-96-26247,-4.84414,0
201,clueweb12-1300tw-81-10983,-4.8454,0
201,clueweb12-1804wb-91-02272,-4.85684,0
201,clueweb12-1700tw-19-01998,-4.85775,1
201,clueweb12-1006wb-76-06368,-4.86134,1
201,clueweb12-1805wb-04-09143,-4.8664,1
201,clueweb12-1800wb-33-07099,-4.86943,0
201,clueweb12-0600tw-15-11839,-4.88078,0
201,clueweb12-1700tw-09-06796,-4.88718,0
201,clueweb12-1806wb-17-27435,-4.88724,0
201,clueweb12-0916wb-37-04526,-4.8903,1
201,clueweb12-1700tw-09-06795,-4.89159,0
201,clueweb12-1700tw-26-08380,-4.8953,0
201,clueweb12-0700tw-06-03345,-4.89663,0
201,clueweb12-0900tw-94-08781,-4.89682,0
201,clueweb12-1600tw-43-10277,-4.89759,1
201,clueweb12-0700tw-72-10766,-4.89832,1
201,clueweb12-0700tw-69-23823,-4.89925,0
201,clueweb12-0700tw-62-02100,-4.90132,0
201,clueweb12-0903wb-83-14272,-4.9014,0
201,clueweb12-1805wb-71-08872,-4.90552,0
201,clueweb12-1804wb-47-11411,-4.90733,0
201,clueweb12-1806wb-14-01948,-4.90833,0
201,clueweb12-0500tw-12-01032,-4.90875,1
201,clueweb12-0500tw-12-01033,-4.90875,1
201,clueweb12-1806wb-17-27436,-4.91146,0
201,clueweb12-1806wb-14-01947,-4.91146,0
201,clueweb12-0500tw-09-16892,-4.91985,1
201,clueweb12-0500tw-09-16891,-4.92041,1
201,clueweb12-0700tw-74-19724,-4.9217,1
201,clueweb12-1805wb-42-21505,-4.92497,1
201,clueweb12-0500tw-09-01438,-4.92717,0
201,clueweb12-1110wb-50-22106,-4.9276,0
201,clueweb12-1700tw-18-11287,-4.93025,1
201,clueweb12-0300tw-57-15513,-4.94062,1
201,clueweb12-0600tw-21-12056,-4.94277,0
201,clueweb12-1712wb-91-26912,-4.9463,1
201,clueweb12-1305wb-52-24223,-4.95665,1
201,clueweb12-0900tw-34-09743,-4.95716,1
201,clueweb12-1400tw-43-02425,-4.95905,0
201,clueweb12-0700tw-43-07348,-4.96363,1
201,clueweb12-1900tw-10-08470,-4.96431,0
201,clueweb12-1003wb-22-01697,-4.97118,1
201,clueweb12-1700tw-10-11259,-4.97651,0
201,clueweb12-1101tw-01-19930,-4.97795,0
201,clueweb12-1700tw-10-11258,-4.98177,0
201,clueweb12-1004wb-86-06246,-4.99457,0
201,clueweb12-0712wb-13-29041,-5.0046,1
201,clueweb12-1700tw-61-18730,-5.0079,0
201,clueweb12-1108wb-74-23894,-5.00862,1
201,clueweb12-0401tw-11-14737,-5.01928,0
201,clueweb12-0917wb-95-01701,-5.02345,0
201,clueweb12-1613wb-37-28549,-5.02393,1
201,clueweb12-1200tw-97-03041,-5.03641,0
201,clueweb12-0400tw-95-07994,-5.04339,0
201,clueweb12-0900wb-61-27591,-5.0477,0
201,clueweb12-0400tw-94-01823,-5.04893,0
201,clueweb12-1314wb-64-13207,-5.05302,0
201,clueweb12-1002wb-72-01553,-5.05689,0
201,clueweb12-1003wb-73-00199,-5.05813,1
201,clueweb12-0800tw-89-00824,-5.05919,0
201,clueweb12-0400tw-96-16373,-5.05954,0
201,clueweb12-0400tw-94-16896,-5.05977,0
