topic,doc,score,rel
201,clueweb12-0401tw-00-05277,-4.52759,1
201,clueweb12-0810wb-78-21417,-4.71041,2
201,clueweb12-0900tw-63-01604,-4.8124,1
201,clueweb12-0916wb-56-28701,-4.89969,2
201,clueweb12-0917wb-42-14097,-4.90067,2
201,clueweb12-0915wb-93-12188,-4.90067,2
201,clueweb12-0500tw-14-16637,-4.99141,1
201,clueweb12-0500tw-11-17774,-4.9919,1
201,clueweb12-1613wb-41-04806,-5.00679,2
201,clueweb12-1700tw-11-11014,-5.04071,0
201,clueweb12-1700tw-01-10630,-5.04829,1
201,clueweb12-1804wb-83-27006,-5.08831,1
201,clueweb12-1804wb-61-18411,-5.08919,1
201,clueweb12-1006wb-76-06368,-5.09653,1
201,clueweb12-0500tw-25-15526,-5.09692,1
201,clueweb12-1700tw-12-12180,-5.09855,1
201,clueweb12-0700tw-61-14704,-5.10689,2
201,clueweb12-0400tw-95-07994,-5.12828,0
201,clueweb12-1805wb-00-30333,-5.13667,1
201,clueweb12-1804wb-47-11414,-5.13667,1
201,clueweb12-0700tw-72-10766,-5.13988,1
201,clueweb12-0700tw-69-23823,-5.14075,0
201,clueweb12-0700tw-74-19724,-5.147,1
201,clueweb12-1700tw-22-12689,-5.14775,0
201,clueweb12-0916wb-37-04526,-5.15136,1
201,clueweb12-1805wb-10-00164,-5.15709,1
201,clueweb12-0909wb-96-26247,-5.1624,0
201,clueweb12-1805wb-10-00159,-5.16484,1
201,clueweb12-0700tw-62-02100,-5.17557,0
201,clueweb12-1110wb-50-22106,-5.1828,0
201,clueweb12-0800tw-13-20648,-5.18643,1
201,clueweb12-0700tw-36-05471,-5.21505,0
201,clueweb12-0300tw-57-15513,-5.21833,1
201,clueweb12-1805wb-04-09141,-5.22108,0
201,clueweb12-1700tw-24-18392,-5.22416,0
201,clueweb12-1700tw-24-18393,-5.22416,0
201,clueweb12-0917wb-95-01701,-5.22475,0
201,clueweb12-1700tw-60-14505,-5.22605,0
201,clueweb12-1613wb-37-28549,-5.22776,1
201,clueweb12-0712wb-13-29041,-5.22919,1
201,clueweb12-1600tw-25-03206,-5.22982,0
201,clueweb12-0903wb-83-14272,-5.22984,0
201,clueweb12-1900tw-35-06166,-5.23571,0
201,clueweb12-1800wb-33-07099,-5.23692,0
201,clueweb12-1800wb-26-00411,-5.23799,0
201,clueweb12-1314wb-64-13207,-5.23865,0
201,clueweb12-1108wb-74-23894,-5.23955,1
201,clueweb12-1805wb-88-10172,-5.24041,1
201,clueweb12-1806wb-14-01949,-5.24372,1
201,clueweb12-1804wb-91-02272,-5.25765,0
201,clueweb12-1700tw-26-08380,-5.25821,0
201,clueweb12-1700tw-19-01998,-5.25906,1
201,clueweb12-1700tw-09-06795,-5.26209,0
201,clueweb12-1700tw-09-06796,-5.26324,0
201,clueweb12-1804wb-68-31616,-5.26672,1
201,clueweb12-1806wb-07-14286,-5.26874,1
201,clueweb12-0604wb-15-07995,-5.27142,0
201,clueweb12-1315wb-02-05673,-5.27142,0
201,clueweb12-0603wb-59-05160,-5.27142,1
201,clueweb12-0800tw-20-08085,-5.27238,1
201,clueweb12-0401tw-14-19276,-5.27316,0
201,clueweb12-1804wb-83-26991,-5.27477,1
201,clueweb12-0800tw-17-25760,-5.2749,1
201,clueweb12-0800tw-20-08086,-5.2749,1
201,clueweb12-0800tw-17-25759,-5.27519,1
201,clueweb12-1805wb-88-10173,-5.27655,1
201,clueweb12-0401tw-14-19277,-5.2766,0
201,clueweb12-0800tw-17-25761,-5.27715,1
201,clueweb12-1806wb-14-01950,-5.27732,1
201,clueweb12-1806wb-14-01953,-5.27758,1
201,clueweb12-1806wb-07-14285,-5.27783,1
201,clueweb12-1805wb-97-00510,-5.27783,1
201,clueweb12-1806wb-14-01951,-5.27809,1
201,clueweb12-1806wb-14-01952,-5.27809,1
201,clueweb12-0401tw-14-19278,-5.27834,0
201,clueweb12-0401tw-14-19279,-5.27834,0
201,clueweb12-1804wb-91-02269,-5.28038,1
201,clueweb12-1305wb-52-24223,-5.28215,1
201,clueweb12-1805wb-04-09143,-5.28355,1
201,clueweb12-1800wb-58-17904,-5.2912,0
201,clueweb12-0401tw-11-14737,-5.2989,0
201,clueweb12-1700tw-04-02422,-5.30157,1
201,clueweb12-1700tw-04-02424,-5.30382,1
201,clueweb12-1700tw-04-02423,-5.30442,0
201,clueweb12-1700tw-04-02426,-5.30482,0
201,clueweb12-1700tw-04-02425,-5.30562,0
201,clueweb12-0900tw-34-09743,-5.30601,1
201,clueweb12-0401tw-16-02546,-5.30974,1
201,clueweb12-1300tw-81-10983,-5.30982,0
201,clueweb12-1700tw-12-03430,-5.3102,0
201,clueweb12-0900wb-61-27591,-5.31072,0
201,clueweb12-0401tw-16-02548,-5.31128,1
201,clueweb12-0700tw-43-07348,-5.31251,1
201,clueweb12-0401tw-16-02547,-5.31383,1
201,clueweb12-0401tw-17-04167,-5.31434,1
201,clueweb12-1108wb-64-22701,-5.31829,0
201,clueweb12-0700tw-06-03345,-5.32067,0
201,clueweb12-0900tw-94-08781,-5.32247,0
201,clueweb12-0400tw-94-16895,-5.32465,0
201,clueweb12-0400tw-96-16373,-5.32659,0
201,clueweb12-0400tw-94-16896,-5.32681,0
201,clueweb12-0400tw-96-16371,-5.3281,0
201,clueweb12-0400tw-98-16383,-5.32874,0
201,clueweb12-0400tw-96-16372,-5.33046,0
201,clueweb12-1101tw-01-19930,-5.33329,0
201,clueweb12-0401tw-08-01300,-5.33439,0
201,clueweb12-1908wb-49-12468,-5.33707,0
201,clueweb12-0401tw-04-20151,-5.34097,0
201,clueweb12-1805wb-42-21505,-5.34111,1
201,clueweb12-0600tw-15-11839,-5.34837,0
201,clueweb12-1500tw-89-06869,-5.35809,0
201,clueweb12-1500tw-89-06870,-5.35809,0
201,clueweb12-0800tw-30-19306,-5.35838,0
201,clueweb12-1310wb-69-24280,-5.3604,0
201,clueweb12-0609wb-04-23719,-5.3632,0
201,clueweb12-0800tw-03-03327,-5.36414,0
201,clueweb12-0600tw-21-12056,-5.36472,0
201,clueweb12-1712wb-91-26912,-5.36699,1
201,clueweb12-1500tw-87-05762,-5.36712,0
201,clueweb12-0800wb-04-25565,-5.37091,0
201,clueweb12-0500tw-09-01438,-5.37639,0
201,clueweb12-1700tw-18-11287,-5.38028,1
201,clueweb12-0800tw-20-11696,-5.38065,1
201,clueweb12-0908wb-85-13753,-5.38176,0
