topic,doc,score,rel
201,clueweb12-0905wb-50-14578,10000.0,0
201,clueweb12-1804wb-83-27006,9999.0,1
201,clueweb12-0810wb-78-21417,9998.0,2
201,clueweb12-1604wb-20-11054,9997.0,0
201,clueweb12-0712wb-66-26107,9996.0,1
201,clueweb12-1700tw-11-11014,9995.0,0
201,clueweb12-0809wb-23-05798,9994.0,0
201,clueweb12-0209wb-62-29857,9993.0,1
201,clueweb12-0608wb-54-01093,9992.0,0
201,clueweb12-1804wb-61-18411,9991.0,1
201,clueweb12-1700tw-22-12689,9990.0,0
201,clueweb12-1812wb-65-24519,9989.0,1
201,clueweb12-1108wb-74-23894,9988.0,1
201,clueweb12-1020wb-30-13014,9987.0,1
201,clueweb12-0608wb-67-09174,9986.0,0
201,clueweb12-0700tw-38-05298,9985.0,1
201,clueweb12-1110wb-45-29731,9984.0,1
201,clueweb12-1511wb-23-03949,9983.0,1
201,clueweb12-1007wb-48-27054,9982.0,0
201,clueweb12-1804wb-83-26991,9981.0,1
201,clueweb12-0810wb-76-05764,9980.0,0
201,clueweb12-1100tw-72-06488,9979.0,1
201,clueweb12-1801wb-97-09765,9978.0,0
201,clueweb12-0608wb-54-01090,9977.0,0
201,clueweb12-1004wb-00-27297,9976.0,0
201,clueweb12-1410wb-28-00881,9975.0,0
201,clueweb12-0301tw-15-04020,9974.0,1
201,clueweb12-0603wb-59-05160,9973.0,1
201,clueweb12-0809wb-37-01955,9972.0,0
201,clueweb12-1213wb-24-15439,9971.0,1
201,clueweb12-0500tw-25-18632,9970.0,1
201,clueweb12-1700tw-29-12139,9969.0,0
201,clueweb12-0800wb-04-25565,9968.0,0
201,clueweb12-0915wb-93-18991,9967.0,0
201,clueweb12-1600tw-03-06554,9966.0,0
201,clueweb12-1700tw-01-10630,9965.0,1
201,clueweb12-0400tw-99-10402,9964.0,0
201,clueweb12-0915wb-93-12188,9963.0,2
201,clueweb12-0711wb-62-24988,9962.0,0
201,clueweb12-0400tw-95-01236,9961.0,0
201,clueweb12-1002wb-72-01552,9960.0,0
201,clueweb12-1100tw-40-07793,9959.0,0
201,clueweb12-1501tw-06-05942,9958.0,1
201,clueweb12-0300tw-87-21679,9957.0,0
201,clueweb12-0209wb-62-29858,9956.0,0
201,clueweb12-0400tw-95-01237,9955.0,0
201,clueweb12-1110wb-89-14772,9954.0,0
201,clueweb12-0401tw-05-03556,9953.0,0
201,clueweb12-0005wb-86-10798,9952.0,1
