topic,doc,score,rel
201,clueweb12-0000wb-60-01497,10000.0,1
201,clueweb12-1700tw-22-12689,9999.0,0
201,clueweb12-1310wb-04-16486,9998.0,1
201,clueweb12-1111wb-41-15778,9997.0,1
201,clueweb12-1102wb-91-12621,9996.0,1
201,clueweb12-1612wb-58-03749,9995.0,1
201,clueweb12-0401tw-00-11091,9994.0,1
201,clueweb12-1604wb-20-11054,9993.0,0
201,clueweb12-1007wb-48-27054,9992.0,0
201,clueweb12-0401tw-01-03242,9991.0,1
201,clueweb12-0400tw-34-18992,9990.0,0
201,clueweb12-1700tw-03-09403,9989.0,1
201,clueweb12-0904wb-71-24469,9988.0,1
201,clueweb12-0800tw-37-07485,9987.0,1
201,clueweb12-1205wb-61-24105,9986.0,1
201,clueweb12-0909wb-35-26187,9985.0,0
201,clueweb12-0800tw-05-18710,9984.0,1
201,clueweb12-1700tw-18-11460,9983.0,1
201,clueweb12-0301tw-21-03835,9982.0,1
201,clueweb12-1801wb-38-26067,9981.0,1
201,clueweb12-0900wb-35-34759,9980.0,1
201,clueweb12-0500tw-17-18276,9979.0,1
201,clueweb12-0915wb-34-01721,9978.0,0
201,clueweb12-0909wb-96-26247,9977.0,0
201,clueweb12-0100tw-52-01034,9976.0,0
201,clueweb12-1205wb-78-13462,9975.0,0
201,clueweb12-1200tw-80-10421,9974.0,1
201,clueweb12-0810wb-71-07709,9973.0,0
201,clueweb12-0901tw-08-02360,9972.0,0
201,clueweb12-1200tw-74-09560,9971.0,1
201,clueweb12-0700tw-16-15536,9970.0,1
201,clueweb12-0401tw-03-21671,9969.0,0
201,clueweb12-0307wb-47-02869,9968.0,0
201,clueweb12-0301tw-34-08947,9967.0,0
201,clueweb12-0906wb-96-33932,9966.0,1
201,clueweb12-1200tw-71-00213,9965.0,0
201,clueweb12-0401tw-04-20151,9964.0,0
201,clueweb12-1211wb-15-11029,9963.0,0
201,clueweb12-1205wb-35-08540,9962.0,1
201,clueweb12-1313wb-16-00839,9961.0,0
201,clueweb12-0902wb-72-11855,9960.0,0
201,clueweb12-0900wb-98-24673,9959.0,0
201,clueweb12-1100tw-92-19247,9958.0,0
201,clueweb12-0400tw-98-19394,9957.0,1
201,clueweb12-1804wb-47-11412,9956.0,1
201,clueweb12-1811wb-56-16219,9955.0,1
201,clueweb12-1100tw-55-13200,9954.0,0
201,clueweb12-0508wb-36-14116,9953.0,0
201,clueweb12-1200tw-27-17833,9952.0,0
201,clueweb12-0906wb-09-33744,9951.0,0
201,clueweb12-1500tw-89-03150,9950.0,1
201,clueweb12-1806wb-39-29403,9949.0,1
201,clueweb12-0401tw-11-13679,9948.0,1
201,clueweb12-0713wb-35-13648,9947.0,1
201,clueweb12-0400tw-99-20419,9946.0,0
201,clueweb12-0900tw-69-06553,9945.0,0
201,clueweb12-0400tw-98-02684,9944.0,0
201,clueweb12-0713wb-62-15328,9943.0,0
201,clueweb12-0713wb-53-13641,9942.0,0
201,clueweb12-1600tw-02-18513,9941.0,0
201,clueweb12-1306wb-97-29139,9940.0,0
201,clueweb12-0700tw-54-14874,9939.0,1
201,clueweb12-1201tw-00-01712,9938.0,0
201,clueweb12-1110wb-37-14389,9937.0,0
201,clueweb12-0906wb-67-25261,9936.0,0
201,clueweb12-1800tw-16-09773,9935.0,0
201,clueweb12-1500tw-29-15704,9934.0,0
201,clueweb12-0916wb-00-04079,9933.0,0
201,clueweb12-0917wb-66-01171,9932.0,0
201,clueweb12-0400tw-96-22358,9931.0,1
201,clueweb12-0700tw-84-06248,9930.0,0
201,clueweb12-1700tw-08-03410,9929.0,0
201,clueweb12-1804wb-89-01221,9928.0,0
201,clueweb12-1305wb-59-01481,9927.0,0
201,clueweb12-1602wb-44-05440,9926.0,1
201,clueweb12-0400tw-56-21572,9925.0,0
201,clueweb12-1200tw-71-06228,9924.0,0
201,clueweb12-1812wb-36-11474,9923.0,0
201,clueweb12-1500tw-47-10531,9922.0,0
201,clueweb12-0600tw-27-03059,9921.0,1
201,clueweb12-1600tw-40-06466,9920.0,1
201,clueweb12-1910wb-21-08910,9919.0,0
201,clueweb12-1008wb-06-05554,9918.0,0
201,clueweb12-0401tw-16-02547,9917.0,1
201,clueweb12-1100tw-71-09590,9916.0,0
201,clueweb12-0816wb-83-13972,9915.0,1
201,clueweb12-0800tw-17-25760,9914.0,1
201,clueweb12-0600tw-42-14363,9913.0,0
201,clueweb12-1500tw-98-04929,9912.0,1
201,clueweb12-0717wb-19-00907,9911.0,0
201,clueweb12-1200tw-74-13246,9910.0,0
201,clueweb12-1910wb-18-18372,9909.0,0
201,clueweb12-1000tw-25-02692,9908.0,0
201,clueweb12-1716wb-66-00027,9907.0,0
201,clueweb12-1009wb-06-16954,9906.0,0
201,clueweb12-0910wb-65-12168,9905.0,0
201,clueweb12-0812wb-17-03044,9904.0,0
201,clueweb12-0500tw-11-00340,9903.0,0
201,clueweb12-1201tw-27-11023,9902.0,0
201,clueweb12-0300tw-70-18804,9901.0,0
201,clueweb12-0810wb-64-06846,9900.0,1
201,clueweb12-0400tw-61-14042,9899.0,0
201,clueweb12-0800tw-24-12533,9898.0,1
201,clueweb12-0401tw-07-01683,9897.0,0
201,clueweb12-0915wb-07-09887,9896.0,1
201,clueweb12-1700wb-97-03464,9895.0,0
201,clueweb12-0807wb-93-08686,9894.0,0
201,clueweb12-0700tw-24-01437,9893.0,0
201,clueweb12-0500tw-22-06416,9892.0,0
201,clueweb12-1500tw-87-15657,9891.0,0
201,clueweb12-1200tw-77-04821,9890.0,0
201,clueweb12-0917wb-70-07272,9889.0,1
