topic,doc,score,rel
201,clueweb12-0000tw-05-12114,34.2689,1
201,clueweb12-0713wb-38-03414,33.6427,1
201,clueweb12-0005wb-86-10798,33.5691,1
201,clueweb12-1811wb-20-21538,33.5344,1
201,clueweb12-1205wb-71-01017,33.5285,1
201,clueweb12-1111wb-41-15778,33.2457,1
201,clueweb12-1213wb-24-15439,33.012,1
201,clueweb12-1804wb-61-18411,32.9226,1
201,clueweb12-0301tw-15-04020,32.9085,1
201,clueweb12-1804wb-83-27006,32.8523,1
201,clueweb12-0700tw-74-19724,32.7859,1
201,clueweb12-1812wb-65-24519,32.6506,1
201,clueweb12-1011wb-98-09124,32.6159,0
201,clueweb12-1604wb-20-11054,32.3771,0
201,clueweb12-0807wb-51-08148,32.1273,0
201,clueweb12-0902wb-72-11853,32.103,1
201,clueweb12-0500tw-40-09126,32.0316,1
201,clueweb12-1110wb-45-29731,31.966,1
201,clueweb12-0500tw-12-09607,31.8455,1
201,clueweb12-0000wb-30-01951,31.8371,0
201,clueweb12-1611wb-99-03925,31.8203,1
201,clueweb12-0401tw-05-03556,31.7932,0
201,clueweb12-0915wb-93-12188,31.7825,2
201,clueweb12-0401tw-08-02152,31.7825,1
201,clueweb12-1501tw-06-05942,31.7763,1
201,clueweb12-1002wb-72-01552,31.6684,0
201,clueweb12-0818wb-58-25447,31.6508,0
201,clueweb12-0300tw-67-08150,31.6233,0
201,clueweb12-0400tw-90-10612,31.6102,1
201,clueweb12-1009wb-84-04934,31.603,0
201,clueweb12-0714wb-00-13547,31.5782,1
201,clueweb12-1315wb-06-03438,31.5096,1
201,clueweb12-1800tw-45-19214,31.5059,1
201,clueweb12-1612wb-58-03749,31.4928,1
201,clueweb12-0401tw-00-10574,31.4572,0
201,clueweb12-0100tw-14-21268,31.4065,1
201,clueweb12-1908wb-52-19230,31.3748,0
201,clueweb12-0000wb-60-01497,31.3196,1
201,clueweb12-0810wb-76-05764,31.2466,0
201,clueweb12-1102wb-91-12621,31.2161,1
201,clueweb12-0603wb-59-05160,31.2064,1
201,clueweb12-0700tw-09-04133,31.2064,0
201,clueweb12-1108wb-74-23894,31.1998,1
201,clueweb12-0913wb-13-16190,31.1566,0
201,clueweb12-1814wb-34-00948,31.0026,0
201,clueweb12-1500tw-89-03170,30.9787,0
201,clueweb12-1215wb-70-09346,30.976,0
201,clueweb12-0807wb-91-00497,30.9423,1
201,clueweb12-1803wb-91-15067,30.9253,0
201,clueweb12-0700tw-56-18201,30.8775,0
201,clueweb12-0700tw-38-05298,30.8291,1
201,clueweb12-0608wb-21-05229,30.8163,0
201,clueweb12-0700tw-72-10766,30.8137,1
201,clueweb12-0808wb-98-13485,30.811,1
201,clueweb12-1713wb-04-01266,30.8046,0
