topic,doc,score,rel
201,clueweb12-0000tw-05-12114,5012.3708,1
201,clueweb12-0713wb-38-03414,4419.3457,1
201,clueweb12-0005wb-86-10798,3077.3428,1
201,clueweb12-0807wb-51-08148,1215.2851,0
201,clueweb12-1205wb-71-01017,1206.3411,1
201,clueweb12-0000wb-30-01951,1091.2735,0
201,clueweb12-1811wb-20-21538,996.3414,1
201,clueweb12-0500tw-40-09126,994.2813,1
201,clueweb12-0818wb-58-25447,981.266,0
201,clueweb12-0700tw-74-19724,972.3114,1
201,clueweb12-1213wb-24-15439,886.3205,1
201,clueweb12-0100tw-14-21268,830.2563,1
201,clueweb12-1111wb-41-15778,747.3298,1
201,clueweb12-1315wb-06-03438,722.2604,1
201,clueweb12-0500tw-12-09607,644.2738,1
201,clueweb12-0400tw-90-10612,600.2644,1
201,clueweb12-0301tw-15-04020,559.3163,1
201,clueweb12-1804wb-61-18411,541.3169,1
201,clueweb12-0807wb-91-00497,528.2377,1
201,clueweb12-1800tw-45-19214,523.2602,1
201,clueweb12-0300tw-67-08150,518.2649,0
201,clueweb12-1501tw-06-05942,505.2711,1
201,clueweb12-1804wb-83-27006,504.3141,1
201,clueweb12-0608wb-21-05229,460.2327,0
201,clueweb12-1612wb-58-03749,453.2597,1
201,clueweb12-0401tw-00-10574,446.2583,0
201,clueweb12-0915wb-93-12188,437.2713,2
201,clueweb12-1812wb-65-24519,413.306,1
201,clueweb12-1011wb-98-09124,399.3046,0
201,clueweb12-0000wb-60-01497,389.2528,1
201,clueweb12-1611wb-99-03925,360.2728,1
201,clueweb12-0810wb-76-05764,353.6973,0
201,clueweb12-0401tw-08-02152,347.2713,1
201,clueweb12-1908wb-52-19230,345.255,0
201,clueweb12-1803wb-91-15067,330.237,0
201,clueweb12-0808wb-98-13485,327.2324,1
201,clueweb12-1604wb-20-11054,315.2951,0
201,clueweb12-0700tw-56-18201,315.2351,0
201,clueweb12-1101tw-09-21354,312.2268,0
201,clueweb12-1713wb-04-01266,293.2322,0
201,clueweb12-0700tw-09-04133,292.2483,0
201,clueweb12-0603wb-59-05160,292.2483,1
201,clueweb12-1009wb-84-04934,291.2641,0
201,clueweb12-0714wb-00-13547,283.2631,1
201,clueweb12-1814wb-34-00948,282.2401,0
201,clueweb12-0400tw-94-16895,271.1987,0
201,clueweb12-0401tw-05-03556,270.2717,0
201,clueweb12-1500tw-89-03170,264.2391,0
201,clueweb12-0902wb-72-11853,259.2841,1
201,clueweb12-1000wb-47-19725,238.2286,0
201,clueweb12-0608wb-67-09174,234.215,0
201,clueweb12-1002wb-72-01552,233.2667,0
201,clueweb12-0608wb-54-01090,232.2185,0
201,clueweb12-0608wb-54-01093,230.2271,0
201,clueweb12-0907wb-42-23846,229.2181,0
201,clueweb12-0400tw-94-00077,222.213,0
201,clueweb12-0401tw-05-11685,221.2063,0
201,clueweb12-1208wb-76-11816,220.2208,0
201,clueweb12-0905wb-23-20310,219.2121,0
201,clueweb12-1110wb-45-29731,209.2786,1
201,clueweb12-0700tw-72-10766,208.2325,1
201,clueweb12-1215wb-70-09346,195.239,0
201,clueweb12-1200tw-07-03500,195.2128,0
201,clueweb12-0807wb-15-29527,195.2116,0
201,clueweb12-1909wb-09-11934,193.2317,0
201,clueweb12-1804wb-47-11411,182.1944,0
201,clueweb12-0700tw-38-05298,175.2332,1
201,clueweb12-1613wb-06-27213,171.6958,0
201,clueweb12-0401tw-00-05277,166.2172,1
201,clueweb12-1804wb-83-26991,156.1805,1
201,clueweb12-0913wb-13-16190,155.2463,0
201,clueweb12-0401tw-00-13253,155.2165,0
201,clueweb12-0400tw-95-01237,150.2056,0
201,clueweb12-1804wb-68-31617,146.2203,0
201,clueweb12-1908wb-11-14005,146.1927,0
201,clueweb12-0503wb-89-16854,142.2129,0
201,clueweb12-1305wb-52-05126,132.2161,0
201,clueweb12-1105wb-25-18477,131.1999,0
201,clueweb12-1800wb-33-17028,130.2094,0
201,clueweb12-0900tw-42-09094,128.2083,0
201,clueweb12-0209wb-62-29856,125.1889,0
201,clueweb12-0209wb-62-29857,120.2178,1
201,clueweb12-1500tw-95-11460,119.2119,0
201,clueweb12-0500tw-11-00340,116.1992,0
201,clueweb12-1108wb-74-23894,112.248,1
201,clueweb12-1900wb-22-20932,112.2094,0
201,clueweb12-0209wb-71-04649,112.2079,0
201,clueweb12-0209wb-62-29858,111.2147,0
201,clueweb12-0508wb-86-32606,110.2088,0
201,clueweb12-1900tw-61-06687,109.2232,1
201,clueweb12-1400tw-76-14366,107.1814,0
201,clueweb12-0400tw-95-01236,106.2057,0
201,clueweb12-0600tw-09-03553,104.1941,0
201,clueweb12-1102wb-91-12621,101.2486,1
201,clueweb12-0903wb-20-30375,101.1666,0
201,clueweb12-1200tw-63-09472,97.1849,0
201,clueweb12-0500tw-21-07178,92.1855,0
201,clueweb12-0800tw-25-04114,91.1803,0
201,clueweb12-1103wb-47-05876,90.228,0
201,clueweb12-0401tw-07-04709,90.1483,0
201,clueweb12-1010wb-92-13322,88.1661,0
201,clueweb12-1910wb-83-06586,85.1923,0
201,clueweb12-0600tw-16-08421,80.2227,1
201,clueweb12-0401tw-05-03067,80.1611,0
201,clueweb12-0800tw-50-12287,79.1622,0
201,clueweb12-1107wb-73-02965,77.1828,0
201,clueweb12-0200tw-67-18895,76.1775,0
201,clueweb12-0400tw-96-14401,74.1813,0
201,clueweb12-0401tw-01-08821,74.1762,0
201,clueweb12-0000tw-37-02283,73.1639,0
201,clueweb12-1400tw-14-21089,72.1637,2
201,clueweb12-1100tw-15-00003,66.1652,0
201,clueweb12-0500tw-27-00153,66.1556,0
201,clueweb12-0907wb-37-01888,62.1649,0
201,clueweb12-0500tw-19-02360,62.1555,0
201,clueweb12-0400tw-96-22365,61.1884,0
201,clueweb12-0400tw-97-08655,60.171,0
201,clueweb12-1908wb-15-21871,59.2098,0
201,clueweb12-1200tw-77-04819,59.1892,0
201,clueweb12-0003wb-07-20981,58.2065,0
201,clueweb12-0700tw-20-02205,57.1654,0
201,clueweb12-0908wb-12-14514,56.1803,0
201,clueweb12-1105wb-60-08225,56.1572,0
201,clueweb12-0400tw-98-02684,56.1571,0
201,clueweb12-0400tw-98-06777,56.1565,0
201,clueweb12-1503wb-90-18178,55.1602,0
201,clueweb12-1005wb-50-25719,54.1555,0
201,clueweb12-1700tw-18-11460,53.1727,1
201,clueweb12-1909wb-97-23027,52.1596,0
201,clueweb12-0007wb-74-13370,52.1589,0
201,clueweb12-0400tw-96-10306,52.1359,0
201,clueweb12-0700tw-82-02652,51.1659,0
201,clueweb12-0301tw-43-04543,51.1381,0
201,clueweb12-1909wb-59-08089,49.2182,0
201,clueweb12-0401tw-03-16294,49.1522,0
201,clueweb12-1607wb-85-23004,48.1811,0
201,clueweb12-0800tw-04-02538,48.1656,0
201,clueweb12-1003wb-87-01928,47.1538,0
201,clueweb12-1213wb-06-09690,45.1478,0
201,clueweb12-1600tw-03-06554,44.1778,0
201,clueweb12-1200tw-71-11419,44.1569,0
201,clueweb12-1400tw-76-14365,43.1636,0
201,clueweb12-0700tw-10-07937,42.1366,0
201,clueweb12-0401tw-15-09292,41.1669,0
201,clueweb12-0401tw-04-17497,41.1416,0
201,clueweb12-0401tw-02-15268,40.1593,0
201,clueweb12-0300tw-68-18772,40.1554,0
201,clueweb12-1020wb-30-13014,39.2079,1
201,clueweb12-1004wb-86-06246,38.2078,0
201,clueweb12-1702wb-18-09039,38.2062,0
201,clueweb12-1600tw-38-16052,37.1639,0
201,clueweb12-1900tw-06-00492,37.1625,0
201,clueweb12-0200tw-19-12891,37.1481,0
201,clueweb12-1300tw-38-10794,37.1438,0
201,clueweb12-0600tw-24-05007,36.1343,0
201,clueweb12-0810wb-78-21417,35.2026,2
201,clueweb12-0401tw-06-09218,35.1731,0
201,clueweb12-0807wb-93-08686,35.149,0
201,clueweb12-1501tw-02-16990,35.1379,0
201,clueweb12-1700tw-04-02422,34.1479,1
201,clueweb12-0811wb-52-16975,34.1404,0
201,clueweb12-0705wb-48-27867,33.1739,0
201,clueweb12-1802wb-03-26882,33.1353,0
201,clueweb12-0908wb-21-22923,33.1333,0
201,clueweb12-1310wb-04-16486,32.2003,1
201,clueweb12-0809wb-23-05798,32.1997,0
201,clueweb12-0907wb-75-03584,32.1777,0
201,clueweb12-1301wb-60-22829,32.1617,0
201,clueweb12-0300tw-45-12212,30.1497,0
201,clueweb12-0401tw-02-21958,30.1477,0
201,clueweb12-0000tw-12-04623,30.1436,0
201,clueweb12-1500wb-95-23418,30.1278,0
201,clueweb12-1106wb-60-11079,30.127,0
201,clueweb12-0800tw-65-03972,30.1232,0
201,clueweb12-0401tw-12-03024,29.1359,0
201,clueweb12-0700tw-03-15032,29.1342,0
201,clueweb12-0401tw-09-18136,29.1311,0
201,clueweb12-0708wb-21-10443,28.1543,0
201,clueweb12-1000tw-54-22587,28.1461,0
201,clueweb12-0500tw-25-13406,28.131,0
201,clueweb12-0400tw-90-14130,28.1288,0
201,clueweb12-0800tw-67-10100,28.1212,0
201,clueweb12-0909wb-43-06243,27.1844,0
201,clueweb12-0400tw-96-02395,27.1576,0
201,clueweb12-1600tw-02-18513,27.1496,0
201,clueweb12-0700tw-10-02591,27.1388,0
201,clueweb12-0600tw-19-04837,27.1349,0
201,clueweb12-0800wb-08-03208,27.1347,0
201,clueweb12-0700tw-19-17822,27.1259,0
201,clueweb12-0500tw-19-17388,27.1179,0
201,clueweb12-0304wb-27-16169,26.1425,0
201,clueweb12-0300tw-87-15949,26.133,0
201,clueweb12-0908wb-85-13751,26.1323,0
201,clueweb12-1502wb-04-02300,26.125,0
201,clueweb12-0914wb-08-06167,26.1247,0
201,clueweb12-0900wb-35-34759,26.1201,1
201,clueweb12-1610wb-10-12007,25.1871,0
201,clueweb12-0400tw-94-00938,25.1292,0
201,clueweb12-1504wb-70-20306,25.1229,0
201,clueweb12-0817wb-49-23522,24.1867,0
201,clueweb12-1003wb-22-01697,24.1502,1
201,clueweb12-1613wb-65-13033,24.1415,0
201,clueweb12-1500tw-61-09909,24.1393,0
201,clueweb12-1910wb-75-10483,24.1317,0
201,clueweb12-0401tw-10-03173,24.1238,0
201,clueweb12-0401tw-01-07364,24.118,0
201,clueweb12-1209wb-55-00415,24.1152,0
201,clueweb12-0908wb-98-10600,23.1672,1
201,clueweb12-0903wb-62-32199,23.1377,0
201,clueweb12-1404wb-17-02654,23.1295,0
201,clueweb12-0909wb-61-18809,23.1269,0
201,clueweb12-0110wb-26-06068,23.1155,0
201,clueweb12-0600tw-08-11954,23.1132,0
201,clueweb12-1811wb-44-14435,23.1087,0
201,clueweb12-1107wb-20-09605,22.1827,0
201,clueweb12-0510wb-89-03620,22.1487,0
201,clueweb12-1000wb-34-25565,22.1469,0
201,clueweb12-0703wb-69-25451,22.1358,0
201,clueweb12-0703wb-74-14014,22.1347,0
201,clueweb12-1006wb-61-32742,22.1327,0
201,clueweb12-1309wb-69-26514,22.1172,0
201,clueweb12-1700tw-62-20023,22.0922,0
201,clueweb12-1813wb-59-08589,21.1805,0
201,clueweb12-1808wb-50-27750,21.1805,0
201,clueweb12-0404wb-01-10366,21.1797,0
201,clueweb12-0916wb-56-28701,21.1513,2
201,clueweb12-0401tw-15-03442,21.1306,0
201,clueweb12-0500tw-36-06776,21.1286,0
201,clueweb12-0800wb-08-03225,21.1283,0
201,clueweb12-1200tw-72-16914,21.1276,0
201,clueweb12-1700tw-32-02165,21.1267,0
201,clueweb12-0900tw-36-12867,21.124,0
201,clueweb12-1208wb-75-06666,21.1201,0
201,clueweb12-0700tw-24-01436,21.1115,0
201,clueweb12-0700tw-23-22554,21.1115,0
201,clueweb12-1107wb-26-05490,21.1098,0
201,clueweb12-0400tw-19-20173,21.1096,0
201,clueweb12-0401tw-06-21458,21.1096,0
201,clueweb12-0401tw-01-03242,21.1026,1
201,clueweb12-0400tw-95-09147,21.0966,0
201,clueweb12-0800tw-86-01276,21.0583,0
201,clueweb12-1712wb-56-17035,20.1792,0
201,clueweb12-0811wb-92-06590,20.1735,0
201,clueweb12-0500tw-17-18275,20.156,0
201,clueweb12-0401tw-11-14737,20.1534,0
201,clueweb12-0103wb-53-09908,20.1441,0
201,clueweb12-0710wb-83-00157,20.1334,0
201,clueweb12-1509wb-01-11680,20.1302,0
201,clueweb12-1500tw-89-03150,20.1288,1
201,clueweb12-0505wb-74-00262,20.1272,0
201,clueweb12-0714wb-20-18405,20.1265,0
201,clueweb12-0800tw-75-11298,20.1262,0
201,clueweb12-1700tw-36-09856,20.1257,0
201,clueweb12-0500tw-11-08405,20.1249,0
201,clueweb12-0811wb-65-07424,20.1242,0
201,clueweb12-0700tw-16-15536,20.1219,1
201,clueweb12-1100tw-00-21080,20.1197,0
201,clueweb12-0900tw-00-22101,20.1176,0
201,clueweb12-0900wb-35-34763,20.1122,0
201,clueweb12-0600tw-30-09967,20.0992,0
201,clueweb12-1614wb-06-31862,20.0081,1
201,clueweb12-1311wb-95-01609,19.1418,0
201,clueweb12-0401tw-02-17187,19.1319,0
201,clueweb12-1505wb-10-16652,19.1264,0
201,clueweb12-0505wb-98-17632,19.1253,0
201,clueweb12-0106wb-99-08828,19.125,0
201,clueweb12-0801wb-93-23760,19.1199,0
201,clueweb12-0700tw-31-04484,19.1194,0
201,clueweb12-1703wb-05-07506,19.1192,0
201,clueweb12-0600tw-15-05765,19.116,0
201,clueweb12-0600tw-27-04550,19.1111,0
201,clueweb12-0100tw-64-14713,19.1099,0
201,clueweb12-1700tw-45-12363,19.1013,0
201,clueweb12-1020wb-30-13016,18.1476,0
201,clueweb12-0400tw-92-16160,18.1398,0
201,clueweb12-0911wb-78-25265,18.1337,0
201,clueweb12-1006wb-61-32731,18.1325,0
201,clueweb12-1310wb-31-15088,18.1311,0
201,clueweb12-1712wb-52-25704,18.127,0
201,clueweb12-1000tw-62-03670,18.126,0
201,clueweb12-0715wb-41-22913,18.1171,0
201,clueweb12-0717wb-19-00922,18.1097,0
201,clueweb12-1108wb-64-22703,18.1097,0
201,clueweb12-0800tw-38-13637,18.1089,0
201,clueweb12-0814wb-19-20786,18.1063,0
201,clueweb12-0600tw-12-07807,18.1026,0
201,clueweb12-0500tw-03-25302,18.0881,0
201,clueweb12-0901wb-48-05423,17.1705,0
201,clueweb12-1704wb-31-03573,17.1695,0
201,clueweb12-0311wb-58-22499,17.1377,0
201,clueweb12-0816wb-58-26603,17.1369,0
201,clueweb12-0711wb-62-24988,17.1368,0
201,clueweb12-1600tw-26-19124,17.1359,0
201,clueweb12-0800tw-19-16222,17.1354,0
201,clueweb12-0500tw-03-16839,17.1312,0
201,clueweb12-0600tw-46-00342,17.1296,0
201,clueweb12-0908wb-55-02854,17.1284,0
201,clueweb12-0400tw-98-03265,17.114,0
201,clueweb12-0401tw-15-10793,17.1098,0
201,clueweb12-0300tw-87-14854,17.1086,0
201,clueweb12-1701wb-10-20481,17.1086,0
201,clueweb12-0500tw-27-23154,17.1075,0
201,clueweb12-0401tw-03-06721,17.1038,0
201,clueweb12-0800tw-26-00274,17.1036,0
201,clueweb12-1800tw-26-15274,17.1034,0
201,clueweb12-0306wb-68-22318,17.0954,0
201,clueweb12-1806wb-54-21495,17.083,0
201,clueweb12-0100tw-52-01034,17.0557,0
201,clueweb12-1206wb-96-00963,16.1687,0
201,clueweb12-0800wb-04-25565,16.1665,0
201,clueweb12-1203wb-41-08826,16.1665,0
201,clueweb12-1514wb-67-17707,16.1541,0
201,clueweb12-1117wb-80-18548,16.1495,0
201,clueweb12-0818wb-53-02305,16.1319,0
201,clueweb12-0100tw-73-18759,16.1307,0
201,clueweb12-1911wb-40-08473,16.1276,0
201,clueweb12-0811wb-85-14210,16.1225,0
201,clueweb12-0300tw-64-21043,16.1203,0
201,clueweb12-1712wb-91-26912,16.1186,1
201,clueweb12-1911wb-40-08474,16.1173,0
201,clueweb12-0810wb-64-06846,16.1173,1
201,clueweb12-1500tw-08-14578,16.1163,0
201,clueweb12-1813wb-78-23713,16.116,0
201,clueweb12-0900tw-40-02794,16.1124,0
201,clueweb12-1408wb-44-13067,16.1118,0
201,clueweb12-0305wb-07-19864,16.1099,0
201,clueweb12-1200tw-73-01979,16.1096,0
201,clueweb12-0600tw-30-20002,16.1096,0
201,clueweb12-0800wb-08-03226,16.1044,0
201,clueweb12-0711wb-01-00590,16.0981,0
201,clueweb12-0500tw-02-12008,16.0893,0
201,clueweb12-0401tw-16-02546,16.0862,1
201,clueweb12-0300tw-75-21204,16.0264,0
201,clueweb12-1310wb-69-24280,15.1656,0
201,clueweb12-0607wb-19-31940,15.1644,1
201,clueweb12-0717wb-31-34219,15.1321,0
201,clueweb12-0500tw-10-16143,15.1305,0
201,clueweb12-1009wb-06-16954,15.13,0
201,clueweb12-0800tw-22-14399,15.1217,0
201,clueweb12-0300tw-71-23387,15.1141,0
201,clueweb12-0500tw-05-17248,15.1124,0
201,clueweb12-0401tw-03-21671,15.1099,0
201,clueweb12-1500tw-29-15704,15.1093,0
201,clueweb12-1800tw-16-01361,15.1084,0
201,clueweb12-0700tw-10-03958,15.1015,0
201,clueweb12-1911wb-51-03097,15.0986,0
201,clueweb12-0600tw-19-00818,15.0984,0
