topic,doc,score,rel
201,clueweb12-1500tw-89-06869,9999.0,0
201,clueweb12-1806wb-07-14286,9998.0,1
201,clueweb12-1500tw-87-05762,9997.0,0
201,clueweb12-1006wb-76-06368,9996.0,1
201,clueweb12-1804wb-83-26991,9995.0,1
201,clueweb12-0700tw-06-03345,9994.0,0
201,clueweb12-1805wb-88-10173,9993.0,1
201,clueweb12-1806wb-14-01950,9992.0,1
201,clueweb12-1806wb-14-01953,9991.0,1
201,clueweb12-1806wb-07-14285,9990.0,1
201,clueweb12-1805wb-97-00510,9989.0,1
201,clueweb12-1806wb-14-01952,9988.0,1
201,clueweb12-1806wb-14-01951,9987.0,1
201,clueweb12-1804wb-91-02269,9986.0,1
201,clueweb12-1805wb-42-21505,9985.0,1
201,clueweb12-0600tw-15-11839,9984.0,0
201,clueweb12-0909wb-96-26247,9983.0,0
201,clueweb12-0500tw-09-01438,9982.0,0
201,clueweb12-1003wb-22-01697,9981.0,1
201,clueweb12-1805wb-04-09143,9980.0,1
201,clueweb12-1805wb-04-09141,9979.0,0
201,clueweb12-1700tw-04-02422,9978.0,1
201,clueweb12-1804wb-91-02272,9977.0,0
201,clueweb12-1400tw-75-09343,9976.0,0
201,clueweb12-0916wb-37-04526,9975.0,1
201,clueweb12-0600tw-21-12056,9974.0,0
201,clueweb12-1700tw-12-03430,9973.0,0
201,clueweb12-1700tw-04-02424,9972.0,1
201,clueweb12-1700tw-04-02423,9971.0,0
201,clueweb12-1700tw-04-02426,9970.0,0
201,clueweb12-1700tw-04-02425,9969.0,0
201,clueweb12-0700tw-36-05471,9968.0,0
201,clueweb12-0400tw-34-18992,9967.0,0
201,clueweb12-1700tw-19-01998,9966.0,1
201,clueweb12-0900wb-61-27591,9965.0,0
201,clueweb12-1806wb-17-27435,9964.0,0
201,clueweb12-0900tw-94-08781,9963.0,0
201,clueweb12-0712wb-66-26111,9962.0,0
201,clueweb12-0700tw-74-19724,9961.0,1
201,clueweb12-0711wb-86-22355,9960.0,0
201,clueweb12-0717wb-31-34222,9959.0,0
201,clueweb12-0700tw-62-02100,9958.0,0
201,clueweb12-0818wb-67-18929,9957.0,0
201,clueweb12-0818wb-58-03045,9956.0,0
201,clueweb12-0901wb-76-19818,9955.0,0
201,clueweb12-0900wb-98-24673,9954.0,0
201,clueweb12-0717wb-31-34224,9953.0,0
201,clueweb12-1700tw-09-06795,9952.0,0
