topic,doc,score,rel
201,clueweb12-1700tw-11-11014,-6.7330027,0
201,clueweb12-0900tw-63-01604,-7.327793,1
201,clueweb12-1700tw-60-14505,-7.5724144,0
201,clueweb12-1600tw-25-03206,-7.773159,0
201,clueweb12-1804wb-83-27006,-7.797056,1
201,clueweb12-0916wb-56-28701,-7.8098135,2
201,clueweb12-0700tw-61-14704,-7.920432,2
201,clueweb12-1700tw-12-12180,-7.9357853,1
201,clueweb12-0600tw-15-11839,-8.114706,0
201,clueweb12-1006wb-76-06368,-8.203552,1
201,clueweb12-0900tw-34-09743,-8.213382,1
201,clueweb12-0700tw-06-03345,-8.240523,0
201,clueweb12-1300tw-81-10983,-8.288114,0
201,clueweb12-0909wb-96-26247,-8.289238,0
201,clueweb12-0700tw-43-07348,-8.31212,1
201,clueweb12-1600tw-43-10277,-8.384922,1
201,clueweb12-1305wb-52-24223,-8.395941,1
201,clueweb12-0700tw-72-10766,-8.419718,1
201,clueweb12-0700tw-77-17133,-8.481902,1
201,clueweb12-0300tw-57-15513,-8.496357,1
201,clueweb12-0904wb-71-24472,-8.574871,1
201,clueweb12-1003wb-81-21033,-8.612097,0
201,clueweb12-1006wb-62-00002,-8.617252,0
201,clueweb12-1613wb-51-20021,-8.621892,0
201,clueweb12-1500tw-27-08186,-8.65479,0
201,clueweb12-1700tw-68-07859,-8.6549225,1
201,clueweb12-0500tw-09-16892,-8.673151,1
201,clueweb12-1712wb-91-26912,-8.674118,1
201,clueweb12-1613wb-37-28549,-8.681818,1
201,clueweb12-0900tw-60-12948,-8.756939,0
201,clueweb12-0900tw-32-16590,-8.775595,0
201,clueweb12-0907wb-95-27054,-8.809229,1
201,clueweb12-0915wb-93-18991,-8.82689,0
201,clueweb12-1309wb-69-26514,-8.851395,0
201,clueweb12-1200tw-08-14978,-8.85542,0
201,clueweb12-0800tw-20-11696,-8.860396,1
201,clueweb12-1700tw-05-04365,-8.861416,0
201,clueweb12-1101tw-12-13837,-8.861544,0
201,clueweb12-1000wb-47-19725,-8.863226,0
201,clueweb12-1700tw-08-04638,-8.910397,0
201,clueweb12-1100tw-40-07793,-8.925308,0
201,clueweb12-1900wb-48-21594,-8.936867,0
201,clueweb12-0500tw-28-19161,-8.948231,0
201,clueweb12-1705wb-52-15495,-8.948955,0
201,clueweb12-0915wb-54-10744,-8.948957,0
201,clueweb12-0713wb-53-13641,-8.960634,0
201,clueweb12-1000wb-85-19998,-8.970598,0
201,clueweb12-0401tw-13-12471,-8.976202,0
201,clueweb12-0917wb-56-05093,-8.982281,0
201,clueweb12-1602wb-44-05440,-8.984901,1
201,clueweb12-1911wb-40-08473,-8.999971,0
201,clueweb12-0800tw-20-08086,-9.009209,1
201,clueweb12-0400tw-96-08580,-9.016842,1
