topic,doc,score,rel
201,clueweb12-1700tw-11-11014,-6.9952016,0
201,clueweb12-0900tw-63-01604,-7.4326096,1
201,clueweb12-1700tw-01-10630,-7.708308,1
201,clueweb12-1700tw-60-14505,-7.9605837,0
201,clueweb12-1804wb-83-27006,-7.9804316,1
201,clueweb12-0916wb-56-28701,-7.995053,2
201,clueweb12-1700tw-12-12180,-8.090973,1
201,clueweb12-1600tw-25-03206,-8.12444,0
201,clueweb12-1006wb-76-06368,-8.2638,1
201,clueweb12-0600tw-15-11839,-8.303728,0
201,clueweb12-0909wb-96-26247,-8.371375,0
201,clueweb12-0700tw-06-03345,-8.3888235,0
201,clueweb12-0900tw-34-09743,-8.423277,1
201,clueweb12-1600tw-43-10277,-8.516298,1
201,clueweb12-1300tw-81-10983,-8.55658,0
201,clueweb12-1305wb-52-24223,-8.556915,1
201,clueweb12-1700tw-04-02422,-8.566902,1
201,clueweb12-0300tw-57-15513,-8.568842,1
201,clueweb12-0700tw-43-07348,-8.613136,1
201,clueweb12-0700tw-72-10766,-8.654062,1
201,clueweb12-1700tw-68-07859,-8.707254,1
201,clueweb12-1613wb-51-20021,-8.709205,0
201,clueweb12-1006wb-62-00002,-8.715643,0
201,clueweb12-1003wb-81-21033,-8.776604,0
201,clueweb12-0700tw-79-17969,-8.778333,1
201,clueweb12-1500tw-27-08186,-8.842929,0
201,clueweb12-1613wb-37-28549,-8.852573,1
201,clueweb12-0915wb-93-18991,-8.883705,0
201,clueweb12-1712wb-91-26912,-8.884932,1
201,clueweb12-0900tw-32-16590,-8.908854,0
201,clueweb12-0900tw-60-12948,-8.939348,0
201,clueweb12-0500tw-09-16891,-8.943686,1
201,clueweb12-1309wb-69-26514,-8.967134,0
201,clueweb12-0800tw-20-11696,-8.967879,1
201,clueweb12-1200tw-10-09979,-8.995548,1
201,clueweb12-0904wb-71-24472,-8.998983,1
201,clueweb12-1700tw-05-04365,-9.010806,0
201,clueweb12-1101tw-12-13837,-9.026897,0
201,clueweb12-1100tw-40-07793,-9.032076,0
201,clueweb12-0401tw-13-12471,-9.059065,0
201,clueweb12-1006wb-74-15149,-9.061687,0
201,clueweb12-1700tw-08-04638,-9.085364,0
201,clueweb12-0700tw-17-13668,-9.095852,0
201,clueweb12-0400tw-96-08580,-9.104518,1
201,clueweb12-1900wb-48-21594,-9.113522,0
201,clueweb12-1602wb-44-05440,-9.117193,1
201,clueweb12-1705wb-52-15495,-9.136005,0
201,clueweb12-0800tw-20-08086,-9.136586,1
201,clueweb12-0500tw-28-19161,-9.143658,0
201,clueweb12-0509wb-52-08605,-9.194681,1
201,clueweb12-1000wb-47-19725,-9.202208,0
201,clueweb12-0915wb-54-10744,-9.207271,0
201,clueweb12-1911wb-40-08473,-9.209477,0
201,clueweb12-0400tw-96-22359,-9.217885,1
201,clueweb12-1000wb-85-19998,-9.23546,0
201,clueweb12-0917wb-56-05093,-9.244556,0
201,clueweb12-0400tw-94-13567,-9.247374,0
201,clueweb12-1800tw-45-19214,-9.274263,1
201,clueweb12-1200tw-74-09560,-9.27693,1
201,clueweb12-0108wb-86-18203,-9.282535,2
201,clueweb12-0401tw-11-13679,-9.288494,1
201,clueweb12-0910wb-65-20666,-9.298918,0
201,clueweb12-1800wb-26-00411,-9.307787,0
201,clueweb12-0909wb-23-16147,-9.319397,0
201,clueweb12-1210wb-93-32500,-9.331852,0
201,clueweb12-1400tw-14-21089,-9.339041,2
201,clueweb12-0707wb-37-00822,-9.339569,0
201,clueweb12-0900tw-36-03835,-9.351078,0
201,clueweb12-0800tw-24-03110,-9.398111,0
201,clueweb12-0907wb-95-27054,-9.399824,1
201,clueweb12-0800tw-21-14968,-9.411902,0
201,clueweb12-0401tw-01-08821,-9.433964,0
201,clueweb12-0713wb-53-13641,-9.4425335,0
201,clueweb12-1610wb-41-08797,-9.444481,0
201,clueweb12-0911wb-16-09228,-9.444515,0
201,clueweb12-0700tw-15-02493,-9.44466,0
201,clueweb12-0905wb-09-07295,-9.45457,0
201,clueweb12-0810wb-31-23222,-9.456755,0
201,clueweb12-1100tw-73-12368,-9.456968,0
201,clueweb12-1200tw-80-10421,-9.461996,1
201,clueweb12-1200tw-80-04767,-9.481985,0
201,clueweb12-0600tw-38-03421,-9.485233,0
