topic,doc,score,rel
251,clueweb12-0405wb-80-35203,-4.87481,0
251,clueweb12-0206wb-59-32292,-4.97945,2
251,clueweb12-1908wb-41-32483,-5.02007,0
251,clueweb12-0505wb-68-14736,-5.03258,1
251,clueweb12-0909wb-35-31320,-5.21023,1
251,clueweb12-1910wb-42-00582,-5.30398,1
251,clueweb12-0005wb-40-31709,-5.32737,2
251,clueweb12-0013wb-19-06381,-5.33068,1
251,clueweb12-1910wb-43-12562,-5.39907,1
251,clueweb12-0009wb-84-05364,-5.40311,1
251,clueweb12-0400wb-52-10850,-5.43832,1
251,clueweb12-0100wb-80-33187,-5.43832,1
251,clueweb12-0012wb-33-31849,-5.43832,1
251,clueweb12-0005wb-40-24623,-5.44677,1
251,clueweb12-1000wb-04-21414,-5.45413,1
251,clueweb12-0207wb-62-25632,-5.46336,2
251,clueweb12-1412wb-23-11167,-5.47272,1
251,clueweb12-1911wb-72-01937,-5.48537,2
251,clueweb12-0009wb-34-16768,-5.48782,1
251,clueweb12-0002wb-32-28229,-5.52967,2
251,clueweb12-1910wb-37-25683,-5.53215,0
251,clueweb12-0109wb-06-13819,-5.53922,1
251,clueweb12-0006wb-33-07815,-5.54662,1
251,clueweb12-0000wb-01-01996,-5.55139,1
251,clueweb12-1612wb-98-14728,-5.57381,1
251,clueweb12-1105wb-28-07058,-5.58344,0
251,clueweb12-1104wb-61-13520,-5.59016,0
251,clueweb12-0208wb-60-20497,-5.60922,1
251,clueweb12-0109wb-20-20925,-5.61678,0
251,clueweb12-1910wb-43-12565,-5.62396,1
251,clueweb12-1405wb-73-13718,-5.62589,1
251,clueweb12-1910wb-22-03148,-5.66301,0
251,clueweb12-1412wb-40-17283,-5.66594,1
251,clueweb12-0913wb-41-11258,-5.66971,0
251,clueweb12-1906wb-13-09887,-5.67846,0
251,clueweb12-0108wb-10-15448,-5.68114,1
251,clueweb12-0208wb-52-10624,-5.68222,2
251,clueweb12-0603wb-82-13286,-5.70608,0
251,clueweb12-0807wb-96-19628,-5.71082,1
251,clueweb12-0808wb-06-00161,-5.71132,1
251,clueweb12-0002wb-19-01278,-5.71453,2
251,clueweb12-1910wb-29-04565,-5.71499,0
251,clueweb12-1412wb-23-11168,-5.71799,1
251,clueweb12-1910wb-29-04564,-5.72208,1
251,clueweb12-1115wb-30-14173,-5.74707,0
251,clueweb12-0811wb-88-05165,-5.7471,0
251,clueweb12-1709wb-19-37066,-5.75225,1
251,clueweb12-0300wb-04-06548,-5.75354,1
251,clueweb12-1411wb-86-24278,-5.75387,1
251,clueweb12-0600wb-02-04092,-5.75602,2
251,clueweb12-0603wb-12-23335,-5.76603,0
251,clueweb12-0100wb-13-13091,-5.76641,1
251,clueweb12-0400wb-81-10184,-5.77178,1
251,clueweb12-0108wb-90-14061,-5.77183,1
251,clueweb12-1910wb-01-02874,-5.77376,1
251,clueweb12-1701wb-90-31942,-5.77516,0
251,clueweb12-1201wb-37-08348,-5.78752,2
251,clueweb12-1201wb-37-08347,-5.78774,2
251,clueweb12-1804wb-20-18328,-5.7934,1
251,clueweb12-1800tw-43-17302,-5.79752,1
251,clueweb12-1500tw-81-14434,-5.79872,0
251,clueweb12-1200wb-96-10642,-5.79929,2
251,clueweb12-0304wb-32-15329,-5.80343,0
251,clueweb12-0401wb-21-19311,-5.80751,1
251,clueweb12-1201wb-26-13366,-5.81131,2
251,clueweb12-1201wb-26-13367,-5.81153,2
251,clueweb12-0200tw-34-05518,-5.82005,0
251,clueweb12-1500tw-16-12779,-5.82259,0
251,clueweb12-1400tw-34-10410,-5.82326,0
251,clueweb12-0109wb-53-19386,-5.8437,0
251,clueweb12-0713wb-47-12881,-5.84455,1
251,clueweb12-1910wb-82-31154,-5.84552,0
251,clueweb12-0003wb-36-32607,-5.84721,2
251,clueweb12-1106wb-93-15179,-5.85254,0
251,clueweb12-0002wb-34-11095,-5.85344,1
251,clueweb12-1801wb-25-07855,-5.85685,0
251,clueweb12-0401wb-21-19310,-5.8581,2
251,clueweb12-0812wb-12-30064,-5.85905,1
251,clueweb12-0312wb-23-10073,-5.86901,2
251,clueweb12-0400wb-20-20803,-5.88297,1
251,clueweb12-0311wb-22-01592,-5.88907,1
251,clueweb12-1910wb-40-20285,-5.8911,0
251,clueweb12-1908wb-51-04217,-5.89262,0
251,clueweb12-0900wb-80-24908,-5.89289,0
251,clueweb12-1911wb-72-02488,-5.89456,1
251,clueweb12-0304wb-17-25958,-5.89502,1
251,clueweb12-0400wb-66-19727,-5.90383,0
251,clueweb12-0005wb-19-29156,-5.90878,1
251,clueweb12-1103wb-19-00759,-5.91062,0
251,clueweb12-0311wb-22-01591,-5.91096,0
251,clueweb12-0001wb-99-01299,-5.91268,1
251,clueweb12-1414wb-69-21960,-5.91329,0
251,clueweb12-0001wb-49-07903,-5.91587,0
251,clueweb12-0401wb-71-12146,-5.91639,0
251,clueweb12-0401wb-71-12147,-5.91771,1
251,clueweb12-0400wb-20-20802,-5.919,0
251,clueweb12-0000wb-90-32205,-5.92091,2
251,clueweb12-1910wb-76-01078,-5.9211,0
251,clueweb12-0502wb-28-23030,-5.92132,0
251,clueweb12-0902wb-91-27720,-5.92352,0
251,clueweb12-1412wb-17-16935,-5.92387,0
251,clueweb12-0400wb-81-10183,-5.92523,0
251,clueweb12-0604wb-30-28143,-5.9254,0
251,clueweb12-0106wb-67-30332,-5.9344,1
251,clueweb12-0001wb-61-23921,-5.93624,1
251,clueweb12-0310wb-35-20046,-5.93753,0
251,clueweb12-0409wb-75-31776,-5.93852,1
251,clueweb12-1107wb-66-08344,-5.93868,0
251,clueweb12-0308wb-28-03934,-5.94213,1
251,clueweb12-0900tw-74-12702,-5.94267,0
251,clueweb12-0813wb-59-12212,-5.94434,1
251,clueweb12-0110wb-54-25957,-5.94461,2
251,clueweb12-0101wb-29-20624,-5.94848,1
251,clueweb12-0706wb-72-04685,-5.95566,0
251,clueweb12-1703wb-68-11510,-5.95993,0
251,clueweb12-0815wb-04-10004,-5.96392,0
251,clueweb12-0706wb-72-04683,-5.96621,0
251,clueweb12-0401wb-99-08592,-5.96669,0
251,clueweb12-1412wb-23-11164,-5.96956,0
251,clueweb12-0304wb-80-32337,-5.97472,0
251,clueweb12-0604wb-50-14586,-5.97553,0
251,clueweb12-0605wb-40-14456,-5.97573,0
251,clueweb12-1310wb-23-20836,-5.97837,0
251,clueweb12-0400wb-96-10515,-5.97995,0
251,clueweb12-0205wb-08-01285,-5.98211,0
251,clueweb12-1910wb-99-10997,-5.98459,0
251,clueweb12-0109wb-30-23764,-5.98708,0
251,clueweb12-1910wb-20-25137,-5.98783,0
251,clueweb12-1911wb-19-29826,-5.99042,0
251,clueweb12-0009wb-90-28285,-5.99124,0
251,clueweb12-0603wb-22-28432,-5.9933,0
251,clueweb12-1412wb-25-24561,-6.00998,0
251,clueweb12-0208wb-25-08664,-6.01219,1
251,clueweb12-0608wb-08-26935,-6.01311,1
251,clueweb12-0012wb-36-23232,-6.0147,1
251,clueweb12-0305wb-89-00946,-6.01485,1
251,clueweb12-0002wb-19-01291,-6.02688,1
251,clueweb12-1411wb-86-24279,-6.02856,0
251,clueweb12-0404wb-70-01801,-6.02901,1
251,clueweb12-1400wb-32-03675,-6.03364,1
251,clueweb12-0601wb-68-08813,-6.03892,0
251,clueweb12-0312wb-01-26623,-6.03951,0
251,clueweb12-0401wb-71-12159,-6.03953,1
251,clueweb12-0002wb-32-28237,-6.04073,0
251,clueweb12-1412wb-17-16940,-6.04232,0
