topic,doc,score,rel
251,clueweb12-0103wb-60-28240,12992.3284601,1
251,clueweb12-0202wb-64-12990,12992.28553676,1
251,clueweb12-1813wb-41-09870,12992.26835103,1
251,clueweb12-0003wb-87-28817,12992.24161863,0
251,clueweb12-1202wb-55-27663,12992.23831018,0
251,clueweb12-0111wb-60-23050,12992.22650617,0
251,clueweb12-0112wb-10-24884,12992.19282739,0
251,clueweb12-0001wb-78-15670,12992.1636289,0
251,clueweb12-0008wb-53-16587,12992.16213587,0
251,clueweb12-0100tw-72-21221,12992.1441935,0
251,clueweb12-0005wb-27-34014,12992.14035333,0
251,clueweb12-1706wb-16-03357,12992.13027448,1
251,clueweb12-0307wb-58-16121,12992.12963382,1
251,clueweb12-0106wb-83-15924,12992.12203168,0
251,clueweb12-1502wb-45-09587,12992.11735906,0
251,clueweb12-0107wb-11-15827,12992.10152674,0
251,clueweb12-0208wb-82-22192,12992.09458132,0
251,clueweb12-0100tw-74-19026,12992.09230899,0
251,clueweb12-1815wb-40-06781,12992.08565747,0
251,clueweb12-0106wb-63-14361,12992.08209919,0
251,clueweb12-1013wb-12-19371,12992.08041129,1
251,clueweb12-0107wb-37-16475,12992.06884996,1
251,clueweb12-0812wb-88-20296,12992.06655708,0
251,clueweb12-0411wb-60-24918,12992.05868635,0
251,clueweb12-0203wb-34-08195,12992.05741574,0
251,clueweb12-1804wb-55-03673,12992.04633143,0
251,clueweb12-0710wb-44-11787,12992.04277475,0
251,clueweb12-1017wb-44-04252,12992.04126733,0
251,clueweb12-0402wb-13-04276,12992.03963815,0
251,clueweb12-1515wb-99-29062,12992.03957191,0
251,clueweb12-1809wb-97-29531,12992.03889169,0
251,clueweb12-1017wb-44-04253,12992.03298071,0
251,clueweb12-1017wb-44-04251,12992.03284733,0
251,clueweb12-1019wb-69-08557,12992.03085481,0
251,clueweb12-0818wb-45-00151,12992.02357352,0
251,clueweb12-1101wb-14-02115,12992.02243068,0
251,clueweb12-1707wb-37-02809,12992.02178572,0
251,clueweb12-1705wb-63-29878,12992.02178375,0
251,clueweb12-1706wb-29-32810,12992.02178375,0
251,clueweb12-1706wb-29-32809,12992.02166759,0
251,clueweb12-1707wb-85-10373,12992.02166759,0
251,clueweb12-1707wb-30-31831,12992.02166759,0
251,clueweb12-1705wb-21-07116,12992.02166759,0
251,clueweb12-1706wb-33-16201,12992.02166759,0
251,clueweb12-1706wb-25-17442,12992.02166759,0
251,clueweb12-1707wb-40-18622,12992.02166759,0
251,clueweb12-1707wb-85-10372,12992.02166759,0
251,clueweb12-1706wb-33-16200,12992.02166759,0
251,clueweb12-1705wb-63-29881,12992.02166759,0
251,clueweb12-1705wb-21-07117,12992.02159079,0
251,clueweb12-1705wb-63-29879,12992.02158883,0
251,clueweb12-1705wb-77-17280,12992.02158304,0
251,clueweb12-1705wb-77-17281,12992.02155161,0
251,clueweb12-1705wb-63-29880,12992.02155161,0
251,clueweb12-1705wb-38-02882,12992.02155161,0
251,clueweb12-1705wb-38-02880,12992.02143576,0
251,clueweb12-1705wb-55-06640,12992.02143576,0
251,clueweb12-1705wb-35-04245,12992.02062236,0
251,clueweb12-1705wb-38-02883,12992.02062236,0
251,clueweb12-1705wb-81-23023,12992.02050661,0
251,clueweb12-1705wb-26-20705,12992.02050661,0
251,clueweb12-1705wb-35-04244,12992.02050661,0
251,clueweb12-1705wb-38-02881,12992.02039076,0
251,clueweb12-1705wb-35-04243,12992.02031423,0
251,clueweb12-1910wb-39-12583,12992.01686322,0
251,clueweb12-0000wb-97-19065,12992.01679838,0
251,clueweb12-1515wb-81-16524,12992.01542527,0
251,clueweb12-1808wb-27-30044,12992.01226383,0
251,clueweb12-1802wb-90-21617,12992.00387417,0
251,clueweb12-0202wb-32-28366,12992.00303691,0
251,clueweb12-1010wb-92-17366,12991.9997652,0
251,clueweb12-0403wb-42-05266,12991.99928522,0
251,clueweb12-0000wb-82-10260,12991.99917105,0
251,clueweb12-1113wb-73-22590,12991.99115872,0
251,clueweb12-0202wb-23-21755,12991.99042778,0
251,clueweb12-1908wb-10-10483,12991.98892511,0
251,clueweb12-1900wb-32-00678,12991.98648874,0
251,clueweb12-0105wb-63-07505,12991.98260387,0
251,clueweb12-0918wb-49-25733,12991.98253034,0
251,clueweb12-0103wb-86-24687,12991.97386951,0
251,clueweb12-0508wb-20-09266,12991.97322509,0
251,clueweb12-1511wb-07-31275,12991.96898446,0
251,clueweb12-0101wb-15-28055,12991.96808824,0
251,clueweb12-1516wb-41-31312,12991.96782905,0
251,clueweb12-1909wb-23-22102,12991.96583478,0
251,clueweb12-1108wb-47-12135,12991.95859527,0
251,clueweb12-1108wb-47-12143,12991.9584857,0
251,clueweb12-1501wb-96-27998,12991.95846383,0
251,clueweb12-0811wb-42-26466,12991.94739715,0
251,clueweb12-0904wb-37-28008,12991.94621675,0
251,clueweb12-1807wb-34-15822,12991.93938296,0
251,clueweb12-1909wb-30-22095,12991.93736985,0
251,clueweb12-1107wb-23-07777,12991.93207424,0
251,clueweb12-0306wb-68-29090,12991.93115829,0
251,clueweb12-1007wb-72-23378,12991.93079016,0
251,clueweb12-0200tw-68-15673,12991.92485215,0
251,clueweb12-0507wb-45-01482,12991.92388146,0
251,clueweb12-1709wb-37-00536,12991.92356061,0
251,clueweb12-0302wb-66-19778,12991.9229694,1
251,clueweb12-1614wb-35-25965,12991.92026279,0
251,clueweb12-0200wb-67-10909,12991.91394772,0
251,clueweb12-0007wb-92-14114,12991.91192521,0
251,clueweb12-1007wb-47-04546,12991.90998962,0
251,clueweb12-0107wb-14-22869,12991.90998586,0
251,clueweb12-0610wb-20-31152,12991.90919265,0
251,clueweb12-0301wb-41-01745,12991.90918863,0
251,clueweb12-1407wb-89-21422,12991.9011144,0
251,clueweb12-0100wb-30-19559,12991.89445261,0
251,clueweb12-0013wb-62-34992,12991.88904507,0
251,clueweb12-1012wb-24-22913,12991.88763505,0
251,clueweb12-1017wb-94-22509,12991.88763505,0
251,clueweb12-1201wb-06-06096,12991.88718626,0
251,clueweb12-0001wb-58-23062,12991.88392302,0
251,clueweb12-0100tw-62-07999,12991.8793039,0
251,clueweb12-1012wb-49-06216,12991.87828904,0
251,clueweb12-0305wb-54-22399,12991.87828682,0
251,clueweb12-0211wb-92-17023,12991.87810278,0
251,clueweb12-0507wb-97-18377,12991.87750089,0
251,clueweb12-0814wb-62-17257,12991.87699986,0
251,clueweb12-0818wb-58-17137,12991.87698655,0
251,clueweb12-0001wb-58-23069,12991.87580669,0
251,clueweb12-1415wb-03-22857,12991.87563075,0
251,clueweb12-0109wb-87-00801,12991.87485326,0
251,clueweb12-1203wb-80-01795,12991.87435572,0
251,clueweb12-0106wb-83-15921,12991.87415167,0
251,clueweb12-0206wb-70-08538,12991.87331674,0
251,clueweb12-0410wb-22-26535,12991.87189346,0
