topic,doc,score,rel
251,clueweb12-0002wb-32-28229,10000.0,2
251,clueweb12-1511wb-99-31408,9999.0,0
251,clueweb12-0300wb-74-09092,9998.0,1
251,clueweb12-0002wb-19-01278,9997.0,2
251,clueweb12-0402wb-83-04996,9996.0,0
251,clueweb12-0208wb-52-10624,9995.0,2
251,clueweb12-0000wb-27-20095,9994.0,1
251,clueweb12-0310wb-50-11456,9993.0,1
251,clueweb12-1512wb-65-03697,9992.0,0
251,clueweb12-0203wb-40-09484,9991.0,0
251,clueweb12-1716wb-96-27852,9990.0,1
251,clueweb12-0013wb-19-06381,9989.0,1
251,clueweb12-0110wb-54-25957,9988.0,2
251,clueweb12-0206wb-69-18049,9987.0,0
251,clueweb12-0800wb-50-29299,9986.0,1
251,clueweb12-0308wb-28-03934,9985.0,1
251,clueweb12-0011wb-43-29533,9984.0,0
251,clueweb12-0003wb-22-11553,9983.0,0
251,clueweb12-0406wb-65-11373,9982.0,0
251,clueweb12-0101wb-93-00767,9981.0,1
251,clueweb12-0406wb-47-28001,9980.0,0
251,clueweb12-1600tw-16-22691,9979.0,0
251,clueweb12-0002wb-43-36050,9978.0,0
251,clueweb12-0300wb-12-05329,9977.0,2
251,clueweb12-0011wb-58-19896,9976.0,0
251,clueweb12-1312wb-98-02364,9975.0,0
251,clueweb12-0013wb-45-05476,9974.0,0
251,clueweb12-0013wb-22-21334,9973.0,0
251,clueweb12-1913wb-45-08214,9972.0,0
251,clueweb12-0013wb-22-21335,9971.0,0
251,clueweb12-0400wb-33-18632,9970.0,0
251,clueweb12-0402wb-83-04995,9969.0,0
251,clueweb12-0914wb-02-27998,9968.0,0
251,clueweb12-0406wb-55-16783,9967.0,0
251,clueweb12-0406wb-45-32932,9966.0,0
251,clueweb12-0205wb-09-31438,9965.0,0
251,clueweb12-1514wb-91-01234,9964.0,0
251,clueweb12-1515wb-12-02133,9963.0,0
251,clueweb12-0406wb-42-02740,9962.0,0
251,clueweb12-0607wb-35-23218,9961.0,0
251,clueweb12-0714wb-56-19071,9960.0,0
251,clueweb12-1111wb-07-01454,9959.0,0
251,clueweb12-0406wb-18-01840,9958.0,0
