topic,doc,score,rel
251,clueweb12-0405wb-80-35203,-4.53475,0
251,clueweb12-0505wb-68-14736,-4.59361,1
251,clueweb12-0909wb-35-31320,-4.63766,1
251,clueweb12-1910wb-42-00582,-4.64104,1
251,clueweb12-1908wb-41-32483,-4.75116,0
251,clueweb12-1412wb-23-11167,-4.78256,1
251,clueweb12-1910wb-43-12562,-4.80603,1
251,clueweb12-0206wb-59-32292,-4.81467,2
251,clueweb12-0002wb-32-28229,-4.83503,2
251,clueweb12-1910wb-37-25683,-4.84386,0
251,clueweb12-0005wb-40-24623,-4.88004,1
251,clueweb12-0013wb-19-06381,-4.92391,1
251,clueweb12-0006wb-33-07815,-4.95026,1
251,clueweb12-1412wb-40-17283,-4.98494,1
251,clueweb12-1910wb-22-03148,-4.99552,0
251,clueweb12-1910wb-29-04565,-5.01378,0
251,clueweb12-1412wb-23-11168,-5.03484,1
251,clueweb12-1910wb-43-12565,-5.03612,1
251,clueweb12-0002wb-19-01278,-5.04006,2
251,clueweb12-1411wb-86-24278,-5.0733,1
251,clueweb12-1910wb-29-04564,-5.08545,1
251,clueweb12-0009wb-84-05364,-5.11752,1
251,clueweb12-0208wb-60-20497,-5.15279,1
251,clueweb12-0005wb-40-31709,-5.19577,2
251,clueweb12-1800tw-43-17302,-5.2144,1
251,clueweb12-0811wb-88-05165,-5.21542,0
251,clueweb12-1701wb-90-31942,-5.22826,0
251,clueweb12-1906wb-13-09887,-5.23872,0
251,clueweb12-0012wb-33-31849,-5.25772,1
251,clueweb12-0100wb-80-33187,-5.25772,1
251,clueweb12-0400wb-52-10850,-5.25772,1
251,clueweb12-1412wb-17-16935,-5.25959,0
251,clueweb12-1911wb-72-01937,-5.26515,2
251,clueweb12-0807wb-96-19628,-5.26795,1
251,clueweb12-0808wb-06-00161,-5.26877,1
251,clueweb12-0304wb-32-15329,-5.2691,0
251,clueweb12-1000wb-04-21414,-5.27387,1
251,clueweb12-1405wb-73-13718,-5.29302,1
251,clueweb12-1412wb-23-11164,-5.309,0
251,clueweb12-1411wb-86-24279,-5.36335,0
251,clueweb12-1412wb-17-16940,-5.37068,0
251,clueweb12-1105wb-28-07058,-5.37313,0
251,clueweb12-0913wb-41-11258,-5.38505,0
251,clueweb12-1104wb-61-13520,-5.3956,0
251,clueweb12-1412wb-23-11166,-5.39965,0
251,clueweb12-0811wb-88-05163,-5.41395,0
251,clueweb12-1412wb-17-16939,-5.41443,0
251,clueweb12-1412wb-40-17284,-5.4187,0
251,clueweb12-1908wb-51-04217,-5.42048,0
251,clueweb12-0900wb-80-24908,-5.42093,0
251,clueweb12-0603wb-12-23335,-5.42393,0
251,clueweb12-0200tw-34-05518,-5.43551,0
251,clueweb12-0400wb-81-10184,-5.44665,1
251,clueweb12-0002wb-34-11095,-5.45954,1
251,clueweb12-1412wb-40-17281,-5.46435,0
251,clueweb12-0000wb-01-01996,-5.47438,1
251,clueweb12-0600wb-02-04092,-5.48056,2
251,clueweb12-0401wb-21-19311,-5.48075,1
251,clueweb12-1115wb-30-14173,-5.48213,0
251,clueweb12-1107wb-66-08344,-5.48861,0
251,clueweb12-0903wb-22-21102,-5.48922,1
251,clueweb12-0009wb-34-16768,-5.49253,1
251,clueweb12-1412wb-40-17286,-5.49891,0
251,clueweb12-1412wb-40-17282,-5.50277,0
251,clueweb12-0003wb-36-32607,-5.5142,2
251,clueweb12-0401wb-21-19310,-5.52528,2
251,clueweb12-1310wb-23-20836,-5.52587,0
251,clueweb12-0312wb-23-10073,-5.53822,2
251,clueweb12-0400wb-20-20803,-5.54921,1
251,clueweb12-0311wb-22-01592,-5.55266,1
251,clueweb12-0900tw-74-12702,-5.55661,0
251,clueweb12-1500tw-16-12779,-5.55852,0
251,clueweb12-0001wb-61-23921,-5.56268,1
251,clueweb12-0400wb-66-19727,-5.57062,0
251,clueweb12-0005wb-19-29156,-5.5716,1
251,clueweb12-0401wb-71-12147,-5.57322,1
251,clueweb12-0311wb-22-01591,-5.57335,0
251,clueweb12-1412wb-17-16938,-5.57387,0
251,clueweb12-0001wb-99-01299,-5.57491,1
251,clueweb12-0207wb-62-25632,-5.57585,2
251,clueweb12-0603wb-82-13286,-5.57853,0
251,clueweb12-0000wb-90-32205,-5.57953,2
251,clueweb12-0401wb-71-12146,-5.57991,0
251,clueweb12-0400wb-20-20802,-5.58042,0
251,clueweb12-0602wb-00-07545,-5.58304,0
251,clueweb12-0400wb-81-10183,-5.58814,0
251,clueweb12-0310wb-35-20046,-5.60247,0
251,clueweb12-1412wb-17-16937,-5.60685,0
251,clueweb12-1500tw-81-14434,-5.61487,0
251,clueweb12-0401wb-99-08592,-5.61939,0
251,clueweb12-1400tw-34-10410,-5.62229,0
251,clueweb12-1709wb-19-37066,-5.62285,1
251,clueweb12-0300wb-04-06548,-5.62494,1
251,clueweb12-0109wb-06-13819,-5.62924,1
251,clueweb12-1804wb-20-18328,-5.63079,1
251,clueweb12-1106wb-93-15179,-5.63181,0
251,clueweb12-0400wb-96-10515,-5.63472,0
251,clueweb12-1407wb-56-15685,-5.63684,0
251,clueweb12-0002wb-19-01291,-5.63797,1
251,clueweb12-0812wb-12-30062,-5.64181,0
251,clueweb12-0108wb-65-00894,-5.64319,0
251,clueweb12-0608wb-08-26935,-5.65026,1
251,clueweb12-1414wb-69-21960,-5.65162,0
251,clueweb12-1807wb-57-07572,-5.65179,0
251,clueweb12-1412wb-23-11165,-5.66706,0
251,clueweb12-0812wb-12-30064,-5.68134,1
251,clueweb12-0604wb-30-28143,-5.68916,0
251,clueweb12-1103wb-19-00759,-5.70599,0
251,clueweb12-1911wb-72-02488,-5.70612,1
251,clueweb12-0312wb-01-26623,-5.71088,0
251,clueweb12-0002wb-34-11084,-5.71143,1
251,clueweb12-0002wb-32-28237,-5.71232,0
251,clueweb12-1801wb-25-07855,-5.71389,0
251,clueweb12-0401wb-71-12159,-5.71662,1
251,clueweb12-0603wb-22-28432,-5.71699,0
251,clueweb12-0004wb-08-27365,-5.72303,0
251,clueweb12-0109wb-20-20925,-5.72745,0
251,clueweb12-1412wb-17-16936,-5.7312,0
251,clueweb12-1703wb-68-11510,-5.73167,0
251,clueweb12-0100wb-13-13091,-5.73394,1
251,clueweb12-1612wb-98-14728,-5.73611,1
251,clueweb12-1201wb-37-08348,-5.74612,2
251,clueweb12-1201wb-37-08347,-5.74644,2
251,clueweb12-0601wb-68-08813,-5.75077,0
251,clueweb12-1200wb-96-10642,-5.75852,2
251,clueweb12-1801wb-38-04144,-5.75953,0
251,clueweb12-0002wb-58-31899,-5.76007,1
251,clueweb12-0713wb-47-12881,-5.76295,1
251,clueweb12-0701wb-42-28200,-5.76711,0
251,clueweb12-0002wb-19-01284,-5.76821,0
251,clueweb12-1412wb-40-17285,-5.76843,0
251,clueweb12-0108wb-10-15448,-5.76919,1
251,clueweb12-1201wb-26-13366,-5.7697,2
251,clueweb12-1201wb-26-13367,-5.77002,2
251,clueweb12-1412wb-25-24561,-5.77066,0
251,clueweb12-0208wb-52-10624,-5.77206,2
251,clueweb12-0706wb-72-04683,-5.77666,0
251,clueweb12-0706wb-72-04685,-5.77916,0
251,clueweb12-0902wb-91-27720,-5.78249,0
251,clueweb12-1800tw-54-06609,-5.79162,0
251,clueweb12-0009wb-69-11954,-5.79178,0
251,clueweb12-0605wb-40-14456,-5.79445,0
251,clueweb12-1801wb-84-04512,-5.79503,0
251,clueweb12-0000wb-01-01965,-5.81053,2
251,clueweb12-1910wb-36-10033,-5.82656,0
251,clueweb12-0603wb-12-23336,-5.83257,0
251,clueweb12-0005wb-40-24616,-5.83725,2
251,clueweb12-0106wb-67-30332,-5.83909,1
251,clueweb12-1400wb-32-03675,-5.84294,1
251,clueweb12-0400tw-84-05685,-5.8454,0
251,clueweb12-0109wb-53-19386,-5.84924,0
251,clueweb12-1801wb-61-02059,-5.85014,0
251,clueweb12-0710wb-27-09491,-5.85901,0
251,clueweb12-0310wb-24-04812,-5.86139,0
251,clueweb12-1400tw-34-10404,-5.86758,0
251,clueweb12-1910wb-40-20285,-5.86767,0
251,clueweb12-0404wb-70-01801,-5.87535,1
251,clueweb12-1801wb-84-04513,-5.88027,0
251,clueweb12-0208wb-25-08664,-5.88166,1
251,clueweb12-0815wb-04-10004,-5.88171,0
251,clueweb12-0110wb-54-25957,-5.88686,2
251,clueweb12-1414wb-69-21961,-5.89082,0
251,clueweb12-0108wb-90-14061,-5.89083,1
251,clueweb12-0002wb-19-01280,-5.89264,0
251,clueweb12-0105wb-68-21953,-5.90152,0
251,clueweb12-0109wb-83-30574,-5.90476,1
251,clueweb12-0005wb-87-29993,-5.90615,1
251,clueweb12-1801wb-84-04511,-5.9093,0
251,clueweb12-1801wb-82-08831,-5.91079,0
251,clueweb12-0304wb-80-32337,-5.91364,0
251,clueweb12-1909wb-13-18961,-5.91846,0
251,clueweb12-0310wb-50-11456,-5.91853,1
251,clueweb12-1716wb-96-27852,-5.91915,1
251,clueweb12-0706wb-72-04680,-5.92634,1
251,clueweb12-1414wb-55-24601,-5.92714,0
251,clueweb12-1400tw-34-10411,-5.92927,0
251,clueweb12-1801wb-75-03214,-5.93324,0
251,clueweb12-0000wb-27-20097,-5.93327,1
251,clueweb12-0602wb-87-07026,-5.93559,0
251,clueweb12-0310wb-24-04813,-5.93703,0
251,clueweb12-1414wb-69-21962,-5.93809,0
251,clueweb12-0003wb-38-10588,-5.94269,0
251,clueweb12-1910wb-99-10997,-5.94935,0
251,clueweb12-0109wb-30-23764,-5.95273,0
251,clueweb12-0012wb-33-32922,-5.95494,0
251,clueweb12-1910wb-20-25137,-5.95591,0
251,clueweb12-1100tw-47-08751,-5.95691,1
251,clueweb12-0001wb-49-07903,-5.95875,0
251,clueweb12-0604wb-50-14586,-5.95896,0
251,clueweb12-0409wb-75-31776,-5.96313,1
251,clueweb12-0107wb-53-27788,-5.96379,0
251,clueweb12-0910wb-01-05997,-5.9661,0
251,clueweb12-0308wb-28-03934,-5.96831,1
251,clueweb12-1905wb-01-09363,-5.97259,0
251,clueweb12-0002wb-34-11076,-5.97932,1
251,clueweb12-1801wb-82-08830,-5.98195,0
251,clueweb12-1800wb-77-01599,-5.98314,0
251,clueweb12-1000tw-03-12426,-5.98322,0
251,clueweb12-0202wb-02-31960,-5.98683,1
251,clueweb12-0002wb-34-11090,-5.99326,0
251,clueweb12-0001wb-99-01300,-5.99517,2
251,clueweb12-0502wb-28-23030,-5.99785,0
251,clueweb12-1306wb-53-02204,-5.99982,0
251,clueweb12-1910wb-86-25011,-6.00045,0
251,clueweb12-0919wb-83-11670,-6.00237,0
251,clueweb12-1801wb-38-04145,-6.00393,0
251,clueweb12-0301tw-34-12090,-6.00557,0
251,clueweb12-0710wb-32-02115,-6.00991,0
251,clueweb12-0600wb-02-04095,-6.01001,1
251,clueweb12-0709wb-21-07596,-6.01032,1
251,clueweb12-0103wb-15-11571,-6.01902,1
251,clueweb12-0700wb-20-22975,-6.02498,0
251,clueweb12-0109wb-30-23763,-6.02574,0
251,clueweb12-0112wb-44-22651,-6.02718,1
251,clueweb12-0304wb-17-25958,-6.03414,1
251,clueweb12-0009wb-90-28283,-6.03509,0
251,clueweb12-1111wb-07-01455,-6.03951,0
251,clueweb12-0401wb-33-00517,-6.04297,0
251,clueweb12-0908wb-65-12172,-6.04346,0
251,clueweb12-0308wb-82-19161,-6.04411,0
251,clueweb12-0006wb-17-31870,-6.04554,0
251,clueweb12-0811wb-57-28052,-6.04571,0
251,clueweb12-0002wb-32-28230,-6.04764,0
251,clueweb12-1800tw-47-02363,-6.04829,0
251,clueweb12-1910wb-01-02874,-6.04869,1
251,clueweb12-0205wb-08-01285,-6.05279,0
251,clueweb12-1902wb-64-18205,-6.05396,0
251,clueweb12-0305wb-40-17446,-6.06547,0
251,clueweb12-0002wb-34-11078,-6.06809,0
251,clueweb12-0306wb-39-35283,-6.07045,0
251,clueweb12-0001wb-61-14139,-6.0719,0
251,clueweb12-0101wb-29-20624,-6.07726,1
251,clueweb12-0913wb-75-00559,-6.07769,0
251,clueweb12-1601wb-21-01386,-6.08057,0
251,clueweb12-0411wb-39-34709,-6.08157,1
251,clueweb12-1909wb-31-23723,-6.08436,0
251,clueweb12-1911wb-72-01939,-6.08729,0
251,clueweb12-0107wb-75-04367,-6.09037,0
251,clueweb12-0304wb-32-15327,-6.09396,0
251,clueweb12-0808wb-15-00905,-6.09979,0
251,clueweb12-0100wb-45-22759,-6.10016,0
251,clueweb12-0602wb-37-17314,-6.10172,1
251,clueweb12-0200wb-35-25230,-6.10243,0
251,clueweb12-0311wb-57-05415,-6.10287,0
251,clueweb12-1801wb-75-03215,-6.1031,0
251,clueweb12-1404wb-83-06002,-6.10388,0
251,clueweb12-1711wb-14-09039,-6.10457,0
251,clueweb12-1900tw-42-06580,-6.10607,0
251,clueweb12-0009wb-90-28285,-6.10692,0
251,clueweb12-0707wb-35-04174,-6.11069,0
251,clueweb12-0813wb-59-12212,-6.11415,1
251,clueweb12-1910wb-82-31154,-6.11487,0
251,clueweb12-1609wb-24-18072,-6.11616,0
251,clueweb12-0106wb-35-21456,-6.11633,0
251,clueweb12-1315wb-34-30912,-6.11781,1
251,clueweb12-0207wb-40-12012,-6.11781,1
251,clueweb12-0607wb-35-23218,-6.12503,0
251,clueweb12-0301wb-77-10531,-6.12744,0
251,clueweb12-0604wb-92-22824,-6.1292,1
251,clueweb12-0602wb-00-07542,-6.12981,0
251,clueweb12-0012wb-36-23232,-6.13081,1
251,clueweb12-0305wb-89-00946,-6.131,1
251,clueweb12-0310wb-24-04783,-6.13208,0
251,clueweb12-1300tw-09-07522,-6.13269,0
251,clueweb12-0206wb-69-18049,-6.1356,0
251,clueweb12-1017wb-32-24224,-6.13803,0
251,clueweb12-0703wb-81-19022,-6.1389,0
251,clueweb12-0901wb-71-27462,-6.1389,0
251,clueweb12-0011wb-48-14024,-6.1389,0
251,clueweb12-0211wb-73-14210,-6.1389,0
251,clueweb12-0008wb-68-25416,-6.1389,0
251,clueweb12-0008wb-78-16982,-6.1389,0
251,clueweb12-0305wb-83-02582,-6.1415,0
251,clueweb12-1800tw-32-03364,-6.14382,0
251,clueweb12-0106wb-42-30149,-6.14425,0
251,clueweb12-0109wb-66-31548,-6.14537,0
251,clueweb12-0107wb-85-12714,-6.14538,0
251,clueweb12-0411wb-19-14729,-6.14545,0
251,clueweb12-0708wb-99-09566,-6.14941,0
251,clueweb12-0903wb-20-33940,-6.15015,0
251,clueweb12-0006wb-01-08060,-6.15247,0
251,clueweb12-0701wb-00-23849,-6.15494,0
251,clueweb12-1801wb-79-19145,-6.15594,0
251,clueweb12-0400wb-56-16768,-6.15713,0
251,clueweb12-0012wb-76-33759,-6.15713,0
251,clueweb12-0012wb-21-21208,-6.15713,0
251,clueweb12-0311wb-95-10118,-6.15713,0
251,clueweb12-1800tw-45-09739,-6.15855,0
251,clueweb12-0914wb-02-27998,-6.1616,0
251,clueweb12-0108wb-78-08955,-6.16167,0
251,clueweb12-0003wb-65-21097,-6.16308,0
