topic,doc,score,rel
251,clueweb12-0002wb-34-11095,9999.0,1
251,clueweb12-0002wb-19-01291,9998.0,1
251,clueweb12-0002wb-32-28229,9997.0,2
251,clueweb12-0002wb-19-01278,9996.0,2
251,clueweb12-0002wb-34-11084,9995.0,1
251,clueweb12-1115wb-68-00711,9994.0,1
251,clueweb12-0009wb-84-05364,9993.0,1
251,clueweb12-0308wb-28-03934,9992.0,1
251,clueweb12-0311wb-22-01592,9991.0,1
251,clueweb12-0002wb-34-11076,9990.0,1
251,clueweb12-0009wb-69-11957,9989.0,1
251,clueweb12-1100tw-47-08751,9988.0,1
251,clueweb12-0807wb-96-19628,9987.0,1
251,clueweb12-0808wb-06-00161,9986.0,1
251,clueweb12-0000wb-01-01965,9985.0,2
251,clueweb12-0208wb-25-08664,9984.0,1
251,clueweb12-0005wb-87-29993,9983.0,1
251,clueweb12-0112wb-19-18184,9982.0,1
251,clueweb12-0206wb-59-32292,9981.0,2
251,clueweb12-0207wb-62-25632,9980.0,2
251,clueweb12-0208wb-52-10624,9979.0,2
251,clueweb12-0100wb-13-13091,9978.0,1
251,clueweb12-0607wb-35-23218,9977.0,0
251,clueweb12-1709wb-19-37066,9976.0,1
251,clueweb12-0300wb-04-06548,9975.0,1
251,clueweb12-1400wb-32-03675,9974.0,1
251,clueweb12-0703wb-79-27204,9973.0,1
251,clueweb12-0013wb-19-06381,9972.0,1
251,clueweb12-0208wb-60-20497,9971.0,1
251,clueweb12-0913wb-75-00556,9970.0,0
251,clueweb12-1803wb-39-14494,9969.0,0
251,clueweb12-0500wb-43-26559,9968.0,0
251,clueweb12-0915wb-99-28778,9967.0,1
251,clueweb12-0002wb-58-31899,9966.0,1
251,clueweb12-0002wb-19-01284,9965.0,0
251,clueweb12-0200tw-36-12984,9964.0,2
251,clueweb12-0002wb-34-11078,9963.0,0
251,clueweb12-0817wb-07-26414,9962.0,1
251,clueweb12-0815wb-04-10004,9961.0,0
251,clueweb12-1812wb-69-05591,9960.0,0
251,clueweb12-0409wb-81-30422,9959.0,1
251,clueweb12-0002wb-32-28230,9958.0,0
251,clueweb12-0200tw-34-21462,9957.0,2
251,clueweb12-0009wb-90-28283,9956.0,0
251,clueweb12-1716wb-96-27852,9955.0,1
251,clueweb12-0002wb-19-01280,9954.0,0
251,clueweb12-0310wb-50-11456,9953.0,1
251,clueweb12-1909wb-89-25389,9952.0,0
251,clueweb12-0101wb-26-24098,9951.0,0
251,clueweb12-0009wb-84-05359,9950.0,0
251,clueweb12-0002wb-43-36060,9949.0,0
251,clueweb12-0816wb-21-20062,9948.0,0
251,clueweb12-0001wb-61-23921,9947.0,1
251,clueweb12-0207wb-40-12012,9946.0,1
251,clueweb12-0300tw-88-06119,9945.0,0
251,clueweb12-0000wb-90-32205,9944.0,2
251,clueweb12-1404wb-83-06002,9943.0,0
251,clueweb12-0401wb-71-12147,9942.0,1
251,clueweb12-0300wb-12-05329,9941.0,2
251,clueweb12-1609wb-24-18072,9940.0,0
251,clueweb12-1315wb-34-30912,9939.0,1
251,clueweb12-0300tw-90-14157,9938.0,0
251,clueweb12-0005wb-19-29156,9937.0,1
251,clueweb12-1000tw-36-02914,9936.0,0
251,clueweb12-1013wb-37-14846,9935.0,0
251,clueweb12-0003wb-36-32607,9934.0,2
251,clueweb12-0009wb-90-28282,9933.0,1
251,clueweb12-0000wb-87-06123,9932.0,0
