topic,doc,score,rel
0,72933349,0,0
0,fb10802b,0,0
0,466b2b0f,0,0
0,03179048,0,0
0,c8f0ec58,0,0
0,f6a06f11,0,0
0,c78ab626,0,0
0,e1902b31,0,2
0,e241483a,0,2
0,2b3f2405,0,0
0,0aa8818d,0,0
0,f4fdd034,0,3
0,6285d671,0,0
0,d55557c7,0,1
0,9d348a42,0,2
0,8a93d19f,0,0
0,b2d846ac,0,1
0,25279343,0,0
0,d9ee5235,0,0
0,3d6efd4a,0,0
0,585751c8,0,0
0,99dae44f,0,0
0,7bd507c3,0,0
0,c4451c38,0,0
0,f82811d6,0,1
0,1ffd567c,0,1
0,2671ef92,0,0
0,cfc5c391,0,3
0,7f261487,0,0
0,919299b8,0,3
0,b66d053a,0,1
0,f53c7215,0,0
0,4a324bdc,0,0
0,b780b245,0,1
0,5d1318a2,0,2
0,a77ace85,0,0
0,e5bd7b57,0,1
0,be69c5a8,0,2
0,4a317b69,0,3
0,a26c6de8,0,2
0,82aedcbe,0,1
0,111a11f0,0,2
0,c4e37a05,0,1
0,57dbfc29,0,3
0,fcf995ce,0,2
0,c8a78173,0,1
0,101d7515,0,1
0,27e79f21,0,0
0,3f21b4ea,0,3
0,4c23719c,0,0
1,67482f5e,0,0
1,c4451c38,0,0
1,51f92cf4,0,0
1,1ffd567c,0,1
1,0aa8818d,0,0
1,8a93d19f,0,0
1,afc18397,0,1
1,11c86247,0,0
1,f6a06f11,0,0
1,5d1318a2,0,2
1,99dae44f,0,0
1,520d60f6,0,0
1,bb40eebd,0,1
1,c8f0ec58,0,0
1,b780b245,0,1
1,abad3e4f,0,0
1,a3cd593d,0,1
1,8fdb99dc,0,2
1,a77ace85,0,0
1,df2d4831,0,0
1,585751c8,0,0
1,2b3f2405,0,0
1,25279343,0,0
1,72933349,0,0
1,f4fdd034,0,3
1,a288199b,0,0
1,92105733,0,2
1,b40ee9c6,0,2
1,4a324bdc,0,0
1,6a9722cd,0,3
1,9d348a42,0,2
1,f53c7215,0,0
1,57dbfc29,0,3
1,db55e247,0,0
1,6ac556a6,0,1
1,03ce64cf,0,1
1,b2d846ac,0,1
1,2671ef92,0,0
1,3f21b4ea,0,3
1,3d6efd4a,0,0
1,e8742cbf,0,1
1,9462965f,0,3
1,c78ab626,0,0
1,51ddd8e8,0,1
1,ce58a7c1,0,0
1,bb4291cf,0,2
1,25dab2e8,0,1
1,00bf463c,0,2
1,32012c4c,0,3
1,fb10802b,0,0
2,0200505d,0,0
2,5448b01b,0,0
2,f6c7c3e8,0,0
2,4de1c3f2,0,0
2,a77ace85,0,0
2,bb128c54,0,0
2,4535ba44,0,0
2,7d66ca22,0,2
2,ce58a7c1,0,0
2,b780b245,0,1
2,92105733,0,2
2,df2d4831,0,0
2,0aa8818d,0,0
2,2671ef92,0,0
2,2c5045d5,0,2
2,76a667db,0,1
2,bb4291cf,0,2
2,8a93d19f,0,0
2,f56d3e8f,0,0
2,2b3f2405,0,0
2,9462965f,0,3
2,5d1318a2,0,2
2,27e79f21,0,0
2,a3cd593d,0,1
2,7f261487,0,0
2,e241483a,0,2
2,bb40eebd,0,1
2,cfc5c391,0,3
2,2cbc7ed1,0,0
2,03179048,0,0
2,4b2393ad,0,1
2,7bd507c3,0,0
2,57dbfc29,0,3
2,111a11f0,0,2
2,05f07c10,0,1
2,32012c4c,0,3
2,b40ee9c6,0,2
2,67482f5e,0,0
2,7a9c80e6,0,0
2,4a317b69,0,3
2,8fdb99dc,0,2
2,a26c6de8,0,2
2,86edccdb,0,1
2,101d7515,0,1
2,c78ab626,0,0
2,f4fdd034,0,3
2,42378d3a,0,1
2,2f58b7d7,0,3
2,e1902b31,0,2
2,3f21b4ea,0,3
3,51f92cf4,0,0
3,25279343,0,0
3,7f261487,0,0
3,abad3e4f,0,0
3,f56d3e8f,0,0
3,d9ee5235,0,0
3,8fdb99dc,0,2
3,32012c4c,0,3
3,a288199b,0,0
3,f53c7215,0,0
3,a26c6de8,0,2
3,92105733,0,2
3,aa06e40f,0,0
3,11c86247,0,0
3,2cbc7ed1,0,0
3,4535ba44,0,0
3,2671ef92,0,0
3,db55e247,0,0
3,0200505d,0,0
3,86edccdb,0,1
3,03ce64cf,0,1
3,6b496037,0,0
3,2b3f2405,0,0
3,45589eb5,0,0
3,76a667db,0,1
3,5448b01b,0,0
3,a3cd593d,0,1
3,72933349,0,0
3,4c23719c,0,0
3,f6a06f11,0,0
3,f4fdd034,0,3
3,919299b8,0,3
3,5d1318a2,0,2
3,e8742cbf,0,1
3,bb128c54,0,0
3,6285d671,0,0
3,0aa8818d,0,0
3,e241483a,0,2
3,9462965f,0,3
3,a77ace85,0,0
3,3f21b4ea,0,3
3,09b5f6d0,0,1
3,6a9722cd,0,3
3,00bf463c,0,2
3,c4064ce3,0,1
3,20bc89cb,0,0
3,2f58b7d7,0,3
3,101d7515,0,1
3,f6c7c3e8,0,0
3,fcf995ce,0,2
4,6285d671,0,0
4,c4451c38,0,0
4,2671ef92,0,0
4,d9ee5235,0,0
4,0200505d,0,0
4,bb40eebd,0,1
4,aa06e40f,0,0
4,df2d4831,0,0
4,82aedcbe,0,1
4,7bd507c3,0,0
4,5d1318a2,0,2
4,67482f5e,0,0
4,6a9722cd,0,3
4,45589eb5,0,0
4,7f261487,0,0
4,20bc89cb,0,0
4,a77ace85,0,0
4,f6c7c3e8,0,0
4,57dbfc29,0,3
4,6ac556a6,0,1
4,f56d3e8f,0,0
4,9d348a42,0,2
4,4535ba44,0,0
4,3f21b4ea,0,3
4,2f58b7d7,0,3
4,8a93d19f,0,0
4,b780b245,0,1
4,c8f0ec58,0,0
4,f6a06f11,0,0
4,57f1cad6,0,0
4,92105733,0,2
4,f53c7215,0,0
4,466b2b0f,0,0
4,111a11f0,0,2
4,a26c6de8,0,2
4,db55e247,0,0
4,32012c4c,0,3
4,9bec092e,0,1
4,11c86247,0,0
4,bb4291cf,0,2
4,f4fdd034,0,3
4,fb10802b,0,0
4,d55557c7,0,1
4,03179048,0,0
4,9462965f,0,3
4,1ffd567c,0,1
4,e241483a,0,2
4,919299b8,0,3
4,abad3e4f,0,0
4,4de1c3f2,0,0
5,72933349,0,0
5,d9ee5235,0,0
5,1b9fced7,0,0
5,7f261487,0,0
5,03179048,0,0
5,2f58b7d7,0,3
5,6b496037,0,0
5,7bd507c3,0,0
5,bb128c54,0,0
5,db55e247,0,0
5,f53c7215,0,0
5,25279343,0,0
5,f6c7c3e8,0,0
5,99dae44f,0,0
5,aa06e40f,0,0
5,a77ace85,0,0
5,e5bd7b57,0,1
5,c8a78173,0,1
5,c4e37a05,0,1
5,9d348a42,0,2
5,cfc5c391,0,3
5,3d6efd4a,0,0
5,4535ba44,0,0
5,32012c4c,0,3
5,df2d4831,0,0
5,3f21b4ea,0,3
5,585751c8,0,0
5,ce58a7c1,0,0
5,bb40eebd,0,1
5,b66d053a,0,1
5,e1902b31,0,2
5,a26c6de8,0,2
5,9462965f,0,3
5,8a93d19f,0,0
5,25dab2e8,0,1
5,51ddd8e8,0,1
5,be69c5a8,0,2
5,2cbc7ed1,0,0
5,92105733,0,2
5,919299b8,0,3
5,8fdb99dc,0,2
5,c4064ce3,0,1
5,c8f0ec58,0,0
5,03ce64cf,0,1
5,0200505d,0,0
5,5d1318a2,0,2
5,afc18397,0,1
5,111a11f0,0,2
5,3e6e40cf,0,1
5,fcf995ce,0,2
6,11c86247,0,0
6,d9ee5235,0,0
6,45589eb5,0,0
6,4de1c3f2,0,0
6,86edccdb,0,1
6,a77ace85,0,0
6,2cbc7ed1,0,0
6,2671ef92,0,0
6,fb10802b,0,0
6,8a93d19f,0,0
6,27e79f21,0,0
6,b2d846ac,0,1
