topic,doc,score,rel
0,9d348a42,0,3
0,6cf83037,0,0
0,b01d188d,0,1
0,db567141,0,0
0,e991531e,0,1
0,4e3ac95c,0,1
0,3a18d8ed,0,0
0,4a317b69,0,3
0,1e8ccba8,0,0
0,b780b245,0,2
0,7306920f,0,0
0,b2d846ac,0,2
0,2158bc0f,0,0
0,f56d3e8f,0,1
0,e241483a,0,3
0,4f37bb83,0,0
0,32012c4c,0,3
0,0eac43f8,0,1
0,b3778fdb,0,0
0,3e6e40cf,0,2
0,f53c7215,0,1
0,8c8fb029,0,0
0,354e7d12,0,2
0,51f92cf4,0,1
0,c8f0ec58,0,2
0,f4fdd034,0,3
0,57f1cad6,0,1
0,ad037124,0,1
0,fb10802b,0,1
0,919299b8,0,3
0,25279343,0,1
0,2f58b7d7,0,3
0,c4064ce3,0,2
0,e5bd7b57,0,2
0,956645d0,0,1
0,9462965f,0,3
0,b10190cc,0,0
0,f5924727,0,1
0,be69c5a8,0,3
0,612aac0b,0,0
0,d47e40f9,0,0
0,00475e6d,0,1
0,00bf463c,0,3
0,affeee4a,0,0
0,1003b773,0,0
0,93816517,0,0
0,20bc89cb,0,1
0,a10a6825,0,1
0,82593b49,0,0
0,a4fd8426,0,0
0,6468059e,0,0
0,ff671846,0,0
0,1b9fced7,0,1
0,8858b2d8,0,0
0,876052cd,0,0
0,4b2393ad,0,2
0,101d7515,0,2
0,4c23719c,0,1
0,1dbbfe33,0,1
0,d715ee17,0,0
0,57dbfc29,0,3
0,054448b4,0,0
0,b6c91049,0,0
0,208f4f91,0,0
0,d9ee5235,0,1
0,1659f451,0,0
0,b98de0a7,0,0
0,3fd65f68,0,0
0,f64e9fa6,0,0
0,0ff2acdf,0,0
0,3ce52ec0,0,0
0,91596327,0,0
0,ad515e85,0,0
0,08bb21ec,0,0
0,5ff87766,0,0
0,58467ab6,0,0
0,e87784d2,0,0
0,2cf984d2,0,1
0,79e9934f,0,0
0,ffd60876,0,0
0,6c6415f0,0,0
0,c2377781,0,0
0,6db099a9,0,0
0,cf9c0972,0,0
0,1b1a4f6a,0,0
0,aeaf1942,0,0
0,7d66ca22,0,2
0,a220752e,0,0
0,5631faf9,0,1
0,11ba8133,0,0
0,68c6f1fd,0,0
0,090f26bd,0,0
0,498506fc,0,0
0,929e351b,0,0
0,5b1b5411,0,0
0,0cbe9e55,0,0
0,bfa751d5,0,0
0,2de89e52,0,0
0,3cffa517,0,0
0,11a54f81,0,0
0,b4c7d80d,0,0
0,29e6873b,0,0
0,0200505d,0,1
0,5ee2d8ae,0,0
0,3d6efd4a,0,2
0,720037a4,0,0
0,a023819e,0,0
0,042b34c5,0,0
0,df2d4831,0,1
0,aa0c6971,0,0
0,9a80f00f,0,0
0,b9c80ff7,0,0
0,f35a4f5d,0,0
0,74e71b28,0,0
0,3518baaf,0,0
0,45f72a9c,0,0
0,7164099a,0,0
0,70006276,0,0
0,80e83478,0,0
0,e981bfc5,0,1
0,ec591e1f,0,0
0,1d9a3999,0,0
0,9f39b026,0,0
0,ee004f7f,0,0
0,bf843356,0,0
0,73dad8e7,0,0
0,75d14040,0,0
0,32168c46,0,0
0,0d6a0a41,0,0
0,73b259ea,0,0
0,f9d8fcda,0,0
0,f94d0ccb,0,0
0,fc345940,0,0
0,0e1ba9c8,0,0
0,d2c460ac,0,0
0,970029d2,0,0
0,db3d36c1,0,0
0,d9182e12,0,0
0,0e08628b,0,0
0,0f516a95,0,0
0,714e8f45,0,0
0,ee8dff01,0,0
0,3b50fa66,0,0
0,c896a1be,0,0
0,3d914b66,0,0
0,7fef68c6,0,0
0,4348d28d,0,0
0,dd85d636,0,0
0,2b4c3675,0,0
0,d2326ed0,0,0
0,d2c9ea1f,0,0
0,31c9a444,0,0
0,a5f92a4b,0,0
0,7cb660b2,0,0
0,57cb946e,0,0
0,0b017090,0,0
0,601741dd,0,0
0,b95c10e4,0,0
0,a92c8ffb,0,0
0,fa527d7e,0,0
0,a9a94316,0,0
0,008674ce,0,0
0,7a882fa9,0,0
0,3f9d09d0,0,1
0,b508ef03,0,0
0,c7663ec0,0,0
0,d525ad4b,0,0
0,45d452e8,0,0
0,37dc6641,0,0
0,de8806d9,0,0
0,d79499ef,0,0
0,b1aefad3,0,0
0,64cbd07c,0,0
0,f04abf5e,0,0
0,6f5f2b19,0,0
0,9e812ab4,0,0
0,19307873,0,0
0,9691fe7a,0,0
0,1eccfa79,0,0
0,99f1034c,0,0
0,c319f2d8,0,0
0,2c6d57c0,0,0
0,30b29693,0,0
0,7719dd04,0,0
0,dc621c9b,0,0
0,7eacc4dc,0,0
0,c22109b5,0,0
0,457a1201,0,0
0,f950ff03,0,0
0,03276f2d,0,0
0,71a21695,0,0
0,4ba70e65,0,0
0,204402a1,0,0
0,e46431f4,0,0
0,f558fa0c,0,0
0,61eb39b3,0,0
0,989ab8d9,0,0
0,8824103b,0,0
0,2652e6c8,0,0
0,c2b6c4ac,0,0
1,a26c6de8,0,3
1,91624294,0,0
1,f4fdd034,0,3
1,09b5f6d0,0,2
1,3518baaf,0,0
1,db55e247,0,2
1,51f92cf4,0,1
1,af54540f,0,1
1,3e6e40cf,0,2
1,15c559fd,0,0
1,73a01441,0,0
1,0200505d,0,1
1,612aac0b,0,0
1,00bf463c,0,3
1,73b259ea,0,0
1,25dab2e8,0,2
1,75d14040,0,0
1,7e009400,0,1
1,8c8fb029,0,0
1,cf9c0972,0,0
1,6a9722cd,0,3
1,0f516a95,0,0
